project,LIME-HPO,SQAPlanner_confidence,SQAPlanner_coverage,SQAPlanner_lift,TimeLIME
activemq@0,0.48145260659752215,0.28,0.8125,0.28,0.5524377392547729
activemq@1,0.5859145154526044,0.5,0.6,0.5,0.7151120402353596
activemq@2,0.4640741976168394,0.36764705882352944,0.06382978723404255,0.36764705882352944,0.5473799224301116
activemq@3,0.4853691847533484,0.5,0.5,0.5,0.510578931269472
camel@0,0.39958702964939663,0.25,0.07619047619047618,0.2222222222222222,0.4596907520675101
camel@1,0.5847795219243976,0.6666666666666666,0.5,0.6666666666666666,0.6222892364322458
camel@2,0.5705654028511171,,,,0.5202553367996131
derby@0,0.5018856939381617,0.39995285409249914,0.18117962950427582,0.41189083074500293,0.5861415055270442
derby@1,0.4982626271387079,0.7117550987927703,0.2803030303030303,0.7548977063511363,0.509095507123074
groovy@0,0.5783210123294169,,0.0,,0.5294453954269536
groovy@1,0.540244400588491,0.35714285714285715,1.0,0.35714285714285715,0.5975380721998891
hbase@0,0.5450745473005782,0.625,0.3870509607351713,0.6277987180881565,0.6875883983870059
hbase@1,0.4505497550979193,0.1379585326953748,0.12,0.1379585326953748,0.5218538097869291
hive@0,0.4571889091787578,0.8409090909090909,0.2222222222222222,0.8558920985556498,0.563185878903872
hive@1,0.5069339572843755,0.7805194805194805,0.5,0.7805194805194805,0.5616720204858197
jruby@0,0.37154377730570837,0.7899286987522282,0.0,0.7899286987522282,0.5640415768899756
jruby@1,0.2840930783343075,0.7857142857142857,0.0,0.7857142857142857,0.4185463363009212
jruby@2,0.45743723112499807,0.5416666666666666,0.0,0.5416666666666666,0.7889312146035087
lucene@0,0.463345248059378,0.9151785714285714,0.3684210526315789,0.9136904761904763,0.37815671052374017
lucene@1,0.5321996414413285,0.795551366628622,0.47268227221523873,0.795551366628622,0.396613644391914
lucene@2,0.732206808343172,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7123036958849992
wicket@0,0.538648634434852,0.8669321895424837,0.6228070175438597,0.8669321895424837,0.5742077807864026
wicket@1,0.40497499021091105,0.6,0.7428571428571429,0.6,0.577798884211273
