test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
39,0.13357174226739446,0.003952569169960466,0.8418972332015808,1,189,0.0
41,1.6754355220023962,1.2148751385697412,1.861459713617278,2,96,0.0
46,0.5597848453406767,0.04714450431795123,0.6846483281172787,1,1543,0.0
56,0.17999874521613657,0.05138339920948617,0.7944664031620553,1,189,0.0
104,3.654381973748092,3.1304951684997047,3.9999999999999996,2,5,0.0
127,0.3819636724148591,0.0756602426837972,0.5060670949321912,1,1543,0.0
148,5.444534128392536,5.0763353873353845,5.807330008841307,2,23,0.0
154,0.38078021381995064,0.07447061622650487,0.5048774684748989,1,1543,0.0
157,3.385335978100211,3.2029078490772678,3.772481177598874,2,19,0.0
203,1.051324157895518,0.43284661442450517,1.2994743806351647,2,133,0.0
226,5.040773152927181,4.9818462387260345,5.213560017271432,2,6,0.0
230,1.0677115987460817,0.24137931034482757,1.2413793103448278,1,55,0.0
246,2.8738567283295753,2.5704844038071166,3.143335606821945,2,34,0.0
326,2.72971466256995,2.4413956754358144,3.132340919029651,2,23,0.0
359,1.2018551148680685,0.6876880228711386,1.5799256214663733,2,111,0.0
389,3.0464026446954393,2.653051189308323,3.337503432689558,2,28,0.0
393,0.18773657904092683,0.05928853754940709,0.7865612648221343,1,189,0.0
427,0.7270660346518469,0.4718045112781954,1.4718045112781957,1,1150,0.0
503,0.46179848903179543,0.17497256136827297,0.7683967366797837,2,65,0.0
505,0.4103594835519305,0.15033131837531866,0.8235862770502225,2,47,0.0
725,1.1697942092325522,0.7311765477760055,1.4849538102433417,2,252,0.0
726,0.7597109160527828,0.29163825608639277,0.9755133268111752,2,134,0.0
737,5.879743370142163,5.512440518283082,6.278493554478001,2,23,0.0
832,0.14517849300457994,0.015810276679841882,0.8300395256916996,1,189,0.0
834,2.361397695977654,2.09051248702694,2.67221869404467,2,15,0.0
866,1.3930348258706473,0.8333333333333334,1.8333333333333335,1,134,0.0
884,4.4,4.0,5.0,2,5,0.0
886,0.07721103373277287,0.015810276679841896,0.901185770750988,1,189,0.0
914,0.9866987814926544,0.6498895147106896,1.3379756530028082,2,16,0.0
991,0.29323824509599133,0.012644029774651504,0.5831548893647392,1,1543,0.0
1009,0.961685688224169,0.33458421771884284,1.1623961261239597,2,24,0.0
1093,0.37162777543950465,0.27755002844530385,0.8293612204731472,2,66,0.0
1105,3.265025220124741,2.8061302883882746,3.5290806090079174,2,17,0.0
1134,3.088191830608805,2.7896228093695488,3.362178284474635,2,34,0.0
1169,0.13357174226739446,0.003952569169960466,0.8418972332015808,1,189,0.0
1318,0.2054291085047442,0.026432459034432625,0.5399773774176944,2,158,0.0
1326,4.163388110878345,3.5632669392260334,4.442146081817021,2,118,0.0
1390,1.4583333333333333,1.0,2.0,1,48,0.0
1496,1.1128837008214438,0.6888888888888889,1.6888888888888887,1,514,0.0
1504,0.39895068022764313,0.005464480874316937,0.912568306010929,1,627,0.0
1582,1.4499012890217784,0.8110402475022425,1.690339402636631,2,31,0.0
1583,1.0188981940995956,0.6357184369156544,1.4292510698577967,2,9,0.0
1601,0.7632974477449465,0.4343756490205961,1.0766931382504248,2,45,0.0
1722,1.3155915828337477,1.048528125138601,1.738176400819332,2,10,0.0
1735,1.2846822592900637,0.8291444977486452,1.5010125252164868,2,168,0.0
1765,0.25314245810055863,0.06249999999999998,0.5624999999999999,1,179,0.0
41,1.3983488912274935,0.6921611264443038,1.7008047143664269,2,47,0.0
43,3.3025765398725135,2.8439955183381884,3.598999240642101,2,90,0.0
48,1.8904065653698428,1.1275546008569306,2.1188112922821993,2,42,0.0
58,8.65368145308517,8.204487154445157,9.106860668891532,2,12,0.0
153,1.4705891993822255,1.0640129939127279,1.6407188431981392,2,97,0.0
212,0.891301620360095,0.6142577699966566,1.2942395551470998,2,89,0.0
236,1.8572201354546136,1.4719601443879746,2.189119770677331,2,21,0.0
243,2.899947611994271,2.581769910611831,3.1807488049468597,2,14,0.0
259,4.430865921787709,3.7499999999999987,4.749999999999999,1,179,0.0
262,1.9558748780228556,1.6576626140947546,2.3312599626845296,2,28,0.0
523,1.628388734629522,1.2395806712807929,1.9149177438899712,2,202,0.0
739,2.6534142513143775,2.1381798073500677,2.94106142335645,2,96,0.0
746,0.6105459336881753,0.2729135553332931,0.8245505103098594,2,74,0.0
776,0.3284671532846715,0.04347826086956518,0.6086956521739129,1,137,0.0
779,0.9756686757649757,0.6083530701360234,1.2312519272720814,2,22,0.0
789,0.9042421462999646,0.6523197523639611,1.1986144479627998,2,51,0.0
855,1.0670829975825948,0.5294117647058825,1.5294117647058825,1,146,0.0
857,2.0474463434988204,1.893362466241324,2.182519841179653,2,6,0.0
893,7.664929593582338,7.199152031406084,8.104886043710279,2,39,0.0
911,0.5155406629267569,0.21957209063431635,0.7964752429136083,2,40,0.0
913,1.2734080211899603,0.8269298644711083,1.6304163447854865,2,20,0.0
