project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,OWN_LINE
activemq@0,39,0,1.7786342407731954,2.778634240773196,2.4453009074398624,0.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,1.5521297035738826,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,
activemq@0,46,0,3.234449018783597,3.8069680006976316,3.510993566337785,0.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,0.41,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,0.811930580646731,1.0,0.0,5.0,0.6,0.0,3.0,2.0,
activemq@0,92,0,1.0014726700587773,1.5387091165758182,1.2409875609791634,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,0.811930580646731,0.0,0.0,22.0,0.818181818181818,0.0,3.0,2.0,
activemq@0,104,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.333333333333333,0.0,2.0,1.0,
activemq@0,147,0,0.08269539386189229,0.9160287271952255,0.5891547225391826,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,4.503827636828646,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,0.9,0.0,3.0,1.0,
activemq@0,148,0,0.0,0.5714285714285714,0.2941176470588236,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0,
activemq@0,154,0,0.08269539390069743,0.7493620605673641,0.4482272260774595,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,4.503827636595815,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,0.666666666666667,0.0,2.0,0.0,
activemq@0,218,0,0.048891826915009505,0.8822251602483427,0.5579514299728292,0.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,5.706649038509942,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,0.0,0.0,17.0,0.764705882352941,0.0,3.0,1.0,
activemq@0,225,0,0.04889182684322198,0.7155584935098886,0.4222244821870938,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,5.706649038940668,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,0.8,0.0,3.0,1.0,
activemq@0,230,0,0.0,0.5714285714285714,0.2941176470588236,0.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.777777777777778,0.0,3.0,2.0,
activemq@0,282,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,17.0,0.41,0.0,87.0,4.0,0.0,3.0,2.0,2.83333333333333,0.0,1.0,0.0,0.0,0.333333333333333,0.0,2.0,0.0,
activemq@0,359,0,0.023680917362055336,0.6369499453299862,0.2803668826134097,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,1.0,29.0,0.19,0.0,100.0,2.0,5.0,6.0,2.0,2.42105263157895,0.811930580646731,0.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,389,0,0.03514864464186298,0.6974110117307595,0.19942100602306112,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,1.2281756170559677,3.0,1.36734693877551,0.0,0.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,427,0,0.6079098587720404,1.4110128884149173,0.7902055552251598,9.0,10.0,1.0,5.0,2.0,0.3810552115319296,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,0.0,10.0,3.0,4.13953488372093,0.811930580646731,1.0,0.0,11.0,1.0,0.0,2.0,0.0,
activemq@0,727,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,19.0,0.62,0.0,88.0,1.0,0.0,6.0,2.0,1.63157894736842,0.0,1.0,0.0,0.0,0.333333333333333,0.0,2.0,0.0,
activemq@0,729,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,17.0,0.34,0.0,65.0,1.0,0.0,12.0,2.0,3.55555555555556,0.0,0.0,0.0,0.0,0.333333333333333,0.0,2.0,0.0,
activemq@0,737,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,30.0,0.12,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.0,0.333333333333333,0.0,3.0,1.0,
activemq@0,754,0,1.0014726700587773,1.5387091165758182,1.2409875609791634,0.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,4.0,13.0,48.0,0.15,0.0,94.0,2.0,0.0,21.0,3.0,2.9622641509434,0.811930580646731,0.0,0.0,2.0,1.0,0.0,2.0,2.0,
activemq@0,757,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,13.0,0.16,0.0,74.0,1.0,0.0,2.0,1.0,7.42857142857143,2.0,1.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,788,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,6.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,23.0,0.26,0.0,58.0,1.0,1.0,8.0,2.0,2.24137931034483,0.0,0.0,0.0,0.0,0.333333333333333,0.0,2.0,1.0,
activemq@0,832,0,0.14285714285714288,0.7142857142857142,0.40336134453781514,0.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,32.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.71428571428571,0.0,1.0,0.0,25.0,0.76,0.0,3.0,2.0,
activemq@0,834,0,0.00973035665370073,0.6872393403159963,0.05723759409432395,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,26.0,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,0.0,1.321101769572124,1.0,0.0,2.0,3.0,
activemq@0,884,0,0.05916736254099913,0.9408326374590009,0.33855487956334684,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,9.0,23.0,37.0,0.4,0.0,93.0,4.0,3.0,1.065012525737984,4.0,2.39130434782609,1.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,1.0,
activemq@0,886,0,0.08397127276596926,0.5826953939006974,0.3264814265466366,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,4.503827636595815,14.0,22.0,0.39,0.0,90.0,4.0,3.0,13.0,2.0,2.37037037037037,0.0,0.0,0.0,2.0,0.5,0.0,3.0,1.0,
activemq@0,913,0,0.0024439485277980436,0.9975560514722019,0.3936576246047422,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,0.18,0.0,89.0,1.0,1.0,2.043991073500365,3.0,2.46428571428571,0.0,0.0,0.0,5.0,0.6,0.0,3.0,0.0,
activemq@0,1093,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,6.0,37.0,0.21,2.0,85.0,5.0,0.0,6.0,2.0,3.94594594594595,0.0,2.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,1103,0,0.031344903225544805,0.6353217634411219,0.22094797736274804,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,25.0,12.0,14.0,0.1,0.0,85.0,4.0,6.0,13.0,2.0,6.82051282051282,0.811930580646731,1.0,0.0,1.0,1.0,0.0,2.0,1.0,
activemq@0,1118,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,7.0,13.0,2.0,0.47,1.0,82.0,3.0,2.0,0.0,2.0,4.22222222222222,0.0,0.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,1134,0,0.07059277835959635,0.5005755346745567,0.26298250732360484,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,8.0,13.0,16.0,0.42,2.0,82.0,3.0,2.0,1.2281756170559677,2.0,3.69230769230769,0.811930580646731,1.0,0.0,0.0,0.333333333333333,0.0,2.0,2.0,
activemq@0,1169,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,3.0,4.0,0.24,2.0,77.0,2.0,0.0,4.0,2.0,2.45454545454545,0.0,1.0,0.0,0.0,0.333333333333333,0.0,1.0,0.0,
activemq@0,1318,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,0.38,1.0,80.0,6.0,0.0,7.0,1.0,1.8,0.0,2.0,0.0,0.0,0.333333333333333,0.0,4.0,0.0,
activemq@0,1429,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,5.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,5.0,8.0,0.29,2.0,68.0,3.0,3.0,3.0,1.0,3.35,0.0,1.0,0.0,0.0,0.333333333333333,0.0,2.0,0.0,
activemq@0,1496,0,0.002006366896881338,0.5706338178772734,0.12035905208563898,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,6.0,19.0,2.1023247117409483,0.07,2.0,85.0,1.0,0.0,2.0,2.0,6.83333333333333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,
activemq@0,1504,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,6.0,6.0,0.95,0.0,86.0,2.0,1.0,0.0,1.0,1.84615384615385,1.0,1.0,0.0,0.0,0.333333333333333,0.0,1.0,0.0,
activemq@0,1506,0,1.0391898515772828e-16,0.8421052631578947,0.7436079305846249,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,6.0,0.22,1.0,100.0,2.0,0.0,2.0,2.0,1.16666666666667,0.0,2.0,0.0,0.0,0.333333333333333,0.0,1.0,0.0,
activemq@0,1583,0,0.04842900321411511,0.4739094791997464,0.2405860392307495,6.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,9.0,28.0,0.36,0.0,86.0,1.0,0.0,2.043991073500365,3.0,2.44117647058824,0.811930580646731,1.0,0.0,0.0,0.333333333333333,0.0,2.0,1.0,
activemq@0,1594,0,0.015059404115638015,0.5936362480582751,0.16070252198769455,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.3463662946596742,20.0,1.0,0.0,80.0,1.0,0.0,6.0,5.0,2.13636363636364,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,
activemq@0,1595,0,0.015059404115637998,0.5501579871887099,0.12990554646177296,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.3463662946596742,40.0,1.25,0.0,91.0,1.0,0.0,2.0,4.0,1.85365853658537,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,
activemq@0,1598,0,0.013210557881989379,0.6578959208444728,0.1721305780689044,1.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,18.0,0.18,0.0,79.0,2.0,2.0,2.043991073733196,3.0,2.31818181818182,0.0,0.0,0.0,0.0,0.333333333333333,0.0,3.0,0.0,
activemq@0,1601,0,0.007127381915993557,0.5561469897591307,0.1335047069689663,6.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,3.363496477715671,0.27,0.0,63.0,1.0,0.0,11.0,2.0,4.61538461538461,2.0,1.0,0.0,4.0,0.5,0.0,4.0,1.0,
