project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,OWN_LINE
activemq@0,39,0,1.958403660984271,2.9584036609842714,2.6219743524187393,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,1.121413289802149,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,
activemq@0,65,0,0.09483340878311235,0.5718332578835542,0.2318508732219414,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,0.569000452698674,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0,
activemq@0,92,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,0.0,0.0,0.0,22.0,0.818181818181818,0.0,3.0,2.0,
activemq@0,154,0,0.16210197455438902,0.8287686412210558,0.23577496652955554,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0273881526736659,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,0.666666666666667,0.0,2.0,0.0,
activemq@0,219,0,0.02946428212453608,0.7794642821245361,0.3790584382950328,7.0,4.0,1.0,2.0,0.0,1.0,2.0,12.0,7.0,22.0,58.0,0.17,0.0,94.0,2.0,1.0,50.0,0.8821428715018556,3.94736842105263,0.0,0.0,0.0,39.0,0.692307692307692,0.0,3.0,1.0,
activemq@0,230,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.777777777777778,0.0,3.0,2.0,
activemq@0,287,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,9.0,0.7,0.0,76.0,4.0,0.0,7.0,2.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,
activemq@0,326,0,0.3654555752194332,0.6345444247805668,0.5448481415935224,0.719117849948816,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,37.0,93.0,0.33,0.0,96.0,2.0,2.0,15.0,2.222116350894794,11.659793814433,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,
activemq@0,359,0,0.06369966599352968,0.9363003340064703,0.3341520704951743,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,1.0,29.0,0.19,0.0,100.0,2.0,5.0,1.1465939878835345,2.0,2.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,
activemq@0,389,0,0.026273346609539457,0.7515044311682384,0.15847535332043966,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,1.4729202389717102,3.0,1.36734693877551,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,
activemq@0,393,0,0.02946428212453608,0.7794642821245361,0.3790584382950328,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,12.0,0.8821428715018556,4.49122807017544,0.0,1.0,0.0,6.0,0.5,0.0,2.0,0.0,
activemq@0,427,0,0.02946428213908806,1.029464282139088,0.6090097366845426,9.0,10.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,0.0,10.0,0.8821428714436479,4.13953488372093,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,
activemq@0,500,0,0.07159641715568592,0.9284035828443141,0.32648094079479406,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,75.0,3.0,1.0,2.288735508802347,1.0,3.75,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,
activemq@0,502,0,0.0002609270155426565,0.9402128885847981,0.02301772791857669,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,0.193258978424128,0.0,62.0,2.0,1.0,8.0,1.0,4.16666666666667,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,
activemq@0,503,0,0.040126021435883424,0.6115545928644548,0.32480225168626375,0.719117849948816,0.0,1.0,2.0,1.0,1.0,3.0,10.0,28.0,36.0,39.0,0.14,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,
activemq@0,505,0,0.019334583168687382,0.5458828081356605,0.12754462668620836,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.4446954128798095,11.0,0.16,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,1.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,0.0,
activemq@0,695,0,0.07310606165265199,0.573106061652652,0.17511837114670925,0.0,0.0,1.0,0.0,0.0,0.5848484932212159,2.0,1.0,0.0,1.0,16.0,0.35,0.0,62.0,2.0,0.0,12.0,2.0,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,
activemq@0,719,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,0.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,11.0,37.0,0.13,0.0,85.0,2.0,0.0,24.0,2.0,2.83720930232558,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,
activemq@0,737,0,0.06877317822320583,1.068773178223206,0.12104669102251632,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,30.0,1.5089769960078412,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,
activemq@0,757,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,13.0,0.16,0.0,74.0,1.0,0.0,2.0,1.0,7.42857142857143,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,
activemq@0,832,0,0.02946428212453608,0.7794642821245361,0.3790584382950328,2.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,32.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,0.8821428715018556,2.71428571428571,0.0,1.0,0.0,25.0,0.76,0.0,3.0,2.0,
activemq@0,834,0,0.040126021435883424,0.6115545928644548,0.32480225168626375,0.719117849948816,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,26.0,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,
activemq@0,913,0,0.02946428213908806,1.029464282139088,0.6090097366845426,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,0.18,0.0,89.0,1.0,1.0,8.0,0.8821428714436479,2.46428571428571,0.0,0.0,0.0,5.0,0.6,0.0,3.0,0.0,
activemq@0,991,0,0.02627334660953946,0.7515044311682383,0.15847535332043966,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.46,0.0,70.0,5.0,0.0,1.4729202389717102,1.0,1.83333333333333,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,
activemq@0,1011,0,0.008144110431506594,0.8251892229018267,0.22644825143442077,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.49,0.0,0.0,3.0,0.0,1.146593987767119,1.0,1.75,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,
activemq@0,1093,0,0.009143441934914637,0.6758101086015814,0.2269979861908053,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,6.0,37.0,0.21,2.0,85.0,5.0,0.0,6.0,2.0,3.94594594594595,1.0548606516094878,2.0,0.0,0.0,0.0,0.0,2.0,2.0,
activemq@0,1134,0,0.080284760773963,0.8113336838832786,0.35159691003927523,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,8.0,13.0,16.0,0.42,2.0,82.0,3.0,2.0,1.4729202389717102,2.0,3.69230769230769,1.0548606516094878,1.0,0.0,0.0,0.0,0.0,2.0,2.0,
activemq@0,1169,0,0.09845194509282144,0.8962457212518733,0.3105389977731164,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,3.0,1.027993142430205,0.24,2.0,77.0,2.0,0.0,1.146593987767119,2.0,2.45454545454545,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
activemq@0,1318,0,0.009143441934914637,0.6758101086015814,0.2269979861908053,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,0.38,1.0,80.0,6.0,0.0,7.0,1.0,1.8,1.0548606516094878,2.0,0.0,0.0,0.0,0.0,4.0,0.0,
activemq@0,1496,0,0.005149597450091612,1.0051495974500917,0.05742311024940211,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,6.0,19.0,5.0,0.6643184721516444,2.0,85.0,1.0,0.0,2.0,2.0,6.83333333333333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,
activemq@0,1505,0,0.026273346609539457,0.7515044311682384,0.15847535332043966,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.27,1.0,40.0,2.0,0.0,1.4729202389717102,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
activemq@0,1582,0,0.5727436774390584,1.062967076017873,0.8603901124768101,0.719117849948816,0.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,1.4446954129808822,9.0,0.24,0.0,88.0,1.0,0.0,8.0,2.0,3.25,0.0,0.0,0.0,0.0,0.4962564558455981,0.0,2.0,2.0,
activemq@0,1598,0,0.10273112142125942,0.531302549992688,0.25181659706183435,0.719117849948816,0.0,1.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,18.0,0.18,0.0,79.0,2.0,2.0,3.0,3.0,2.31818181818182,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
activemq@0,1600,0,0.6513900372492074,1.2715989309789746,0.8915069048438755,0.719117849948816,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,13.0,14.0,0.32,0.0,80.0,1.0,0.0,0.3307786136865616,5.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,
activemq@0,1601,0,0.02946428212453608,0.7794642821245361,0.3790584382950328,6.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,7.0,0.27,0.0,63.0,1.0,0.0,11.0,0.8821428715018556,4.61538461538461,2.0,1.0,0.0,4.0,0.5,0.0,4.0,1.0,
activemq@0,1721,0,0.016040861606597918,0.7617369161711799,0.16753841146590215,0.0,1.0,1.0,1.0,0.0,5.0,4.0,2.0,10.0,6.0,3.0,0.39,2.0,81.0,3.0,0.0,2.288735508918762,2.0,3.78571428571429,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,
activemq@0,1722,0,0.06076677310581064,1.0607667731058106,0.11304028590512114,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,15.0,9.0,3.0,1.508976996091575,0.0,90.0,2.0,3.0,4.0,1.0,3.83333333333333,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,
activemq@0,1735,0,0.02627334660953946,0.7515044311682383,0.15847535332043966,0.0,0.0,1.0,7.0,5.0,0.0,2.0,1.0,3.0,6.0,26.0,0.15,0.0,90.0,1.0,0.0,1.4729202389717102,4.0,3.41379310344828,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,
activemq@1,67,0,0.028555530768174395,1.0285555307681742,0.3376992172703516,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,3.628778100013733,23.0,0.1,0.0,87.0,2.0,0.0,28.0,1.0,5.13333333333333,1.0,1.0,0.0,,1.0,,,1.0,0.464757709251101
activemq@1,789,0,0.004934057576910564,0.6200659424230893,0.3573920313473004,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,25.0,0.12,0.0,92.0,1.0,1.0,25.0,2.0,2.6,0.0,0.0,0.0,,0.7598681151538211,,,0.0,0.706744868035191
activemq@1,793,0,0.004884673963085965,0.9181922491138372,0.23461606941038554,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,3.063500761520117,17.0,0.1,0.0,77.0,2.0,0.0,18.0,2.0,4.54545454545455,0.0,0.0,0.0,,1.0,,,0.0,0.580555555555556
activemq@1,855,0,0.012585005117580315,0.6124149948824196,0.3592719784572935,2.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,33.0,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.76785714285714,0.0,1.0,0.0,,0.5751700102351607,,,2.0,0.463030303030303
activemq@1,857,0,0.023284597938375885,0.9767154020616241,0.4439335630009333,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,0.1397075876302551,26.0,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,0.0,,1.0,,,4.0,0.584040747028862
