Model,Method,Project,Flip,Computed,#TP,Flip%
RandomForest,random,activemq@0,0,0,65,0.0
RandomForest,random,activemq@1,0,0,48,0.0
RandomForest,random,activemq@2,0,0,82,0.0
RandomForest,random,activemq@3,0,0,79,0.0
RandomForest,random,camel@0,0,0,60,0.0
RandomForest,random,camel@1,0,0,36,0.0
RandomForest,random,camel@2,0,0,24,0.0
RandomForest,random,derby@0,0,0,426,0.0
RandomForest,random,derby@1,0,0,195,0.0
RandomForest,random,groovy@0,0,0,8,0.0
RandomForest,random,groovy@1,0,0,25,0.0
RandomForest,random,hbase@0,0,0,108,0.0
RandomForest,random,hbase@1,0,0,153,0.0
RandomForest,random,hive@0,0,0,78,0.0
RandomForest,random,hive@1,0,0,34,0.0
RandomForest,random,jruby@0,0,0,48,0.0
RandomForest,random,jruby@1,0,0,45,0.0
RandomForest,random,jruby@2,0,0,22,0.0
RandomForest,random,lucene@0,0,0,130,0.0
RandomForest,random,lucene@1,0,0,103,0.0
RandomForest,random,lucene@2,0,0,3,0.0
RandomForest,random,wicket@0,0,0,39,0.0
RandomForest,random,wicket@1,0,0,13,0.0
SVM,random,activemq@0,0,0,55,0.0
SVM,random,activemq@1,0,0,22,0.0
SVM,random,activemq@2,0,0,39,0.0
SVM,random,activemq@3,0,0,32,0.0
SVM,random,camel@0,0,0,40,0.0
SVM,random,camel@1,0,0,21,0.0
SVM,random,camel@2,0,0,11,0.0
SVM,random,derby@0,0,0,400,0.0
SVM,random,derby@1,0,0,189,0.0
SVM,random,groovy@0,0,0,2,0.0
SVM,random,groovy@1,0,0,2,0.0
SVM,random,hbase@0,0,0,79,0.0
SVM,random,hbase@1,0,0,117,0.0
SVM,random,hive@0,0,0,60,0.0
SVM,random,hive@1,0,0,16,0.0
SVM,random,jruby@0,0,0,29,0.0
SVM,random,jruby@1,0,0,35,0.0
SVM,random,jruby@2,0,0,8,0.0
SVM,random,lucene@0,0,0,104,0.0
SVM,random,lucene@1,0,0,32,0.0
SVM,random,lucene@2,0,0,1,0.0
SVM,random,wicket@0,0,0,8,0.0
SVM,random,wicket@1,0,0,0,0.0
XGBoost,random,activemq@0,0,0,70,0.0
XGBoost,random,activemq@1,0,0,54,0.0
XGBoost,random,activemq@2,0,0,90,0.0
XGBoost,random,activemq@3,0,0,90,0.0
XGBoost,random,camel@0,0,0,51,0.0
XGBoost,random,camel@1,0,0,34,0.0
XGBoost,random,camel@2,0,0,28,0.0
XGBoost,random,derby@0,0,0,431,0.0
XGBoost,random,derby@1,0,0,217,0.0
XGBoost,random,groovy@0,0,0,8,0.0
XGBoost,random,groovy@1,0,0,25,0.0
XGBoost,random,hbase@0,0,0,101,0.0
XGBoost,random,hbase@1,0,0,167,0.0
XGBoost,random,hive@0,0,0,84,0.0
XGBoost,random,hive@1,0,0,68,0.0
XGBoost,random,jruby@0,0,0,47,0.0
XGBoost,random,jruby@1,0,0,48,0.0
XGBoost,random,jruby@2,0,0,23,0.0
XGBoost,random,lucene@0,0,0,138,0.0
XGBoost,random,lucene@1,0,0,115,0.0
XGBoost,random,lucene@2,0,0,5,0.0
XGBoost,random,wicket@0,0,0,40,0.0
XGBoost,random,wicket@1,0,0,17,0.0
LightGBM,random,activemq@0,0,0,76,0.0
LightGBM,random,activemq@1,0,0,54,0.0
LightGBM,random,activemq@2,0,0,88,0.0
LightGBM,random,activemq@3,0,0,87,0.0
LightGBM,random,camel@0,0,0,44,0.0
LightGBM,random,camel@1,0,0,37,0.0
LightGBM,random,camel@2,0,0,24,0.0
LightGBM,random,derby@0,0,0,439,0.0
LightGBM,random,derby@1,0,0,205,0.0
LightGBM,random,groovy@0,0,0,12,0.0
LightGBM,random,groovy@1,0,0,25,0.0
LightGBM,random,hbase@0,0,0,103,0.0
LightGBM,random,hbase@1,0,0,156,0.0
LightGBM,random,hive@0,0,0,87,0.0
LightGBM,random,hive@1,0,0,61,0.0
LightGBM,random,jruby@0,0,0,46,0.0
LightGBM,random,jruby@1,0,0,48,0.0
LightGBM,random,jruby@2,0,0,23,0.0
LightGBM,random,lucene@0,0,0,134,0.0
LightGBM,random,lucene@1,0,0,110,0.0
LightGBM,random,lucene@2,0,0,4,0.0
LightGBM,random,wicket@0,0,0,44,0.0
LightGBM,random,wicket@1,0,0,14,0.0
CatBoost,random,activemq@0,0,0,68,0.0
CatBoost,random,activemq@1,0,0,45,0.0
CatBoost,random,activemq@2,0,0,83,0.0
CatBoost,random,activemq@3,0,0,87,0.0
CatBoost,random,camel@0,0,0,50,0.0
CatBoost,random,camel@1,0,0,39,0.0
CatBoost,random,camel@2,0,0,22,0.0
CatBoost,random,derby@0,0,0,410,0.0
CatBoost,random,derby@1,0,0,206,0.0
CatBoost,random,groovy@0,0,0,8,0.0
CatBoost,random,groovy@1,0,0,22,0.0
CatBoost,random,hbase@0,0,0,104,0.0
CatBoost,random,hbase@1,0,0,158,0.0
CatBoost,random,hive@0,0,0,71,0.0
CatBoost,random,hive@1,0,0,55,0.0
CatBoost,random,jruby@0,0,0,44,0.0
CatBoost,random,jruby@1,0,0,44,0.0
CatBoost,random,jruby@2,0,0,21,0.0
CatBoost,random,lucene@0,0,0,106,0.0
CatBoost,random,lucene@1,0,0,91,0.0
CatBoost,random,lucene@2,0,0,6,0.0
CatBoost,random,wicket@0,0,0,40,0.0
CatBoost,random,wicket@1,0,0,14,0.0
