,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
39,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,20.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,1.0,0.0,3.0,1.0
46,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,7.0,0.41,0.0,51.0,1.0,21.0,27.0,4.0,4.82692307692308,0.0,1.0,0.0,5.0,0.6,0.0,3.0,2.0
65,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,0.3,1.0,28.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0
92,1.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,46.6,0.0,0.0,0.0,22.0,1.0,0.0,3.0,2.0
104,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,10.0,0.84,0.0,32.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
147,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,11.82,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,26.0,0.0,10.0,0.9,0.0,3.0,1.0
148,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,5.54,0.0,85.0,1.0,2.0,13.0,2.0,21.6,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0
1762,2.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,3.0,52.0,5.0,0.25,0.0,73.0,2.0,2.0,11.0,2.0,3.18181818181818,0.0,1.0,0.0,4.0,0.75,0.0,1.0,1.0
149,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.47,0.0,92.0,1.0,2.0,12.0,2.0,32.0,1.0,1.0,0.0,13.0,0.846153846153846,0.0,3.0,0.0
154,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,46.6,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0
157,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.25,0.0,82.0,2.0,26.0,14.0,1.0,2.35714285714286,40.0,1.0,0.0,10.0,0.9,0.0,2.0,0.0
203,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,37.0,23.0,9.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,11.0,0.909090909090909,0.0,3.0,1.0
