,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
65,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,1.0,0.0,9.0,0.995,0.0,3.0,1.0
104,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.997,0.0,2.0,1.0
147,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,0.9978,0.0,3.0,1.0
149,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.47,0.0,92.0,1.0,2.0,12.0,2.0,2.74074074074074,1.0,1.0,0.0,13.0,0.996,0.0,2.0,0.0
154,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,0.9982,0.0,2.0,0.0
157,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,27.0,0.25,0.0,82.0,2.0,0.0,14.0,1.0,2.35714285714286,0.0,1.0,0.0,10.0,0.9874,0.0,2.0,0.0
203,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,1.0,0.0,11.0,0.9968,0.0,3.0,1.0
225,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,0.0,0.0,0.0,10.0,0.9978,0.0,3.0,1.0
230,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.988,0.0,3.0,2.0
725,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,8.0,0.9955,0.0,2.0,0.0
737,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,30.0,0.12,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.0,0.9974,0.0,3.0,1.0
913,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,15.0,26.0,0.18,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,5.0,0.9998,0.0,3.0,0.0
991,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.46,0.0,70.0,5.0,0.0,3.0,1.0,1.83333333333333,1.0,2.0,0.0,0.0,0.9966,0.0,2.0,0.0
1009,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,11.0,0.25,6.0,0.0,6.0,3.0,12.0,1.0,0.545454545454545,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
1093,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,6.0,37.0,0.21,2.0,85.0,5.0,0.0,6.0,2.0,3.94594594594595,0.0,2.0,0.0,0.0,0.9802,0.0,2.0,2.0
1105,0.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,0.71,10.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,18.0,1.0,1.0,1.0,0.0,3.0,0.0
1134,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,8.0,13.0,16.0,0.42,2.0,82.0,3.0,2.0,5.0,2.0,3.69230769230769,0.0,1.0,0.0,0.0,0.9984,0.0,2.0,2.0
1309,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,10.0,17.0,1.0,0.23,0.0,84.0,2.0,5.0,5.0,1.0,5.90909090909091,3.0,2.0,0.0,5.0,0.998,0.0,3.0,1.0
1496,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,6.0,19.0,5.0,0.07,2.0,85.0,1.0,0.0,2.0,2.0,6.83333333333333,0.0,2.0,0.0,0.0,0.9935,0.0,1.0,1.0
1598,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,18.0,0.18,0.0,79.0,2.0,2.0,3.0,3.0,2.31818181818182,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
1601,6.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,7.0,0.27,0.0,63.0,1.0,0.0,11.0,2.0,4.61538461538461,2.0,1.0,0.0,4.0,0.9958,0.0,4.0,1.0
1722,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,15.0,9.0,3.0,0.22,0.0,90.0,2.0,3.0,4.0,1.0,3.83333333333333,1.0,2.0,0.0,0.0,0.9968,0.0,3.0,2.0
1735,0.0,0.0,1.0,7.0,5.0,0.0,2.0,1.0,3.0,6.0,26.0,0.15,0.0,90.0,1.0,0.0,3.0,4.0,3.41379310344828,0.0,0.0,0.0,0.0,0.9955,0.0,3.0,3.0
65,0,0,1,2,0,0,2,1,7,6,16,0.13,0,86,2,0,27,1,5.52173913043478,1,1,0,9,0.995,0,3,1
104,0,0,1,1,0,5,1,1,4,2,21,0.84,0,89,3,0,25,1,3.24,0,1,0,0,0.997,0,2,1
147,0,0,1,1,0,2,2,1,7,12,20,0.25,0,83,1,3,27,2,4.37037037037037,0,0,0,10,0.9978,0,3,1
149,0,0,1,1,0,1,1,1,1,16,26,0.47,0,92,1,2,12,2,2.74074074074074,1,1,0,13,0.996,0,2,0
154,0,0,2,2,0,1,3,1,6,11,21,0.22,0,87,2,0,13,2,3.22222222222222,0,1,0,6,0.9982,0,2,0
157,0,0,1,1,0,1,2,1,1,8,27,0.25,0,82,2,0,14,1,2.35714285714286,0,1,0,10,0.9874,0,2,0
203,0,0,1,1,0,1,1,1,0,23,50,0.36,0,95,2,0,24,1,2.6,1,1,0,11,0.9968,0,3,1
225,0,0,1,2,0,0,2,1,7,19,66,0.06,0,92,1,1,43,2,3.84931506849315,0,0,0,10,0.9978,0,3,1
230,1,1,1,1,0,1,2,6,3,11,37,0.18,1,88,2,1,45,2,3.02380952380952,0,0,0,18,0.988,0,3,2
725,0,4,1,1,0,1,2,5,2,16,26,0.16,0,83,1,1,21,2,4.59375,0,0,0,8,0.9955,0,2,0
737,2,0,1,1,2,0,3,1,2,2,30,0.12,0,62,1,7,8,2,5.38235294117647,1,1,0,0,0.9974,0,3,1
913,1,0,1,3,0,0,2,1,1,15,26,0.18,0,89,1,1,8,3,2.46428571428571,0,0,0,5,0.9998,0,3,0
991,0,0,1,0,0,1,1,1,6,4,0,0.46,0,70,5,0,3,1,1.83333333333333,1,2,0,0,0.9966,0,2,0
1009,0,0,1,0,2,6,1,1,0,0,11,0.25,6,0,6,3,12,1,0.545454545454545,0,2,0,1,1.0,0,2,2
1093,0,0,1,1,2,1,1,8,0,6,37,0.21,2,85,5,0,6,2,3.94594594594595,0,2,0,0,0.9802,0,2,2
1105,0,0,1,1,0,15,1,1,0,0,1,0.71,10,0,5,0,2,1,2.0,2,18,1,1,1.0,0,3,0
1134,2,0,1,3,0,4,2,1,8,13,16,0.42,2,82,3,2,5,2,3.69230769230769,0,1,0,0,0.9984,0,2,2
1309,0,0,1,1,0,1,3,1,10,17,1,0.23,0,84,2,5,5,1,5.90909090909091,3,2,0,5,0.998,0,3,1
1496,1,0,2,15,0,0,4,1,6,19,5,0.07,2,85,1,0,2,2,6.83333333333333,0,2,0,0,0.9935,0,1,1
1598,1,0,1,3,1,0,1,1,3,4,18,0.18,0,79,2,2,3,3,2.31818181818182,0,0,0,0,0.0,0,3,0
1601,6,0,1,1,0,3,3,1,0,6,7,0.27,0,63,1,0,11,2,4.61538461538461,2,1,0,4,0.9958,0,4,1
1722,0,0,2,1,2,1,3,1,15,9,3,0.22,0,90,2,3,4,1,3.83333333333333,1,2,0,0,0.9968,0,3,2
1735,0,0,1,7,5,0,2,1,3,6,26,0.15,0,90,1,0,3,4,3.41379310344828,0,0,0,0,0.9955,0,3,3
