test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
39,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,37.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5590300398857123,0.4409699601142878
39,1,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,36.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5610084524914076,0.43899154750859254
39,2,6.0,30.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,31.9,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5601768276877312,0.43982317231226886
39,3,13.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,13.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5605870076185985,0.4394129923814016
39,4,12.0,1.0,1.0,5.0,3.0,4.0,2.0,8.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5069708755882952,0.49302912441170466
39,5,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,10.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,20.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5540190938484875,0.4459809061515126
39,6,6.0,1.0,1.0,5.0,3.0,4.0,10.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,2.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5566051631711617,0.44339483682883835
39,7,6.0,1.0,1.0,5.0,3.0,11.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,32.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5539254109404333,0.44607458905956665
39,8,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,23.0,2.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5606250116971532,0.4393749883028468
39,9,6.0,1.0,1.0,5.0,3.0,4.0,9.0,6.0,21.0,59.0,133.0,13.03,0.0,97.0,1.0,2.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5597454885622464,0.44025451143775346
41,0,1.0,30.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,31.9,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5605357404732222,0.43946425952677776
41,1,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,21.0,18.0,6.0,7.01204819277108,0.0,1.0,0.0,22.0,1.0,0.0,3.0,2.0,0.5295214735816359,0.470478526418364
41,2,1.0,0.0,1.0,6.0,1.0,9.0,10.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5455342975741919,0.4544657024258083
41,3,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,36.6,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5577167886717123,0.44228321132828774
41,4,12.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5153311950197897,0.4846688049802101
