test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
39,0,6.0,1.0,1.0,5.0,17.0,4.0,2.0,6.0,21.0,59.0,133.0,0.77,0.0,97.0,1.0,22.0,59.0,9.0,4.74534161490683,0.0,0.0,0.0,11.0,0.454545454545455,0.0,3.0,1.0,0.5548523541361712,0.44514764586382877,2
41,0,1.0,0.0,1.0,6.0,15.0,2.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,10.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5443356664549929,0.45566433354500724,2
46,0,5.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,0.41,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,14.0,17.0,0.0,5.0,0.6,0.0,3.0,2.0,0.5324322082499142,0.4675677917500857,2
56,0,9.0,4.0,1.0,1.0,26.0,9.0,2.0,5.0,20.0,21.0,77.0,1.44,0.0,94.0,1.0,1.0,50.0,6.0,4.16831683168317,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.5614356953632949,0.43856430463670515,2
65,0,0.0,0.0,1.0,2.0,21.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,1.0,31.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0,0.5617077006019568,0.438292299398043,2
104,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,21.0,10.59,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,33.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5646342408611429,0.43536575913885706,2
127,0,4.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,13.0,27.0,8.76,0.0,90.0,1.0,0.0,1.0,2.0,3.66666666666667,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.5799785710075506,0.4200214289924494,1
147,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,22.0,0.0,3.0,0.9,0.0,3.0,1.0,0.6542400745975429,0.3457599254024571,2
148,0,1.0,0.0,1.0,1.0,28.0,0.0,1.0,1.0,1.0,7.0,21.0,5.51,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,0.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0,0.5666955926618883,0.43330440733811176,2
149,0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,26.0,0.47,0.0,92.0,1.0,2.0,12.0,2.0,2.74074074074074,1.0,1.0,0.0,8.0,0.846153846153846,0.0,2.0,0.0,0.679399537972295,0.32060046202770487,2
154,0,0.0,0.0,1.0,2.0,35.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,0.0,1.0,0.0,6.0,0.666666666666667,0.0,2.0,0.0,0.5882678448017875,0.4117321551982124,2
157,0,0.0,0.0,1.0,1.0,21.0,1.0,2.0,1.0,1.0,8.0,27.0,9.14,0.0,82.0,2.0,0.0,14.0,1.0,2.35714285714286,0.0,1.0,0.0,10.0,0.9,0.0,2.0,0.0,0.5780133211992425,0.42198667880075735,2
203,0,0.0,0.0,1.0,1.0,37.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,1.0,25.0,0.0,11.0,0.909090909090909,0.0,3.0,1.0,0.5622507401844161,0.43774925981558405,2
218,0,0.0,1.0,2.0,1.0,12.0,2.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,0.0,36.0,0.0,17.0,0.764705882352941,0.0,3.0,1.0,0.5624386376509244,0.43756136234907583,2
