test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1
41,0,6.0,1.0,1.0,15.0,3.0,4.0,2.0,7.0,21.0,8.0,139.0,1.59,0.0,97.0,1.0,2.0,59.0,0.0,4.73053892215569,0.0,0.0,0.0,0.5,0.5,1.0,0.5198819717742935,0.48011802822570654
41,1,6.0,1.0,1.0,5.0,3.0,4.0,2.0,16.0,19.0,62.0,53.0,7.06,0.0,97.0,1.0,52.0,14.0,9.0,49.4,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5640562999632531,0.4359437000367469
41,2,6.0,1.0,1.0,5.0,3.0,4.0,2.0,10.0,21.0,14.0,139.0,0.76,0.0,97.0,1.0,2.0,9.0,3.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5263841040061721,0.47361589599382786
41,3,19.0,1.0,4.0,82.0,3.0,4.0,2.0,7.0,21.0,4.0,139.0,2.27,0.0,97.0,1.0,2.0,59.0,1.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.6796409164319916,0.3203590835680083
41,4,6.0,1.0,1.0,5.0,3.0,4.0,2.0,10.0,21.0,14.0,139.0,0.76,0.0,97.0,1.0,2.0,9.0,3.0,4.73053892215569,0.0,0.0,0.0,0.4,0.5,1.0,0.5314148018648135,0.4685851981351865
41,5,6.0,1.0,1.0,15.0,3.0,4.0,2.0,7.0,21.0,8.0,139.0,1.59,0.0,97.0,1.0,2.0,59.0,0.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5198819717742935,0.48011802822570654
41,6,19.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,4.0,139.0,2.27,0.0,97.0,1.0,2.0,59.0,1.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.6179468633812142,0.3820531366187858
41,7,6.0,1.0,1.0,5.0,3.0,4.0,2.0,10.0,21.0,14.0,139.0,0.76,0.0,97.0,1.0,49.0,9.0,3.0,4.73053892215569,0.0,0.0,0.0,0.4,0.5,1.0,0.779702697931339,0.22029730206866108
41,8,19.0,1.0,4.0,5.0,3.0,4.0,2.0,7.0,21.0,4.0,139.0,2.27,0.0,97.0,1.0,2.0,59.0,1.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.6796409164319916,0.3203590835680083
41,9,6.0,1.0,1.0,5.0,3.0,4.0,1.0,7.0,21.0,5.0,139.0,1.45,0.0,97.0,1.0,2.0,59.0,0.0,4.73053892215569,0.0,16.0,0.0,0.533424283765348,0.2,1.0,0.7804533565309856,0.21954664346901442
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,11.0,7.0,29.0,0.55,0.0,97.0,0.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.6190526055436685,0.3809473944563316
43,1,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,3.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,4.0,0.5588230253521032,0.44117697464789685
43,2,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,11.0,7.0,77.0,0.55,0.0,97.0,0.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5357541043135805,0.46424589568641955
43,3,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,19.7,0.0,22.0,0.0,0.568445475638051,0.5,0.0,0.8330102599945814,0.16698974000541858
43,4,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,19.7,0.0,1.0,0.0,0.568445475638051,0.5,0.0,0.6920962187513151,0.3079037812486849
43,5,1.0,44.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,0.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,1.0,2.0,0.6430514595558441,0.35694854044415586
43,6,1.0,0.0,4.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,3.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,4.0,0.6309253236994485,0.3690746763005514
43,7,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,3.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5588230253521032,0.44117697464789685
43,8,1.0,44.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,0.0,77.0,6.57,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,1.0,2.0,0.7619688987856376,0.2380311012143624
43,9,1.0,0.0,1.0,6.0,1.0,2.0,11.0,2.0,7.0,8.0,77.0,3.45,0.0,4.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5520600160021052,0.44793998399789475
48,0,6.0,3.0,1.0,1.0,7.0,4.0,3.0,6.0,0.0,22.0,38.0,6.71,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,13.0,0.0,0.496396396396396,0.666666666666667,3.0,0.540929991032357,0.45907000896764305
48,1,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,3.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,19.7,0.0,1.0,0.0,0.496396396396396,0.666666666666667,0.0,0.75770014351438,0.24229985648561997
48,2,6.0,3.0,1.0,1.0,0.0,4.0,1.0,6.0,8.0,5.0,38.0,1.45,0.0,89.0,1.0,3.0,27.0,0.0,4.87272727272727,0.0,16.0,0.0,0.496396396396396,0.666666666666667,3.0,0.7672718338668844,0.23272816613311562
48,3,6.0,3.0,1.0,1.0,0.0,4.0,6.0,6.0,8.0,22.0,38.0,0.39,0.0,89.0,1.0,3.0,5.0,4.0,4.87272727272727,0.0,1.0,0.0,1.0,1.0,3.0,0.5583997239886781,0.4416002760113219
48,4,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,3.0,38.0,0.39,8.0,89.0,1.0,3.0,27.0,4.0,19.7,0.0,22.0,0.0,0.496396396396396,0.666666666666667,0.0,0.9092413934898897,0.09075860651011029
48,5,19.0,3.0,4.0,1.0,0.0,4.0,3.0,6.0,8.0,4.0,38.0,2.27,0.0,89.0,1.0,3.0,27.0,1.0,4.87272727272727,0.0,1.0,0.0,0.496396396396396,0.666666666666667,3.0,0.7482098287307236,0.2517901712692764
48,6,6.0,3.0,1.0,1.0,0.0,6.0,3.0,6.0,3.0,22.0,38.0,1.33,0.0,89.0,1.0,3.0,27.0,2.0,4.87272727272727,0.0,3.0,0.0,0.496396396396396,0.666666666666667,3.0,0.6670364986827872,0.3329635013172128
48,7,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,14.0,22.0,38.0,7.0,0.0,89.0,1.0,3.0,27.0,3.0,4.87272727272727,0.0,1.0,0.0,1.0,0.666666666666667,1.0,0.522295913007063,0.4777040869929369
48,8,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,3.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,19.7,0.0,22.0,0.0,0.496396396396396,0.666666666666667,0.0,0.9095880402520163,0.09041195974798363
48,9,6.0,3.0,4.0,1.0,0.0,4.0,14.0,6.0,8.0,0.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,23.6,41.0,1.0,0.0,0.496396396396396,0.666666666666667,3.0,0.7749756721798552,0.22502432782014484
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,1.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.2,1.0,0.6438181728726673,0.35618182712733276
58,1,0.0,4.0,1.0,37.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,3.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.5171476447049275,0.4828523552950726
