,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
48,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
1143,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,0,1,2,0,2,1,1,1,24,49,0.62,0,95,1,2,0,2,2.66,1,1,0,0.947368421052632,0.5,0
67,,,,,,,,,,,,,,,,,,,,,,,,,
1677,1,0,1,0,0,4,1,1,0,2,40,1.24,0,91,1,0,2,0,1.8780487804878,0,0,0,0.913793103448276,0.0,2
1802,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,0,2,2,0,1,3,1,6,11,21,0.22,0,87,2,0,1,2,3.22222222222222,0,1,0,0.902743142144638,0.0,0
165,0,0,1,1,0,1,2,1,1,0,26,0.23,0,82,2,0,14,1,2.37037037037037,0,1,0,0.676923076923077,0.5,0
790,0,2,1,0,0,0,2,1,2,6,22,0.12,0,80,1,1,2,2,2.19230769230769,0,0,0,0.501930501930502,1.0,0
793,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,0,1,1,0,0,2,1,1,7,24,0.2,0,70,2,0,0,1,2.48,0,1,0,0.729824561403509,0.0,0
917,1,0,1,5,9,4,2,1,4,0,16,0.61,0,94,1,8,2,1,5.47619047619048,1,1,0,0.555932203389831,0.5,3
1153,,,,,,,,,,,,,,,,,,,,,,,,,
1452,2,0,1,1,0,0,1,1,6,11,1,0.07,4,82,4,1,15,1,4.59090909090909,2,1,0,0.593110871905274,1.0,1
1818,0,0,1,7,5,0,2,1,3,8,1,0.14,0,91,1,0,6,4,3.41935483870968,0,0,0,0.450549450549451,1.0,3
212,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,
522,0,0,1,1,0,0,2,1,5,3,1,0.41,0,62,2,1,8,1,4.16666666666667,1,1,0,0.94,1.0,3
855,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
757,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,
776,,,,,,,,,,,,,,,,,,,,,,,,,
243,1,1,1,1,0,1,2,6,3,10,36,1.78,1,87,2,1,43,2,3.24390243902439,0,0,0,0.419354838709677,0.5,2
789,3,0,1,3,0,0,2,1,7,12,0,0.12,0,92,1,1,25,2,2.6,0,0,0,0.706744868035191,1.0,0
520,0,0,1,1,0,3,3,1,3,0,1,1.27,0,75,3,1,6,1,3.75,1,2,0,0.540816326530612,0.75,0
745,,,,,,,,,,,,,,,,,,,,,,,,,
791,1,2,1,6,0,0,2,1,4,12,28,1.17,0,92,2,0,24,2,2.4,0,0,0,0.538659793814433,0.0,0
857,,,,,,,,,,,,,,,,,,,,,,,,,
891,0,0,2,0,0,0,2,1,4,2,5,1.8,0,77,2,0,11,2,3.66666666666667,1,1,0,1.0,0.0,0
900,0,2,1,3,0,0,2,1,0,7,7,0.19,1,74,1,0,16,1,2.145104895104895,1,1,0,0.825301204819277,1.0,0
911,,,,,,,,,,,,,,,,,,,,,,,,,
912,0,0,1,1,0,3,2,1,6,0,2,1.85,1,75,2,4,12,1,3.0,1,1,0,0.572327044025157,0.333333333333333,1
1367,0,0,1,1,0,1,3,1,10,16,1,1.125,0,84,2,5,5,1,5.72727272727273,3,2,0,0.346341463414634,0.0,1
1665,6,0,1,1,1,1,2,4,0,9,28,1.85,0,86,1,0,5,3,2.41176470588235,0,1,0,0.790523690773067,1.0,2
1667,0,0,2,0,0,4,3,2,0,6,16,1.82,0,81,2,0,9,2,2.9375,1,1,0,0.7217125382263,1.0,1
1803,,,,,,,,,,,,,,,,,,,,,,,,,
