test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,6.0,34.0,7.0,139.0,4.58,11.0,63.0,2.0,2.0,1.0,9.0,28.0,34.0,34.0,0.0,0.533424283765348,0.6,0.0,0.7093199256083107,0.2906800743916893
41,1,6.0,1.0,3.0,27.0,3.0,12.0,2.0,7.0,12.0,62.0,718.0,4.68,9.0,22.0,1.0,28.0,5.0,9.0,4.73053892215569,0.0,0.0,1.0,0.533424283765348,0.6,1.0,0.6648469444300378,0.3351530555699623
41,2,6.0,1.0,1.0,5.0,118.0,8.0,2.0,20.0,0.0,62.0,139.0,4.38,0.0,33.0,2.0,32.0,59.0,3.0,4.73053892215569,0.0,0.0,0.0,0.7,0.5,1.0,0.5949657873823508,0.40503421261764916
41,3,6.0,1.0,1.0,14.0,84.0,4.0,2.0,17.0,21.0,8.0,139.0,0.76,11.0,97.0,1.0,2.0,59.0,9.0,18.2,0.0,40.0,3.0,0.6,0.5,1.0,0.5516263633695369,0.4483736366304631
41,4,7.0,7.0,2.0,5.0,14.0,5.0,2.0,9.0,21.0,62.0,539.0,7.46,0.0,97.0,1.0,2.0,0.0,1.0,45.6,7.0,0.0,0.0,1.0,0.5,1.0,0.8116185561133568,0.18838144388664327
41,5,33.0,1.0,1.0,5.0,3.0,14.0,2.0,7.0,21.0,6.0,139.0,4.58,0.0,97.0,1.0,50.0,59.0,1.0,4.73053892215569,33.0,0.0,0.0,0.533424283765348,0.5,3.0,0.5632024755201984,0.4367975244798016
41,6,6.0,1.0,1.0,58.0,3.0,4.0,2.0,7.0,14.0,62.0,139.0,8.09,0.0,97.0,1.0,18.0,7.0,3.0,49.5,0.0,0.0,0.0,1.0,0.5,1.0,0.9759918341400633,0.02400816585993669
41,7,6.0,1.0,0.0,5.0,146.0,4.0,2.0,22.0,38.0,0.0,139.0,0.76,0.0,74.0,1.0,39.0,21.0,9.0,4.73053892215569,0.0,0.0,0.0,0.8,0.5,1.0,0.7683411373305931,0.231658862669407
41,8,6.0,28.0,1.0,72.0,3.0,4.0,2.0,13.0,21.0,7.0,362.0,0.76,14.0,97.0,1.0,2.0,30.0,9.0,4.73053892215569,0.0,0.0,2.0,0.533424283765348,0.5,1.0,0.5524668870913689,0.44753311290863107
41,9,3.0,1.0,2.0,5.0,3.0,4.0,2.0,25.0,21.0,74.0,139.0,4.32,0.0,1.0,1.0,1.0,5.0,9.0,26.4,0.0,0.0,0.0,0.7,0.5,1.0,0.6858639645019733,0.31413603549802677
41,10,19.0,1.0,1.0,26.0,109.0,4.0,2.0,13.0,21.0,9.0,139.0,0.76,0.0,97.0,1.0,2.0,20.0,2.0,13.5,19.0,0.0,1.0,0.533424283765348,0.3,1.0,0.6316007507617858,0.36839924923821415
41,11,6.0,28.0,1.0,72.0,3.0,4.0,2.0,13.0,8.0,7.0,362.0,0.76,14.0,97.0,1.0,47.0,30.0,9.0,4.73053892215569,0.0,8.0,2.0,0.9,0.5,1.0,0.8225496832760749,0.17745031672392508
41,12,6.0,1.0,1.0,49.0,3.0,1.0,1.0,7.0,21.0,2.0,112.0,6.15,0.0,97.0,1.0,37.0,59.0,3.0,37.6,0.0,0.0,3.0,0.9,0.5,1.0,0.8885733208190301,0.11142667918096995
41,13,6.0,1.0,1.0,15.0,3.0,13.0,2.0,6.0,21.0,87.0,139.0,1.81,0.0,3.0,1.0,2.0,0.0,0.0,11.1,0.0,0.0,1.0,0.5,0.5,1.0,0.5455238352614231,0.4544761647385769
41,14,12.0,1.0,1.0,5.0,127.0,4.0,2.0,7.0,21.0,62.0,187.0,6.66,0.0,97.0,1.0,2.0,7.0,0.0,4.73053892215569,0.0,11.0,0.0,0.9,0.8,4.0,0.5204861906989724,0.47951380930102755
41,15,6.0,1.0,1.0,15.0,3.0,13.0,2.0,6.0,21.0,87.0,139.0,1.81,0.0,97.0,1.0,2.0,0.0,0.0,11.1,0.0,0.0,1.0,0.5,0.5,1.0,0.5726835536119544,0.42731644638804556
41,16,7.0,7.0,2.0,5.0,14.0,4.0,2.0,9.0,21.0,62.0,539.0,7.46,0.0,97.0,1.0,2.0,0.0,1.0,45.6,7.0,0.0,0.0,1.0,0.5,1.0,0.8116185561133568,0.18838144388664327
41,17,6.0,11.0,0.0,5.0,146.0,4.0,2.0,22.0,38.0,0.0,139.0,0.76,0.0,74.0,1.0,39.0,21.0,9.0,4.73053892215569,0.0,0.0,0.0,0.8,0.5,1.0,0.6973128938632739,0.3026871061367261
41,18,6.0,1.0,2.0,38.0,3.0,4.0,2.0,7.0,21.0,9.0,139.0,0.76,0.0,97.0,5.0,28.0,63.0,6.0,22.8,0.0,12.0,0.0,0.533424283765348,0.5,1.0,0.525630458987461,0.47436954101253903
