test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,1.0,0.76,0.0,97.0,1.0,2.0,1.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.59,0.41,3
41,1,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,10.0,139.0,0.76,0.0,97.0,1.0,2.0,0.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.52,0.48,3
41,2,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,7.0,7.0,0.76,0.0,97.0,1.0,2.0,7.0,9.0,4.73053892215569,0.0,0.0,0.0,0.9,0.5,1.0,0.58,0.42,4
41,3,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,20.0,45.0,0.76,0.0,97.0,1.0,2.0,7.0,9.0,4.73053892215569,0.0,0.0,0.0,1.1,0.5,1.0,0.51,0.49,4
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,5.0,77.0,0.55,0.0,0.0,2.0,3.0,69.0,6.0,6.65882352941177,0.0,1.0,0.0,1.1,0.5,2.0,0.51,0.49,4
43,1,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,7.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.9,0.5,2.0,0.56,0.44,3
43,2,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,7.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.56,0.44,2
43,3,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,3.0,0.55,0.0,97.0,2.0,3.0,51.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.56,0.44,3
43,4,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,31.0,6.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,1.1,0.5,2.0,0.51,0.49,2
43,5,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,5.0,77.0,0.55,0.0,97.0,2.0,3.0,69.0,6.0,6.65882352941177,0.0,1.0,0.0,1.1,0.5,2.0,0.52,0.48,3
43,6,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,6.0,0.55,0.0,97.0,2.0,3.0,2.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.53,0.47,3
43,7,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,68.0,3.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,1.0,0.5,2.0,0.53,0.47,3
43,8,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,77.0,0.55,0.0,48.0,2.0,3.0,48.0,6.0,6.65882352941177,0.0,1.0,0.0,0.9,0.5,2.0,0.51,0.49,4
43,9,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,61.0,6.0,0.55,0.0,1.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,1.1,0.5,2.0,0.52,0.48,4
43,10,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,48.0,0.55,0.0,97.0,2.0,3.0,10.0,6.0,6.65882352941177,0.0,1.0,0.0,0.8,0.5,2.0,0.52,0.48,4
43,11,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,7.0,0.55,0.0,29.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.9,0.5,2.0,0.58,0.42,4
43,12,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,7.0,6.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.57,0.43,2
43,13,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,20.0,68.0,0.55,0.0,97.0,2.0,3.0,0.0,6.0,6.65882352941177,0.0,1.0,0.0,1.1,0.5,2.0,0.52,0.48,4
43,14,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.58,0.42,2
43,15,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,18.0,8.0,0.55,0.0,16.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.9,0.5,2.0,0.51,0.49,4
43,16,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,14.0,0.55,0.0,35.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.53,0.47,3
43,17,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,52.0,9.0,0.55,0.0,11.0,2.0,3.0,9.0,6.0,6.65882352941177,0.0,1.0,0.0,0.9,0.5,2.0,0.51,0.49,5
43,18,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,38.0,9.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,1.0,0.5,2.0,0.51,0.49,3
43,19,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,3.0,0.55,0.0,97.0,2.0,3.0,51.0,6.0,6.65882352941177,0.0,1.0,0.0,0.7,0.5,2.0,0.56,0.44,4
43,20,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,3.0,3.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.59,0.41,2
43,21,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,1.0,77.0,0.55,0.0,18.0,2.0,3.0,1.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.51,0.49,3
48,0,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,9.0,0.39,0.0,89.0,1.0,3.0,0.0,4.0,4.87272727272727,0.0,1.0,0.0,1.0,0.666666666666667,3.0,0.55,0.45,3
48,1,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,11.0,38.0,0.39,0.0,89.0,1.0,3.0,1.0,4.0,4.87272727272727,0.0,1.0,0.0,1.0,0.666666666666667,3.0,0.52,0.48,3
48,2,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,3.0,10.0,30.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,1.1,0.666666666666667,3.0,0.51,0.49,4
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,8.0,10.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.4,0.2,1.0,0.6,0.4,4
58,1,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,67.0,0.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.5,0.2,1.0,0.52,0.48,4
58,2,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,8.0,8.0,1.43,0.0,94.0,1.0,1.0,8.0,6.0,4.24038461538461,0.0,0.0,0.0,0.4,0.625,1.0,0.58,0.42,4
58,3,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,6.0,1.43,0.0,94.0,1.0,1.0,2.0,6.0,4.24038461538461,0.0,0.0,0.0,0.6,0.625,1.0,0.55,0.45,3
58,4,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,6.0,1.43,0.0,94.0,1.0,1.0,2.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.54,0.46,2
58,5,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,3.0,1.43,0.0,94.0,1.0,1.0,3.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.54,0.46,2
58,6,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,7.0,7.0,1.43,0.0,94.0,1.0,1.0,7.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.9,1.0,0.64,0.36,4
58,7,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,2.0,3.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.2,1.0,0.63,0.37,3
58,8,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,0.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.5,0.2,1.0,0.51,0.49,3
58,9,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,7.0,1.43,0.0,94.0,1.0,1.0,7.0,6.0,4.24038461538461,0.0,0.0,0.0,0.7,0.625,1.0,0.52,0.48,3
58,10,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,1.0,1.43,0.0,94.0,1.0,1.0,1.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.56,0.44,2
58,11,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,52.0,9.0,1.43,0.0,94.0,1.0,1.0,9.0,6.0,4.24038461538461,0.0,0.0,0.0,0.9,0.8,1.0,0.58,0.42,5
58,12,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,1.0,1.43,0.0,94.0,1.0,1.0,1.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,1.0,1.0,0.59,0.41,3
58,13,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,8.0,4.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.51,0.49,2
58,14,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,14.0,1.43,0.0,94.0,1.0,1.0,7.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.2,1.0,0.53,0.47,3
58,15,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,5.0,1.43,0.0,94.0,1.0,1.0,8.0,6.0,4.24038461538461,0.0,0.0,0.0,0.8,0.625,1.0,0.52,0.48,3
58,16,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,5.0,7.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.7,0.5,1.0,0.6,0.4,4
58,17,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,20.0,68.0,1.43,0.0,94.0,1.0,1.0,0.0,6.0,4.24038461538461,0.0,0.0,0.0,1.1,0.625,1.0,0.52,0.48,4
58,18,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,68.0,3.0,1.43,0.0,94.0,1.0,1.0,3.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.52,0.48,3
58,19,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,8.0,10.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.2,1.0,0.59,0.41,3
58,20,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,9.0,1.43,0.0,94.0,1.0,1.0,2.0,6.0,4.24038461538461,0.0,0.0,0.0,0.4,0.1,1.0,0.54,0.46,4
