test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.789247311827957,0.0,1.0,0.52,0.48,3,6020797289396.147
43,0,2.0,0.0,1.0,6.0,1.0,2.0,1.0,1.0,7.0,31.0,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.0,2.0,0.5,0.5,3,1500000000000.0
48,0,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,38.0,0.39,0.0,0.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,1.0,0.0,3.0,0.52,0.48,3,666666666666.667
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,1.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.0,1.0,0.5,0.5,2,4048533685175.4116
67,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,3.0,23.0,0.1,0.0,87.0,2.0,0.0,28.0,1.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,0.0,1.0,0.52,0.48,2,1000000000000.0
97,0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,35.0,71.0,157.0,0.27,0.0,0.0,1.0,2.0,64.0,2.0,6.43523316062176,0.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,4,1077032961426.9008
110,0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.78,0.0,90.0,3.0,0.0,27.0,1.0,3.22222222222222,0.0,1.0,0.0,0.690909090909091,1.0,1.0,0.54,0.46,2,5.344154109448132
111,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,18.0,0.25,0.0,83.0,1.0,0.0,20.0,3.0,3.08695652173913,0.0,0.0,0.0,0.551369863013699,0.0,0.0,0.52,0.48,1,8.768379873189822
133,0,4.0,0.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,13.0,4.0,0.41,0.0,90.0,1.0,0.0,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.583529411764706,0.0,1.0,0.53,0.47,3,1201850425154.6633
153,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,27.0,2.0,4.40740740740741,0.0,0.0,0.0,0.597345132743363,0.0,1.0,0.5,0.5,2,750000000000.0
156,0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,24.0,49.0,0.62,0.0,95.0,1.0,2.0,1.0,2.0,2.66,1.0,1.0,0.0,0.947368421052632,0.0,0.0,0.52,0.48,2,500000000000.0
165,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,26.0,0.23,0.0,82.0,2.0,0.0,14.0,1.0,2.37037037037037,0.0,1.0,0.0,0.676923076923077,0.5,0.0,0.51,0.49,1,5.395926075809122
212,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,0.61100569259962,0.0,1.0,0.53,0.47,1,1000000000000.0
228,0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,1.0,30.0,0.26,0.0,89.0,2.0,2.0,25.0,2.0,3.775,0.0,0.0,0.0,1.0,0.857142857142857,1.0,0.5,0.5,2,8.219090166681676
236,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.9957805907173,0.0,1.0,0.51,0.49,2,500000000000.0
243,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,0.0,36.0,0.16,1.0,87.0,2.0,1.0,43.0,2.0,3.24390243902439,0.0,0.0,0.0,1.0,0.5,2.0,0.52,0.48,2,7.03401577453153
259,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,0.0,76.0,0.15,0.0,0.0,1.0,1.0,71.0,4.0,3.12765957446809,0.0,1.0,0.0,0.69479090242113,0.5,1.0,0.5,0.5,2,25.680659929814336
409,0,4.0,6.0,1.0,17.0,0.0,0.0,2.0,1.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.6140350877193,0.0,1.0,0.0,0.994858611825193,0.0,1.0,0.51,0.49,3,2061552812808.8303
445,0,11.0,10.0,1.0,8.0,2.0,1.0,2.0,1.0,0.0,26.0,30.0,0.18,0.0,92.0,1.0,0.0,10.0,3.0,4.6078431372549,0.0,1.0,0.0,0.721544715447154,0.0,0.0,0.55,0.45,1,0.21619762889350203
520,0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,75.0,3.0,1.0,7.0,1.0,3.75,1.0,2.0,0.0,0.540816326530612,0.75,0.0,0.53,0.47,1,0.3372453797381838
523,0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,29.0,37.0,39.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.25714285714286,0.0,0.0,0.0,0.619718309859155,0.0,1.0,0.53,0.47,3,9024657580453.922
739,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,37.0,0.13,0.0,85.0,2.0,0.0,24.0,2.0,2.83720930232558,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,2,7.647379929631896
745,0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,0.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,0.647584973166369,0.0,1.0,0.53,0.47,2,1000000000000.0
746,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,44.0,78.0,0.15,0.0,0.0,1.0,0.0,41.0,4.0,2.95744680851064,0.0,1.0,0.0,0.659197012138189,0.0,2.0,0.5,0.5,2,666666666666.667
776,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,84.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.51190476190476,1.0,1.0,0.0,1.0,1.0,0.0,0.52,0.48,1,0.6323474432691534
789,0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,25.0,0.12,0.0,92.0,1.0,1.0,25.0,2.0,2.6,0.0,0.0,0.0,0.706744868035191,0.0,0.0,0.51,0.49,1,1000000000000.0
790,0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,22.0,0.12,0.0,80.0,1.0,1.0,12.0,2.0,2.19230769230769,0.0,0.0,0.0,0.501930501930502,1.0,0.0,0.53,0.47,1,4.046944556856841
791,0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,0.0,28.0,0.23,0.0,92.0,2.0,0.0,24.0,2.0,2.4,0.0,0.0,0.0,0.538659793814433,0.0,0.0,0.54,0.46,1,8.093889113713683
793,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,17.0,0.1,0.0,77.0,2.0,0.0,18.0,2.0,4.54545454545455,0.0,0.0,0.0,0.580555555555556,1.0,0.0,0.53,0.47,1,2.697963037904561
838,0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,22.0,0.35,1.0,78.0,1.0,1.0,14.0,2.0,6.46666666666667,2.0,1.0,0.0,0.677570093457944,1.0,2.0,0.53,0.47,1,5.395926075809122
855,0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,33.0,50.0,0.1,0.0,93.0,1.0,0.0,1.0,1.0,2.76785714285714,0.0,1.0,0.0,0.983870967741935,0.8,2.0,0.5,0.5,3,1000000000000.0
857,0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,26.0,35.0,0.1,1.0,0.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,0.0,0.924742268041237,0.0,4.0,0.53,0.47,3,1000000000000.0
893,0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,16.0,19.0,0.0,0.12,2.0,91.0,1.0,0.0,49.0,2.0,6.85714285714286,3.0,1.0,0.0,0.86970684039088,1.0,2.0,0.5,0.5,1,2.697963037905774
900,0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,7.0,7.0,0.19,1.0,74.0,1.0,0.0,16.0,1.0,4.33333333333333,1.0,1.0,0.0,0.825301204819277,0.0,0.0,0.52,0.48,1,1000000000000.0
912,0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,6.0,0.0,2.0,0.51,1.0,75.0,2.0,4.0,12.0,1.0,3.0,1.0,1.0,0.0,0.559748427672956,0.333333333333333,1.0,0.52,0.48,1,0.04323743201840302
913,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,20.0,36.0,0.36,0.0,93.0,4.0,3.0,14.0,2.0,2.07142857142857,0.0,0.0,0.0,0.995689655172414,0.0,3.0,0.5,0.5,4,1500000000000.0
917,0,1.0,0.0,1.0,5.0,9.0,4.0,2.0,1.0,4.0,0.0,0.0,0.61,0.0,94.0,1.0,8.0,15.0,1.0,5.47619047619048,1.0,1.0,0.0,0.555932203389831,0.5,3.0,0.51,0.49,1,3.597284050541032
