test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1
41,0,9.0,1.0,1.0,5.0,74.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,6.0,22.0,26.0,9.0,4.73053892215569,9.0,2.0,0.0,1.0,0.5,1.0,0.7312448,0.26875523
41,1,6.0,18.0,1.0,5.0,3.0,16.0,2.0,7.0,21.0,62.0,139.0,6.36,0.0,97.0,1.0,17.0,59.0,9.0,38.9,0.0,33.0,0.0,0.533424283765348,0.5,1.0,0.60523355,0.39476642
41,2,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,751.0,1.64,0.0,97.0,1.0,52.0,59.0,9.0,10.0,0.0,0.0,0.0,0.533424283765348,0.2,1.0,0.7116647,0.28833532
41,3,6.0,1.0,1.0,5.0,56.0,4.0,1.0,7.0,21.0,14.0,139.0,6.22,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,1.0,0.0,0.0,0.533424283765348,0.5,1.0,0.7338706,0.26612937
41,4,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,9.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,5.0,9.8,0.0,0.0,0.0,0.533424283765348,0.5,4.0,0.60237205,0.39762792
41,5,6.0,1.0,1.0,49.0,3.0,1.0,1.0,7.0,21.0,62.0,139.0,6.15,0.0,97.0,1.0,2.0,59.0,3.0,37.6,0.0,0.0,3.0,0.533424283765348,0.5,1.0,0.5059671,0.49403292
41,6,6.0,1.0,1.0,5.0,3.0,4.0,0.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,38.7,0.0,3.0,2.0,0.9,0.5,1.0,0.5390829,0.4609171
41,7,6.0,1.0,1.0,48.0,3.0,0.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,28.0,59.0,8.0,4.73053892215569,0.0,0.0,0.0,1.1,0.5,1.0,0.5886493,0.41135073
41,8,9.0,1.0,1.0,5.0,74.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,6.0,22.0,59.0,9.0,4.73053892215569,9.0,0.0,0.0,1.0,0.5,1.0,0.52744865,0.47255132
41,9,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,2.29,0.0,94.0,1.0,14.0,59.0,0.0,4.73053892215569,17.0,0.0,3.0,0.533424283765348,0.3,1.0,0.59514785,0.40485212
41,10,6.0,1.0,3.0,5.0,3.0,12.0,2.0,7.0,21.0,62.0,139.0,7.94,0.0,97.0,1.0,36.0,59.0,9.0,48.6,0.0,31.0,0.0,0.533424283765348,0.5,1.0,0.63734126,0.36265877
41,11,6.0,1.0,3.0,5.0,3.0,12.0,2.0,7.0,21.0,62.0,139.0,7.94,1.0,97.0,1.0,36.0,59.0,9.0,48.6,0.0,31.0,0.0,0.533424283765348,0.5,1.0,0.63734126,0.36265877
41,12,6.0,1.0,1.0,5.0,3.0,6.0,2.0,7.0,21.0,62.0,381.0,8.05,13.0,97.0,6.0,7.0,59.0,9.0,49.3,0.0,0.0,0.0,1.0,0.5,1.0,0.86727965,0.13272037
41,13,6.0,1.0,1.0,7.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,3.0,2.0,59.0,1.0,14.8,0.0,39.0,3.0,0.533424283765348,0.3,1.0,0.5861018,0.41389823
41,14,6.0,27.0,1.0,55.0,21.0,4.0,2.0,7.0,21.0,62.0,139.0,7.43,4.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.7271208,0.27287918
41,15,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,5.62,0.0,97.0,4.0,20.0,59.0,9.0,34.4,0.0,0.0,0.0,0.8,0.5,1.0,0.69702816,0.30297187
41,16,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,38.7,0.0,3.0,0.0,0.9,0.5,1.0,0.5060303,0.49396968
41,17,6.0,1.0,1.0,5.0,3.0,16.0,2.0,7.0,21.0,62.0,139.0,0.76,1.0,97.0,5.0,2.0,33.0,9.0,48.8,24.0,38.0,0.0,1.0,0.5,1.0,0.70806587,0.2919341
41,18,6.0,1.0,1.0,5.0,164.0,4.0,2.0,7.0,21.0,33.0,139.0,2.08,0.0,97.0,1.0,34.0,59.0,9.0,12.7,0.0,13.0,0.0,0.533424283765348,0.5,1.0,0.7385582,0.26144186
41,19,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,6.07,0.0,66.0,1.0,2.0,42.0,2.0,4.73053892215569,0.0,0.0,2.0,0.9,0.5,1.0,0.6823994,0.31760064
41,20,12.0,1.0,1.0,5.0,127.0,4.0,2.0,7.0,21.0,62.0,187.0,6.66,0.0,97.0,1.0,2.0,7.0,9.0,4.73053892215569,0.0,0.0,0.0,0.9,0.5,1.0,0.59104466,0.40895534
41,21,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,7.0,140.0,0.76,3.0,97.0,1.0,2.0,58.0,9.0,4.73053892215569,0.0,28.0,0.0,1.0,1.0,1.0,0.9023793,0.0976207
41,22,6.0,1.0,1.0,5.0,56.0,4.0,2.0,7.0,21.0,14.0,139.0,6.22,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,1.0,0.0,0.0,0.533424283765348,0.5,1.0,0.7321292,0.26787075
41,23,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,3.18,0.0,97.0,1.0,37.0,16.0,1.0,19.5,8.0,0.0,0.0,0.6,0.5,1.0,0.6544088,0.3455912
41,24,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,8.05,0.0,97.0,1.0,7.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.6632942,0.33670577
41,25,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,187.0,6.66,0.0,97.0,1.0,2.0,7.0,9.0,4.73053892215569,0.0,0.0,0.0,0.9,0.5,1.0,0.59104466,0.40895534
41,26,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,670.0,7.59,0.0,97.0,3.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.81938016,0.1806198
41,27,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,95.0,139.0,0.76,0.0,96.0,1.0,35.0,59.0,9.0,50.5,0.0,0.0,0.0,1.1,0.5,1.0,0.5813495,0.4186505
41,28,6.0,7.0,1.0,5.0,26.0,4.0,2.0,7.0,21.0,62.0,71.0,7.89,0.0,97.0,1.0,51.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.79500014,0.20499988
41,29,6.0,39.0,1.0,5.0,3.0,4.0,0.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,37.0,59.0,9.0,38.7,0.0,3.0,2.0,0.9,0.5,1.0,0.6409377,0.3590623
41,30,6.0,1.0,1.0,58.0,3.0,4.0,2.0,7.0,14.0,62.0,139.0,8.09,0.0,97.0,1.0,18.0,59.0,3.0,49.5,0.0,0.0,0.0,1.0,0.5,1.0,0.86733437,0.13266566
41,31,6.0,1.0,0.0,5.0,53.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,44.3,0.0,25.0,0.0,1.0,0.5,1.0,0.6445186,0.35548136
41,32,6.0,1.0,3.0,83.0,3.0,6.0,2.0,7.0,21.0,62.0,139.0,3.02,0.0,97.0,1.0,26.0,59.0,9.0,18.5,0.0,23.0,0.0,0.533424283765348,0.5,1.0,0.55197597,0.448024
41,33,6.0,44.0,0.0,5.0,3.0,14.0,2.0,7.0,21.0,62.0,139.0,6.93,0.0,97.0,1.0,2.0,59.0,9.0,42.4,0.0,0.0,3.0,0.9,0.5,1.0,0.50689745,0.49310258
41,34,6.0,1.0,3.0,5.0,3.0,12.0,2.0,7.0,21.0,62.0,139.0,7.94,1.0,97.0,1.0,36.0,59.0,9.0,48.6,0.0,31.0,1.0,0.533424283765348,0.5,1.0,0.63734126,0.36265877
41,35,6.0,1.0,1.0,5.0,3.0,4.0,2.0,12.0,21.0,62.0,139.0,8.6,9.0,32.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.1,0.5,1.0,0.766999,0.23300096
41,36,37.0,37.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,86.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,51.9,0.0,13.0,0.0,1.1,0.5,1.0,0.6151672,0.3848328
41,37,6.0,16.0,1.0,5.0,3.0,4.0,2.0,26.0,21.0,62.0,139.0,6.07,0.0,66.0,1.0,2.0,42.0,2.0,4.73053892215569,0.0,0.0,2.0,0.9,0.5,1.0,0.6788246,0.3211754
41,38,6.0,1.0,1.0,5.0,3.0,6.0,2.0,7.0,21.0,62.0,139.0,8.05,0.0,97.0,6.0,7.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.83921945,0.16078053
41,39,6.0,1.0,1.0,5.0,98.0,4.0,0.0,20.0,21.0,4.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,15.9,0.0,0.0,0.0,0.5,0.5,1.0,0.7076099,0.29239008
41,40,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,9.0,510.0,0.76,0.0,97.0,1.0,2.0,59.0,5.0,9.8,0.0,0.0,0.0,0.533424283765348,0.5,4.0,0.60237205,0.39762792
41,41,6.0,44.0,0.0,5.0,3.0,14.0,2.0,7.0,21.0,62.0,139.0,6.93,0.0,97.0,1.0,2.0,59.0,9.0,42.4,0.0,0.0,0.0,0.9,0.5,1.0,0.50689745,0.49310258
41,42,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,14.0,62.0,139.0,8.09,0.0,97.0,1.0,2.0,59.0,3.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.73911184,0.26088816
41,43,6.0,1.0,1.0,5.0,3.0,4.0,8.0,7.0,21.0,62.0,263.0,0.76,0.0,7.0,1.0,13.0,17.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,3.0,0.58043516,0.41956487
41,44,6.0,25.0,3.0,5.0,70.0,4.0,2.0,7.0,21.0,62.0,139.0,1.63,0.0,97.0,1.0,2.0,59.0,9.0,10.0,0.0,0.0,0.0,0.533424283765348,0.2,1.0,0.58392394,0.41607603
41,45,6.0,1.0,0.0,5.0,3.0,17.0,2.0,7.0,21.0,62.0,139.0,6.52,0.0,97.0,6.0,2.0,59.0,9.0,4.73053892215569,44.0,1.0,0.0,0.9,0.5,1.0,0.6983576,0.30164245
41,46,6.0,1.0,1.0,5.0,56.0,4.0,1.0,7.0,21.0,14.0,139.0,6.22,3.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,1.0,0.0,0.0,0.533424283765348,0.5,1.0,0.8030716,0.19692838
41,47,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,9.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,9.8,0.0,0.0,0.0,0.533424283765348,0.5,4.0,0.60237205,0.39762792
41,48,6.0,1.0,1.0,5.0,3.0,17.0,2.0,7.0,21.0,62.0,619.0,1.73,7.0,97.0,6.0,2.0,59.0,9.0,10.6,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.65264684,0.34735316
41,49,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,670.0,7.59,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.67157495,0.32842505
41,50,6.0,1.0,1.0,5.0,3.0,4.0,2.0,24.0,34.0,77.0,139.0,0.76,0.0,97.0,3.0,2.0,4.0,9.0,41.6,0.0,34.0,0.0,0.9,0.5,1.0,0.50798666,0.49201334
41,51,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,7.0,140.0,0.76,3.0,97.0,2.0,2.0,58.0,9.0,4.73053892215569,0.0,28.0,0.0,1.0,1.0,1.0,0.92484045,0.07515954
41,52,6.0,27.0,1.0,55.0,21.0,4.0,2.0,7.0,21.0,62.0,139.0,7.43,4.0,97.0,1.0,2.0,59.0,2.0,4.73053892215569,0.0,0.0,0.0,1.0,0.5,1.0,0.84762275,0.15237725
41,53,6.0,1.0,1.0,5.0,3.0,6.0,2.0,7.0,3.0,62.0,139.0,1.51,0.0,97.0,1.0,2.0,59.0,2.0,4.73053892215569,0.0,3.0,0.0,0.533424283765348,0.5,1.0,0.5369552,0.46304482
41,54,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,139.0,0.76,0.0,97.0,3.0,2.0,59.0,1.0,14.8,0.0,39.0,0.0,0.533424283765348,0.3,1.0,0.5861018,0.41389823
41,55,6.0,1.0,1.0,52.0,3.0,4.0,2.0,7.0,21.0,95.0,139.0,0.76,0.0,96.0,1.0,35.0,59.0,9.0,50.5,0.0,0.0,0.0,1.1,0.5,1.0,0.5813495,0.4186505
41,56,6.0,1.0,1.0,5.0,3.0,7.0,2.0,7.0,21.0,62.0,139.0,1.8,0.0,97.0,1.0,33.0,59.0,9.0,11.0,0.0,33.0,0.0,0.533424283765348,0.5,1.0,0.7385582,0.26144186
41,57,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,14.0,62.0,139.0,8.09,0.0,97.0,1.0,18.0,59.0,3.0,49.5,0.0,0.0,0.0,1.0,0.5,1.0,0.86733437,0.13266566
41,58,6.0,1.0,1.0,5.0,3.0,4.0,2.0,5.0,21.0,9.0,510.0,0.76,0.0,97.0,1.0,2.0,59.0,5.0,9.8,0.0,0.0,0.0,0.533424283765348,0.5,4.0,0.60876787,0.3912321
41,59,6.0,1.0,1.0,15.0,3.0,4.0,2.0,7.0,21.0,87.0,139.0,1.81,0.0,97.0,1.0,2.0,0.0,0.0,4.73053892215569,0.0,0.0,0.0,0.5,0.5,1.0,0.56095016,0.4390498
