test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.4998779892921448,0.734375,1.0,0.5770006660750141,0.4229993339249859,1,500122010707.855
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,46.35595703125,7.0,21.0,62.0,0.75,0.0,97.0,1.0,2.0,0.498046875,9.0,5.14705882352941,0.0,0.0,0.0,1.0,0.527452745274527,4.0,0.508791690741061,0.49120830925893905,2,79.9003241638806
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.5,0.9469985964923677,4.0,0.5058861229066409,0.49411387709335913,2,500000000000.0
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,4.49658203125,4.0,4.80952380952381,0.0,1.0,0.0,0.4921875,0.442211055276382,4.0,0.5706617221331621,0.42933827786683787,2,35507812500000.0
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,6.4990234375,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.566552901023891,3.0,0.5231903264789977,0.47680967352100234,1,2.192424309489345
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,11.4990234375,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.642458100558659,5.0,0.5015346577437103,0.49846534225628963,1,13.996012600325782
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,0.49560546875,1.0,5.16666666666667,1.0,1.0,0.0,2.0,0.470715835140998,2.0,0.5229096487613047,0.47709035123869525,1,9.612975357898419
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,2.0,8.11940298507463,0.0,0.0,0.0,0.46142578125,0.6138362012983266,5.0,0.5628395220416286,0.43716047795837143,2,377538574218750.0
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,34.471923828125,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.659147869674185,1.0,0.552233228729836,0.44776677127016395,1,11.613581947916149
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,0.498046875,2.0,4.97368421052632,0.0,1.0,0.0,37.0,0.547058823529412,3.0,0.5052080677773508,0.49479193222264917,1,13.321851182040565
