test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.7,0.0,0.9198946312622567,0.08010536873774328
16,1,0.0,0.0,1.0,0.0,1.0,3.0,0.0,58.0,1.0,0.0,0.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3,0.0,0.946145706232326,0.053854293767674005
16,2,0.0,0.0,1.0,0.0,0.0,2.0,1.0,56.0,1.0,1.0,1.0,0.62,0.0,64.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.6274063485404271,0.37259365145957285
16,3,0.0,0.0,1.0,0.0,0.0,2.0,2.0,56.0,1.0,1.0,1.0,0.62,0.0,64.0,2.0,0.0,0.0,1.0,3.7,0.0,1.0,0.0,0.0,0.7,0.0,0.9543054084860776,0.045694591513922383
16,4,0.0,0.0,1.0,0.0,2.0,1.0,2.0,39.0,1.0,3.0,2.0,0.5,0.0,86.0,2.0,0.0,2.0,1.0,1.6,0.0,1.0,0.0,0.0,0.5,0.0,0.9204035382524702,0.07959646174752978
16,5,0.0,0.0,1.0,0.0,2.0,0.0,2.0,39.0,1.0,3.0,0.0,0.5,0.0,75.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.8006748819698131,0.1993251180301869
16,6,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.56,0.0,85.0,2.0,0.0,3.0,1.0,1.9,0.0,1.0,0.0,0.0,0.9,2.0,0.9615015863245288,0.03849841367547122
16,7,0.0,0.0,1.0,0.0,0.0,2.0,1.0,58.0,1.0,5.0,9.0,0.56,0.0,85.0,2.0,2.0,0.0,1.0,2.4,0.0,1.0,0.0,0.0,0.6,2.0,0.8948732066221899,0.10512679337781003
16,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.51,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9629400289450571,0.03705997105494291
16,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40.0,1.0,3.0,9.0,0.53,0.0,77.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.7,0.0,0.929994771442441,0.07000522855755895
78,0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,109.0,4.0,0.0,9.0,0.88,0.0,83.0,2.0,0.0,7.0,1.0,2.8,0.0,0.0,0.0,0.0,0.6,1.0,0.8204553963862803,0.17954460361371968
78,1,6.0,0.0,1.0,5.0,0.0,0.0,2.0,65.0,2.0,0.0,19.0,0.14,0.0,92.0,1.0,0.0,16.0,2.0,3.5,1.0,1.0,0.0,38.0,0.5,0.0,0.6686850404802094,0.33131495951979056
78,2,2.0,0.0,1.0,3.0,2.0,1.0,1.0,98.0,2.0,6.0,18.0,0.48,0.0,100.0,1.0,2.0,6.0,2.0,2.2,0.0,0.0,0.0,0.0,0.4,1.0,0.8535951238114619,0.1464048761885381
78,3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,69.0,1.0,0.0,2.0,0.63,0.0,71.0,1.0,2.0,8.0,2.0,0.6,0.0,0.0,0.0,0.0,0.4,2.0,0.5380017870509214,0.4619982129490786
78,4,2.0,0.0,1.0,3.0,0.0,4.0,2.0,155.0,1.0,9.0,13.0,0.41,2.0,82.0,3.0,2.0,5.0,2.0,3.6,0.0,0.0,0.0,39.0,0.7,2.0,0.7446655757543101,0.25533442424568986
78,5,0.0,0.0,1.0,0.0,0.0,2.0,2.0,106.0,1.0,1.0,2.0,0.64,0.0,78.0,1.0,2.0,8.0,2.0,1.5,0.0,1.0,0.0,0.0,0.4,0.0,0.7232797648437717,0.2767202351562284
78,6,0.0,0.0,1.0,1.0,0.0,4.0,3.0,69.0,1.0,8.0,13.0,0.5,1.0,84.0,3.0,2.0,0.0,2.0,4.2,0.0,0.0,0.0,0.0,0.6,2.0,0.8222962305457358,0.1777037694542642
78,7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,147.0,1.0,3.0,37.0,0.31,0.0,96.0,2.0,2.0,15.0,3.0,11.8,0.0,0.0,0.0,0.0,0.6,3.0,0.7509573580442102,0.2490426419557898
78,8,0.0,0.0,1.0,1.0,0.0,2.0,2.0,113.0,1.0,1.0,2.0,0.64,0.0,96.0,1.0,2.0,0.0,2.0,6.4,0.0,1.0,0.0,0.0,0.7,0.0,0.8694619346972275,0.13053806530277243
78,9,2.0,0.0,1.0,1.0,0.0,4.0,2.0,77.0,1.0,0.0,1.0,0.62,0.0,87.0,2.0,0.0,5.0,3.0,1.8,0.0,1.0,0.0,0.0,0.5,1.0,0.9237319599817511,0.076268040018249
