,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
2122,10.0,10.0,1.0,13.0,1.0,0.0,4.0,17.0,4.0,37.0,28.0,8.24,1.0,14.0,3.0,2.0,32.0,2.0,4.86538461538461,1.0,7.98076923076923,0.0,1.0,1.1,0.933333333333333,1.0
101,18.0,48.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,7.0,27.0,0.09,0.0,9.0,2.0,0.0,31.0,1.0,5.70588235294118,6.0,7.91176470588235,1.0,0.0,1.0,0.333333333333333,2.0
132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,39.0,1.0,5.0,0.1,0.0,88.0,1.0,20.0,28.0,2.0,3.70769230769231,12.0,1.41538461538462,1.0,0.0,0.341614906832298,1.0,3.0
136,19.0,0.0,1.0,7.0,2.0,1.0,2.0,13.0,32.0,100.0,0.0,0.24,0.0,10.0,0.0,3.0,80.0,2.0,16.7952755905512,0.0,3.29133858267717,0.0,0.0,0.279745042492918,0.25,6.0
147,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.11,0.0,0.0,1.0,2.0,28.0,2.0,0.046875,0.0,0.40625,0.0,0.0,0.654605263157895,1.0,2.0
148,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.09,0.0,6.0,1.0,69.0,29.0,2.0,0.984615384615385,0.0,1.35384615384615,1.0,0.0,0.354938271604938,1.0,3.0
153,19.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.09,0.0,10.0,0.0,0.0,25.0,2.0,3.29166666666667,1.0,3.59722222222222,1.0,0.0,0.267241379310345,0.666666666666667,3.0
181,1.0,2.0,1.0,1.0,2.0,0.0,1.0,13.0,29.0,12.0,14.0,0.04,0.0,75.0,3.0,84.0,22.0,2.0,3.73913043478261,0.0,3.41304347826087,35.0,0.0,0.472118959107807,0.333333333333333,2.0
193,19.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.0,10.0,0.0,3.0,28.0,2.0,3.6865671641791,0.0,2.35820895522388,1.0,0.0,0.351351351351351,1.0,3.0
199,19.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,9.0,43.0,0.0,0.4,0.0,10.0,0.0,2.0,29.0,2.0,3.0,0.0,2.01052631578947,0.0,0.0,0.578005115089514,0.5,2.0
