test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1
2122,0,6.0,0.0,1.0,6.0,0.0,0.0,2.0,14.0,0.0,26.0,28.0,5.75,0.0,91.0,2.0,9.0,14.0,2.0,3.73529411764706,0.0,4.85294117647059,0.0,0.0,1.0,1.0,0.0,0.52,0.48
101,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,23.0,5.35,0.0,87.0,2.0,0.0,2.0,1.0,5.16666666666667,1.0,7.43333333333333,1.0,0.0,0.470715835140998,0.9,2.0,0.58,0.42
101,1,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,4.0,3.0,24.0,0.73,0.0,34.0,3.0,0.0,28.0,1.0,26.5,0.0,3.78571428571429,1.0,0.0,0.659147869674185,1.0,1.0,0.51,0.49
101,2,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,27.0,0.15,0.0,17.0,1.0,1.0,0.0,2.0,2.7027027027027,0.0,3.13513513513514,0.0,0.0,0.658469945355191,0.5,2.0,0.57,0.43
132,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.1,0.0,0.0,1.0,15.0,26.0,2.0,3.43333333333333,1.0,1.41666666666667,1.0,0.0,0.343434343434343,0.0,7.0,0.54,0.46
132,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.12,0.0,0.0,1.0,2.0,26.0,2.0,0.0508474576271186,0.0,0.406779661016949,12.0,0.0,0.683274021352313,0.0,0.0,0.52,0.48
132,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,0.1,0.0,6.0,1.0,1.0,27.0,2.0,0.983333333333333,0.0,1.35,1.0,0.0,1.0,0.0,1.0,0.52,0.48
132,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,37.0,0.15,0.0,1.0,1.0,4.0,1.0,2.0,2.01923076923077,1.0,1.48076923076923,1.0,0.0,0.503623188405797,1.0,2.0,0.53,0.47
136,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,35.0,74.0,10.0,0.28,0.0,98.0,1.0,2.0,2.0,2.0,48.5,69.0,3.19900497512438,19.0,1.0,0.408026755852843,0.0,1.0,0.56,0.44
136,1,6.0,1.0,1.0,5.0,3.0,14.0,2.0,7.0,2.0,62.0,142.0,0.75,5.0,48.0,7.0,2.0,60.0,9.0,5.14705882352941,0.0,31.8,0.0,0.0,1.0,0.8,4.0,0.52,0.48
147,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.12,0.0,0.0,1.0,2.0,26.0,2.0,0.0508474576271186,0.0,0.406779661016949,0.0,0.0,0.683274021352313,0.0,0.0,0.52,0.48
147,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.0,0.1,0.0,6.0,1.0,1.0,27.0,2.0,0.983333333333333,0.0,1.35,1.0,0.0,1.0,0.0,1.0,0.51,0.49
147,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.1,0.0,0.0,1.0,15.0,26.0,2.0,3.43333333333333,1.0,1.41666666666667,1.0,0.0,1.1,0.0,1.0,0.54,0.46
147,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,0.15,0.0,1.0,1.0,4.0,17.0,2.0,2.01923076923077,1.0,22.9,1.0,0.0,0.503623188405797,1.0,2.0,0.51,0.49
148,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.12,0.0,0.0,1.0,2.0,26.0,2.0,20.2,0.0,0.406779661016949,0.0,0.0,0.683274021352313,0.0,0.0,0.56,0.44
148,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15,0.0,1.0,1.0,4.0,17.0,2.0,2.01923076923077,1.0,1.48076923076923,1.0,0.0,0.503623188405797,1.0,3.0,0.54,0.46
153,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,10.0,0.09,0.0,87.0,11.0,0.0,25.0,2.0,3.91379310344828,1.0,4.60344827586207,1.0,0.0,0.912013536379019,0.0,2.0,0.51,0.49
153,1,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,6.0,0.23,3.0,81.0,5.0,6.0,12.0,1.0,3.14516129032258,0.0,9.2258064516129,2.0,0.0,0.475270039795338,1.0,0.0,0.65,0.35
153,2,0.0,6.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0,3.0,0.0,0.1,0.0,95.0,3.0,1.0,23.0,2.0,2.93650793650794,0.0,4.01587301587302,0.0,0.0,0.956591639871383,0.5,3.0,0.52,0.48
153,3,2.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,4.0,16.0,6.0,0.17,0.0,95.0,2.0,0.0,22.0,3.0,3.26666666666667,0.0,2.76666666666667,0.0,0.0,1.1,1.0,2.0,0.54,0.46
181,0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,9.0,21.0,12.0,10.0,0.06,0.0,75.0,3.0,5.0,2.0,2.0,3.82352941176471,0.0,3.23529411764706,0.0,0.0,0.658354114713217,0.0,1.0,0.62,0.38
181,1,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,12.0,6.0,7.0,0.13,4.0,76.0,5.0,1.0,13.0,7.0,4.89473684210526,0.0,9.68421052631579,1.0,0.0,0.741992882562278,0.333333333333333,1.0,0.51,0.49
193,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,58.0,0.09,0.0,87.0,3.0,0.0,6.0,2.0,3.91379310344828,1.0,4.60344827586207,1.0,0.0,0.912013536379019,0.0,2.0,0.51,0.49
193,1,0.0,6.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,3.0,3.0,0.1,0.0,95.0,3.0,1.0,23.0,2.0,42.2,0.0,4.01587301587302,0.0,0.0,0.956591639871383,0.5,3.0,0.56,0.44
193,2,21.0,38.0,1.0,3.0,1.0,0.0,2.0,4.0,4.0,16.0,54.0,0.17,0.0,22.0,2.0,0.0,22.0,3.0,3.26666666666667,0.0,2.76666666666667,29.0,0.0,1.0,1.0,2.0,0.51,0.49
199,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,7.0,0.41,0.0,4.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,2.2,1.0,0.0,0.642647058823529,0.666666666666667,3.0,0.51,0.49
199,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,28.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.61904761904762,1.0,1.88095238095238,1.0,0.0,0.814465408805031,1.0,1.0,0.57,0.43
203,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.0,45.0,0.41,0.0,91.0,1.0,5.0,2.0,2.0,2.31914893617021,0.0,7.4,0.0,0.0,0.730897009966777,0.0,2.0,0.59,0.41
204,0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,8.0,18.0,3.24,0.0,80.0,2.0,2.0,6.0,2.0,3.69230769230769,0.0,4.11538461538461,0.0,0.0,0.823076923076923,0.0,1.0,0.63,0.37
205,0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,15.0,27.0,0.15,0.0,83.0,2.0,1.0,4.0,2.0,4.57575757575758,0.0,6.75757575757576,0.0,0.0,0.658620689655172,0.0,1.0,0.63,0.37
205,1,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,27.0,1.3,0.0,92.0,1.0,1.0,0.0,2.0,2.7027027027027,0.0,3.13513513513514,0.0,0.0,0.658469945355191,0.5,2.0,0.56,0.44
205,2,6.0,50.0,2.0,2.0,0.0,2.0,3.0,4.0,9.0,1.0,10.0,0.24,4.0,89.0,2.0,232.0,8.0,2.0,4.025,0.0,2.7,0.0,0.0,0.531208499335989,0.5,2.0,0.53,0.47
215,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,0.12,0.0,82.0,1.0,2.0,0.0,2.0,0.0508474576271186,0.0,0.406779661016949,0.0,0.0,0.683274021352313,0.0,0.0,0.57,0.43
215,1,0.0,0.0,1.0,0.0,55.0,0.0,1.0,1.0,0.0,1.0,60.0,0.1,0.0,6.0,1.0,1.0,27.0,2.0,0.983333333333333,0.0,1.35,1.0,0.0,1.0,0.0,1.0,0.52,0.48
215,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,23.0,0.1,0.0,0.0,1.0,15.0,26.0,2.0,3.43333333333333,1.0,1.41666666666667,1.0,0.0,1.0,0.0,1.0,0.54,0.46
215,3,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,41.0,1.3,0.0,0.0,1.0,0.0,9.0,2.0,26.7,1.0,1.4390243902439,23.0,0.0,0.809264305177112,0.714285714285714,1.0,0.51,0.49
218,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,23.0,1.55,0.0,87.0,2.0,0.0,2.0,1.0,5.16666666666667,1.0,7.43333333333333,1.0,1.0,0.470715835140998,1.0,2.0,0.59,0.41
218,1,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,8.0,12.0,21.0,0.23,0.0,82.0,1.0,3.0,12.0,2.0,4.48275862068965,0.0,6.13793103448276,10.0,0.0,0.8,1.0,2.0,0.52,0.48
218,2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,14.0,4.0,18.0,0.1,0.0,80.0,3.0,0.0,1.0,2.0,4.625,0.0,7.54166666666667,0.0,0.0,0.514705882352941,0.0,0.0,0.55,0.45
218,3,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,17.0,0.21,0.0,80.0,2.0,0.0,8.0,2.0,3.64705882352941,1.0,14.9,1.0,0.0,0.463414634146341,0.0,1.0,0.67,0.33
255,0,19.0,0.0,1.0,1.0,0.0,19.0,1.0,1.0,0.0,39.0,2.0,0.41,0.0,97.0,2.0,40.0,28.0,7.0,2.63529411764706,1.0,2.2,1.0,0.0,1.0,0.666666666666667,3.0,0.57,0.43
255,1,5.0,25.0,1.0,6.0,0.0,1.0,14.0,23.0,10.0,55.0,133.0,4.28,6.0,8.0,1.0,0.0,42.0,4.0,44.1,0.0,35.5,1.0,0.0,1.0,0.6,4.0,0.54,0.46
255,2,16.0,37.0,0.0,6.0,1.0,2.0,9.0,2.0,7.0,34.0,0.0,0.53,14.0,23.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,2.49450549450549,1.0,0.0,1.0,1.0,0.0,0.52,0.48
255,3,20.0,46.0,1.0,9.0,0.0,0.0,10.0,30.0,11.0,70.0,4.0,0.13,0.0,100.0,2.0,2.0,4.0,2.0,3.98387096774194,0.0,3.79838709677419,0.0,0.0,0.969341161121983,0.466666666666667,0.0,0.54,0.46
271,0,11.0,1.0,2.0,64.0,0.0,2.0,3.0,4.0,9.0,14.0,4.0,0.24,0.0,60.0,2.0,2.0,26.0,8.0,4.025,0.0,5.475,0.0,0.0,1.0,0.5,2.0,0.52,0.48
271,1,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,5.0,11.0,12.0,0.13,0.0,33.0,2.0,0.0,23.0,2.0,2.83333333333333,1.0,4.30952380952381,1.0,0.0,0.443181818181818,0.0,2.0,0.52,0.48
271,2,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,27.0,4.16,0.0,92.0,1.0,1.0,3.0,2.0,2.7027027027027,0.0,3.13513513513514,0.0,0.0,0.658469945355191,0.5,2.0,0.54,0.46
272,0,5.0,1.0,1.0,6.0,0.0,1.0,2.0,4.0,10.0,44.0,80.0,8.11,0.0,11.0,1.0,0.0,3.0,4.0,2.2,0.0,3.58333333333333,1.0,0.0,0.633272058823529,0.6,4.0,0.51,0.49
272,1,20.0,1.0,1.0,9.0,0.0,0.0,2.0,30.0,11.0,53.0,11.0,0.13,0.0,11.0,2.0,2.0,35.0,2.0,3.98387096774194,0.0,3.79838709677419,0.0,0.0,0.969341161121983,0.1,2.0,0.52,0.48
279,0,6.0,48.0,1.0,4.0,0.0,8.0,3.0,6.0,33.0,23.0,81.0,1.37,0.0,38.0,1.0,1.0,38.0,4.0,23.7,52.0,7.1,26.0,0.0,1.0,1.0,0.0,0.53,0.47
