test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1
101,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,25.0,0.1,0.0,88.0,2.0,0.0,16.0,1.0,4.3,1.0,2.3,1.0,0.0,0.5,1.0,1.0,0.7821466303738639,0.21785336962613613
101,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,25.0,0.1,0.0,88.0,2.0,0.0,16.0,1.0,4.3,1.0,2.3,1.0,0.0,0.5,1.0,1.0,0.7821466303738639,0.21785336962613613
101,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,27.0,0.15,0.0,88.0,1.0,2.0,13.0,2.0,2.8,0.0,2.5,0.0,0.0,0.4,1.0,2.0,0.6358125334347248,0.36418746656527523
101,3,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,15.0,27.0,0.15,0.0,83.0,2.0,1.0,21.0,2.0,4.6,0.0,6.8,0.0,0.0,0.7,0.0,1.0,0.6230152957024967,0.37698470429750325
101,4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,27.0,0.15,0.0,88.0,1.0,2.0,13.0,2.0,2.8,0.0,2.5,0.0,0.0,0.4,1.0,2.0,0.6358125334347248,0.36418746656527523
101,5,13.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,6.0,32.0,0.12,0.0,88.0,2.0,0.0,23.0,3.0,2.7,0.0,3.4,0.0,0.0,0.8,0.7,0.0,0.563345435010916,0.4366545649890841
101,6,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,25.0,0.11,0.0,88.0,2.0,0.0,16.0,1.0,4.3,1.0,2.3,1.0,0.0,0.5,0.0,1.0,0.7684944110185542,0.23150558898144577
101,7,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,14.0,0.13,0.0,78.0,3.0,0.0,19.0,2.0,3.7,0.0,5.8,0.0,0.0,0.5,1.0,2.0,0.6089091720303628,0.39109082796963707
101,8,13.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,6.0,32.0,0.12,0.0,88.0,2.0,0.0,23.0,3.0,2.7,0.0,3.4,0.0,0.0,0.8,0.7,0.0,0.563345435010916,0.4366545649890841
101,9,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,15.0,27.0,0.15,0.0,83.0,2.0,1.0,21.0,2.0,4.6,0.0,6.8,0.0,0.0,0.7,0.0,1.0,0.6230152957024967,0.37698470429750325
132,0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,41.0,1.3,0.0,0.0,1.0,0.0,9.0,2.0,1.5,1.0,1.4,1.0,0.0,0.8,0.7,1.0,0.7359278420469391,0.2640721579530609
132,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,0.12,0.0,0.0,1.0,2.0,27.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5137785535730436,0.4862214464269564
132,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,0.12,0.0,0.0,1.0,2.0,27.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5137785535730436,0.4862214464269564
132,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,34.0,0.13,0.0,0.0,1.0,4.0,8.0,2.0,3.2,1.0,1.4,1.0,0.0,0.3,1.0,3.0,0.7679161718721199,0.23208382812788017
132,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,0.12,0.0,0.0,1.0,2.0,27.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5137785535730436,0.4862214464269564
