test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
11,0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.54,0.46,1
11,1,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,1.0,3.0,0.64,0.36,2
11,2,1.0,0.0,1.0,1.0,3.0,2.0,0.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,1.0,3.0,0.69,0.31,3
11,3,1.0,0.0,1.0,1.0,3.0,2.0,0.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,1.0,3.0,0.72,0.28,4
11,4,1.0,0.0,1.0,1.0,3.0,2.0,0.0,51.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,2.0,1.0,3.0,0.74,0.26,5
11,5,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.69,0.31,2
11,6,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.81,0.19,3
11,7,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.82,0.18,4
11,8,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.62,0.38,2
11,9,1.0,0.0,1.0,0.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.68,0.32,3
