,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
11,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,1,1,0,1,2,58,1,3,5,16,0,2,0,13,2,0,1,0,0.1,0,3,2,3
58,,,,,,,,,,,,,,,,,,,,,,,,,
1533,,,,,,,,,,,,,,,,,,,,,,,,,
1534,2,0,2,0,0,6,3,180,2,11,9,12,1,4,2,20,3,0,0,0,0.05,0,1,3,4
1537,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,
1742,,,,,,,,,,,,,,,,,,,,,,,,,
1764,1,0,1,0,0,1,1,53,1,1,5,22,0,4,0,11,2,0,1,0,0.4,0,1,3,4
1775,,,,,,,,,,,,,,,,,,,,,,,,,
348,0,0,1,1,2,2,1,21,1,0,18,46,0,1,0,17,3,1,0,0,0.714285714285714,0,4,3,3
361,5,0,1,1,1,5,3,264,6,18,24,2,1,2,3,31,4,0,0,0,0.666666666666667,0,1,3,8
364,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,
377,3,2,1,0,0,3,2,87,5,6,7,14,2,2,2,2,3,0,1,0,0.5,0,3,2,4
422,0,20,1,0,0,5,1,21,1,0,0,0,0,1,1,7,1,0,0,0,0.5,0,1,2,4
454,3,0,2,3,10,4,1,73,1,0,0,8,1,1,0,3,1,0,1,0,0.4,0,3,4,1
695,0,0,1,1,1,0,1,32,2,7,8,15,0,3,2,15,2,0,1,0,0.05,0,3,2,2
2414,3,0,1,1,0,6,6,103,1,0,12,10,8,2,0,11,2,1,1,0,0.05,0,4,2,2
2489,,,,,,,,,,,,,,,,,,,,,,,,,
2513,,,,,,,,,,,,,,,,,,,,,,,,,
2617,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,
2906,0,0,1,1,0,0,1,56,1,1,14,42,0,5,0,14,2,0,1,0,0.05,0,5,2,2
2911,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,,,,,,,,,,,,,,,,,
923,1,0,1,1,1,2,3,44,1,4,2,1,1,3,0,19,2,1,1,0,0.5,0,1,3,5
956,0,0,2,1,0,5,1,136,1,9,3,11,0,1,0,22,1,2,2,0,0.5,0,3,2,7
957,0,0,1,1,7,0,1,62,1,4,4,67,0,3,1,16,3,0,1,0,0.545454545454545,0,1,5,5
960,,,,,,,,,,,,,,,,,,,,,,,,,
987,,,,,,,,,,,,,,,,,,,,,,,,,
3523,,,,,,,,,,,,,,,,,,,,,,,,,
