test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1
11,0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.5513258,0.44867417
11,1,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.60583025,0.39416975
11,2,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.5231197,0.4768803
11,3,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.530641,0.46935898
11,4,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.2,0.0,3.0,3.0,3.0,0.530641,0.46935898
11,5,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.76854473,0.23145528
11,6,1.0,0.0,1.0,1.0,3.0,1.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,3.0,0.51827955,0.48172048
11,7,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.53707665,0.46292335
11,8,1.0,0.0,1.0,1.0,3.0,1.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.2,0.0,3.0,3.0,3.0,0.53869283,0.46130717
11,9,0.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.1,0.0,3.0,3.0,3.0,0.75339484,0.24660516
1516,0,17.0,7.0,3.0,1.0,0.0,2.0,18.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.74510133,0.25489864
