test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
57,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,32.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8477605284245255,0.1522394715754744,1
104,0,15.0,0.0,3.0,3.0,4.0,5.0,5.0,197.0,2.0,5.0,10.0,13.0,2.0,1.0,0.0,0.0,2.0,2.0,8.06060606060606,1.0,1.0,0.0,0.5,0.0,2.0,7.0,0.5242367426747704,0.4757632573252296,1
115,0,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,7.0,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0,0.898760150684438,0.10123984931556194,1
141,0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.9188887114155282,0.08111128858447186,1
148,0,2.0,0.0,2.0,0.0,0.0,6.0,3.0,24.0,2.0,12.0,9.0,9.0,2.0,5.0,2.0,20.0,2.0,1.0,5.78260869565217,0.0,1.0,0.0,0.75,0.0,1.0,5.0,0.5424107939233745,0.45758920607662545,1
152,0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,2.0,7.0,2.0,0.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.5663773519763473,0.4336226480236527,1
196,0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,50.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,7.0,3.0,0.0,2.75,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.7492549260518491,0.25074507394815093,1
216,0,1.0,0.0,1.0,1.0,51.0,1.0,1.0,32.0,5.0,1.0,2.0,56.0,0.0,2.0,0.0,5.0,2.0,0.0,2.48275862068966,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.937269832390173,0.06273016760982701,1
310,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,45.0,1.0,0.0,18.0,36.0,0.0,1.0,0.0,7.0,2.0,1.0,2.83333333333333,1.0,1.0,0.0,1.0,0.0,3.0,5.0,0.8977898412020414,0.10221015879795857,1
331,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,24.0,2.0,0.0,4.0,28.0,0.0,1.0,0.0,9.0,2.0,1.0,2.25,1.0,1.0,0.0,0.666666666666667,0.0,1.0,2.0,0.5155392174901978,0.4844607825098021,1
491,0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,32.0,1.0,4.0,25.0,91.0,0.0,3.0,0.0,7.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.5,0.0,3.0,7.0,0.5710789788624456,0.42892102113755437,2
589,0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,300.0,1.0,4.0,17.0,5.0,0.0,3.0,0.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,5.0,0.6305978528255631,0.36940214717443687,1
599,0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,11.0,7.0,9.0,0.0,3.0,27.0,7.0,2.0,0.0,3.57435897435897,0.0,1.0,0.0,0.545454545454545,0.0,4.0,9.0,0.6157047887363873,0.3842952112636126,2
601,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,2.0,0.0,13.0,52.0,0.0,5.0,0.0,10.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,5.0,0.684962867116161,0.31503713288383905,1
637,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,1.0,12.0,47.0,0.0,4.0,0.0,13.0,2.0,0.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,3.0,0.7712305468531033,0.2287694531468967,1
655,0,7.0,0.0,1.0,2.0,0.0,2.0,2.0,175.0,7.0,7.0,35.0,49.0,1.0,3.0,0.0,5.0,5.0,0.0,4.33333333333333,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.5023742548608866,0.4976257451391134,1
731,0,5.0,0.0,1.0,1.0,1.0,5.0,3.0,270.0,6.0,19.0,25.0,27.0,1.0,2.0,3.0,5.0,4.0,0.0,5.19607843137255,0.0,1.0,0.0,0.888888888888889,0.0,1.0,8.0,0.541528877204325,0.45847112279567503,1
770,0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,62.0,7.0,9.0,6.0,18.0,1.0,3.0,1.0,10.0,4.0,0.0,3.73333333333333,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.713033477382447,0.28696652261755295,1
779,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,1.0,3.0,10.0,22.0,0.0,1.0,0.0,6.0,2.0,1.0,2.2,1.0,1.0,0.0,0.666666666666667,0.0,3.0,3.0,0.7174563832710112,0.2825436167289888,1
897,0,1.0,0.0,2.0,0.0,17.0,6.0,3.0,32.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,9.0,2.0,0.0,3.61111111111111,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.6493405537807864,0.3506594462192136,1
939,0,3.0,0.0,2.0,2.0,70.0,5.0,3.0,32.0,72.0,0.0,4.0,78.0,0.0,2.0,0.0,11.0,2.0,0.0,3.39506172839506,0.0,1.0,0.0,0.75,0.0,4.0,7.0,0.6462756588673375,0.35372434113266255,2
946,0,2.0,0.0,1.0,1.0,18.0,4.0,4.0,32.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,5.0,1.0,0.0,2.63157894736842,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.6163904342860611,0.38360956571393884,1
1669,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,2.0,2.0,0.0,35.0,0.0,6.0,0.0,5.0,1.0,0.0,1.86486486486486,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.9021663188028141,0.09783368119718593,1
2825,0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,111.0,1.0,0.0,12.0,11.0,7.0,2.0,0.0,7.0,2.0,2.0,10.4666666666667,1.0,1.0,0.0,0.571428571428571,0.0,4.0,3.0,0.6092288529434047,0.3907711470565953,1
2936,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,37.0,1.0,8.0,38.0,76.0,0.0,3.0,0.0,7.0,1.0,0.0,1.63095238095238,0.0,1.0,0.0,0.714285714285714,0.0,3.0,1.0,0.83043453617529,0.16956546382471005,1
2994,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,37.0,3.0,6.0,11.0,20.0,0.0,3.0,0.0,7.0,1.0,0.0,4.0,0.0,1.0,0.0,0.5,0.0,4.0,3.0,0.8739387327229826,0.12606126727701733,1
3867,0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,56.0,1.0,5.0,3.0,13.0,0.0,1.0,4.0,7.0,2.0,0.0,8.1578947368421,1.0,1.0,0.0,0.6,0.0,2.0,3.0,0.8690824158663544,0.13091758413364568,1
3877,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,17.0,47.0,0.0,5.0,2.0,15.0,2.0,0.0,1.85106382978723,1.0,1.0,0.0,0.5,0.0,1.0,4.0,0.6675900157326895,0.33240998426731055,1
3912,0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,55.0,1.0,5.0,3.0,13.0,0.0,1.0,3.0,7.0,2.0,0.0,8.0,1.0,1.0,0.0,0.5,0.0,2.0,5.0,0.7080500348421412,0.2919499651578587,1
3919,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,1.0,16.0,46.0,0.0,5.0,0.0,14.0,2.0,0.0,1.72340425531915,1.0,1.0,0.0,0.5,0.0,4.0,3.0,0.587861862934415,0.41213813706558494,1
3926,0,1.0,0.0,2.0,1.0,3.0,5.0,5.0,95.0,1.0,7.0,4.0,5.0,2.0,3.0,0.0,7.0,1.0,1.0,10.8461538461538,1.0,1.0,0.0,0.666666666666667,0.0,3.0,6.0,0.6751599989811332,0.32484000101886673,1
4145,0,10.0,0.0,1.0,6.0,0.0,1.0,3.0,99.0,72.0,10.0,25.0,51.0,0.0,5.0,0.0,7.0,2.0,0.0,4.12676056338028,0.0,1.0,0.0,0.428571428571429,0.0,4.0,7.0,0.7785467347393805,0.22145326526061948,2
4147,0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,47.0,1.0,4.0,2.0,6.0,1.0,3.0,0.0,7.0,2.0,1.0,7.81818181818182,1.0,1.0,0.0,0.75,0.0,1.0,5.0,0.9411533703976833,0.05884662960231663,1
4304,0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,97.0,1.0,7.0,10.0,9.0,0.0,3.0,2.0,32.0,4.0,0.0,2.59659090909091,1.0,1.0,0.0,0.625,0.0,2.0,8.0,0.8895617929475154,0.11043820705248461,1
4555,0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,17.4,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8113450936592509,0.18865490634074908,1
6733,0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,32.0,2.0,9.0,4.0,6.0,1.0,3.0,0.0,17.0,1.0,1.0,7.52631578947368,1.0,1.0,0.0,0.4,0.0,1.0,2.0,0.8758288291966843,0.12417117080331576,1
6734,0,6.0,0.0,1.0,1.0,1.0,1.0,3.0,58.0,2.0,10.0,14.0,12.0,0.0,3.0,0.0,7.0,2.0,0.0,6.96428571428571,1.0,1.0,0.0,0.4,0.0,1.0,2.0,0.9530294339150777,0.0469705660849223,1
