test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
59,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,45.4921875,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5093509870647652,0.49064901293523483,1,35.24477691216942
106,0,16.0,0.0,3.0,3.0,4.0,5.0,5.0,204.0,2.0,5.0,11.0,13.0,2.0,1.0,0.0,16.49271309375763,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.857142857142857,2.0,7.0,0.5446709840143216,0.45532901598567843,1,6.241497000619226
117,0,7.0,0.0,2.0,1.0,0.0,4.0,3.0,137.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,16.5,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,3.0,7.0,0.5243452170142298,0.4756547829857702,1,0.8431134493454593
160,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,122.0,2.0,8.0,44.0,23.49267578125,0.0,4.0,2.0,28.0,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.666666666666667,1.0,5.0,0.5226703967522439,0.47732960324775603,1,29.8486861657629
204,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,5.4990234375,5.0,0.0,4.26086956521739,0.0,1.0,0.0,0.0,2.0,6.0,0.5023742896192067,0.4976257103807933,1,4.215896587918449
205,0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,0.65673828125,0.5044520429781834,0.4955479570218166,1,4343261718750.0
212,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,8.0,25.0,0.0,3.0,0.0,9.0,2.0,0.0,2.628427240583635,1.0,1.0,0.0,0.0,5.0,1.0,0.5692604748226524,0.43073952517734765,1,0.5168871697536943
624,0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,1632.0,1.0,12.0,7.0,4.490966796875,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.875,4.0,10.0,0.5181402050745061,0.48185979492549386,1,59.86410130954578
807,0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,63.0,1.0,5.0,14.0,23.498901903629303,0.0,1.0,0.0,14.0,2.0,1.0,2.72222222222222,1.0,1.0,0.0,0.666666666666667,2.0,4.0,0.5525160772806503,0.4474839227193497,1,1.5179745367493522
3061,0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,2.0,0.0,6.499145984649658,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.9487960240324105,0.05120397596758957,1,1.5178922215529556
3216,0,7.0,0.0,1.0,4.0,0.0,1.0,1.0,57.0,28.0,0.0,2.0,45.49760836362839,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0,0.5557350461144398,0.4442649538855602,1,2.1929015366145332
3399,0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,83.0,5.0,16.0,39.0,76.99926829338074,0.0,3.0,2.0,30.0,4.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,4.499755859375,0.5072608481370999,0.49273915186290007,2,1500244140625.0
3716,0,6.0,0.0,2.0,0.0,0.0,2.0,5.0,99.0,1.0,2.0,4.0,19.0,2.0,1.0,1.0,22.0,2.0,1.0,9.904541782758823,1.0,1.0,0.0,0.666666666666667,2.0,5.0,0.5024409281730926,0.4975590718269074,1,0.545612560115257
4195,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,19.0,45.498661160469055,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0,0.7476267076866643,0.2523732923133357,1,1.855301106006035
4237,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,18.0,50.0,0.0,5.0,0.0,16.0,2.0,0.0,2.5129843862617705,1.0,1.0,0.0,0.5,4.0,3.0,0.5684026080684956,0.4315973919315044,1,0.3793982531570798
4637,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,106.0,1.0,7.0,9.0,176.0,0.0,3.0,2.0,36.0,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,4.5,0.6060742086894417,0.39392579131055827,1,4500000000000.0
5371,0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,65.0,4.0,3.5,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0,0.6002558162979764,0.3997441837020236,1,2.360717658166491
5440,0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,71.0,2.0,6.499878823757172,9.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,4.62857142857143,1.0,1.0,0.0,0.0,2.0,5.0,0.6054633507136913,0.3945366492863087,1,0.3373271119941261
5525,0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,35.0,1.0,6.499879598617554,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0,0.5586408296625966,0.4413591703374033,1,0.33732658935795845
5528,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,7.4990234375,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0,0.6984420870580234,0.30155791294197665,1,1.5179335500129778
6488,0,10.0,0.0,1.0,4.0,0.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.2968025505542755,3.0,2.0,0.8821442252720051,0.11785577472799495,1,203197449445.7245
6739,0,9.0,0.0,1.0,2.0,4.0,1.0,2.0,98.0,3.0,12.50030517578125,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.5399830540014927,0.4600169459985073,1,1.6864327369348198
6789,0,2.0,0.0,1.0,1.0,0.0,0.0,2.5,23.0,2.0,2.0,3.0,4.0,0.0,3.0,0.0,5.0,2.0,1.0,6.875,1.0,1.0,0.0,0.0,3.0,3.0,0.9112677931863962,0.08873220681360378,1,500000000000.0
7400,0,16.0,0.0,2.0,0.0,0.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.6124939123789472,4.0,5.0,0.6721180213943122,0.3278819786056878,1,54172754287.71973
