test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
59,0,17.0,7.0,1.0,1.0,0.0,9.0,1.0,417.0,5.0,2.0,32.0,1.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,6.0,0.5,1.0,2.0,0.59,0.41
59,1,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,20.0,20.0,25.0,25.0,0.0,2.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,508.0,0.0,0.5,1.0,2.0,0.6,0.4
59,2,17.0,29.0,1.0,1.0,0.0,10.0,1.0,417.0,9.0,2.0,29.0,43.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,2.0,0.5,1.0,2.0,0.53,0.47
59,3,17.0,7.0,3.0,28.0,53.0,2.0,1.0,417.0,8.0,15.0,42.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,1.0,0.54,0.46
59,4,2.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,3.0,12.0,32.0,150.0,8.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,230.0,0.0,0.2,4.0,2.0,0.56,0.44
59,5,17.0,7.0,1.0,12.0,0.0,2.0,16.0,417.0,26.0,2.0,32.0,32.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,12.0,0.51,0.49
59,6,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,31.0,32.0,7.0,0.0,3.0,19.0,14.0,2.0,96.0,2.19318181818182,0.0,0.0,3.0,0.3,1.0,2.0,0.54,0.46
59,7,1.0,7.0,7.0,25.0,0.0,2.0,1.0,417.0,26.0,2.0,118.0,9.0,0.0,3.0,19.0,3.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.64,0.36
59,8,2.0,116.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,29.0,32.0,24.0,0.0,3.0,19.0,28.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.55,0.45
59,9,17.0,7.0,1.0,43.0,0.0,2.0,1.0,1532.0,26.0,13.0,101.0,150.0,0.0,3.0,19.0,14.0,1.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,2.0,12.0,0.52,0.48
59,10,17.0,7.0,1.0,1.0,62.0,2.0,1.0,417.0,50.0,18.0,32.0,102.0,0.0,2.0,19.0,14.0,2.0,0.0,2.19318181818182,2.0,0.0,5.0,0.5,1.0,2.0,0.52,0.48
59,11,17.0,7.0,1.0,1.0,25.0,2.0,1.0,465.0,26.0,2.0,32.0,15.0,13.0,3.0,19.0,14.0,6.0,0.0,2.19318181818182,0.0,0.0,0.0,0.6,1.0,12.0,0.54,0.46
59,12,9.0,7.0,1.0,1.0,0.0,2.0,18.0,417.0,26.0,2.0,3.0,24.0,0.0,3.0,2840.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,3.0,2.0,0.53,0.47
59,13,17.0,29.0,1.0,1.0,0.0,10.0,1.0,417.0,9.0,2.0,29.0,43.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.53,0.47
59,14,17.0,7.0,1.0,1.0,32.0,2.0,1.0,417.0,26.0,13.0,7.0,104.0,0.0,3.0,3737.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.57,0.43
59,15,17.0,7.0,1.0,1.0,0.0,9.0,1.0,417.0,26.0,2.0,32.0,1.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.53,0.47
59,16,17.0,7.0,1.0,1.0,0.0,2.0,13.0,417.0,26.0,2.0,1.0,150.0,0.0,3.0,19.0,14.0,6.0,0.0,2.19318181818182,0.0,0.0,6.0,0.5,1.0,10.0,0.54,0.46
59,17,10.0,57.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,13.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,20.0,0.0,0.0,0.2,1.0,2.0,0.51,0.49
59,18,17.0,7.0,1.0,1.0,16.0,24.0,1.0,417.0,26.0,27.0,32.0,150.0,0.0,3.0,19.0,0.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.56,0.44
59,19,17.0,7.0,1.0,1.0,0.0,9.0,9.0,715.0,26.0,5.0,32.0,150.0,0.0,3.0,19.0,9.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.2,1.0,2.0,0.51,0.49
59,20,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,0.0,19.0,5.0,0.0,0.0,19.0,14.0,2.0,0.0,2.19318181818182,20.0,0.0,0.0,0.5,5.0,2.0,0.58,0.42
59,21,0.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,0.0,2.0,0.0,2.19318181818182,1.0,0.0,0.0,0.1,1.0,2.0,0.52,0.48
59,22,17.0,7.0,6.0,1.0,0.0,2.0,1.0,2.0,26.0,18.0,32.0,150.0,19.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.56,0.44
59,23,2.0,7.0,4.0,1.0,0.0,2.0,1.0,417.0,26.0,32.0,32.0,2.0,0.0,3.0,19.0,14.0,2.0,301.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.52,0.48
59,24,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,1.0,8.0,37.0,150.0,14.0,1.0,19.0,14.0,2.0,353.0,2.19318181818182,0.0,0.0,0.0,0.7,1.0,2.0,0.52,0.48
59,25,17.0,7.0,1.0,18.0,13.0,2.0,1.0,23.0,75.0,2.0,32.0,150.0,6.0,3.0,19.0,14.0,5.0,0.0,2.19318181818182,18.0,0.0,0.0,0.5,1.0,2.0,0.54,0.46
59,26,17.0,7.0,1.0,1.0,0.0,20.0,1.0,417.0,26.0,2.0,32.0,14.0,0.0,3.0,2186.0,56.0,2.0,0.0,23.5,0.0,0.0,0.0,1.0,1.0,2.0,0.51,0.49
59,27,17.0,7.0,1.0,18.0,23.0,2.0,1.0,417.0,26.0,21.0,32.0,150.0,0.0,1.0,3250.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.56,0.44
59,28,18.0,7.0,1.0,1.0,21.0,2.0,1.0,417.0,63.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,1.0,0.0,3.8,0.0,0.0,0.0,0.5,1.0,11.0,0.52,0.48
59,29,17.0,7.0,1.0,1.0,0.0,20.0,1.0,417.0,61.0,28.0,32.0,150.0,0.0,3.0,19.0,14.0,0.0,0.0,2.19318181818182,12.0,0.0,0.0,0.2,1.0,2.0,0.51,0.49
59,30,17.0,7.0,1.0,28.0,53.0,2.0,1.0,417.0,8.0,15.0,42.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,1.0,0.56,0.44
59,31,17.0,41.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,19.0,32.0,36.0,0.0,2.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,5.0,2.0,0.52,0.48
59,32,9.0,7.0,1.0,1.0,0.0,2.0,18.0,417.0,26.0,2.0,3.0,24.0,0.0,3.0,2840.0,14.0,2.0,0.0,2.19318181818182,0.0,1585.0,0.0,0.5,3.0,2.0,0.54,0.46
59,33,17.0,7.0,1.0,1.0,0.0,6.0,1.0,417.0,3.0,28.0,93.0,150.0,0.0,3.0,676.0,14.0,2.0,57.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.52,0.48
59,34,2.0,7.0,4.0,1.0,0.0,16.0,1.0,417.0,26.0,32.0,32.0,2.0,0.0,3.0,19.0,14.0,2.0,301.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.57,0.43
59,35,17.0,7.0,1.0,1.0,13.0,2.0,1.0,23.0,75.0,2.0,32.0,150.0,6.0,3.0,19.0,14.0,5.0,0.0,2.19318181818182,18.0,0.0,0.0,0.5,1.0,2.0,0.52,0.48
59,36,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,25.0,45.0,96.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.0,1.0,9.0,0.51,0.49
59,37,17.0,7.0,1.0,1.0,0.0,2.0,1.0,1192.0,26.0,2.0,32.0,224.0,9.0,3.0,19.0,3.0,2.0,0.0,2.19318181818182,18.0,0.0,0.0,0.1,1.0,2.0,0.51,0.49
59,38,17.0,41.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,19.0,32.0,36.0,0.0,2.0,1763.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,5.0,2.0,0.52,0.48
