test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
59,0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,415.0,1.0,2.0,3.0,65.0,0.0,1.0,1.0,27.0,1.0,0.0,3.1,0.0,1.0,0.0,0.6,1.0,1.0,0.970662714447689,0.02933728555231103
59,1,3.0,0.0,1.0,0.0,45.0,8.0,2.0,397.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0,21.0,1.0,0.0,4.6,1.0,1.0,0.0,0.7,3.0,5.0,0.9686011011567031,0.03139889884329684
106,0,2.0,0.0,3.0,0.0,13.0,11.0,4.0,183.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,18.0,1.0,0.0,5.9,1.0,1.0,0.0,0.8,1.0,3.0,0.9457529796020211,0.05424702039797884
106,1,5.0,0.0,2.0,0.0,0.0,6.0,5.0,166.0,1.0,13.0,0.0,3.0,1.0,2.0,0.0,25.0,1.0,1.0,9.5,2.0,1.0,0.0,1.0,1.0,1.0,0.9706840641475868,0.02931593585241323
106,2,4.0,2.0,1.0,0.0,1.0,5.0,2.0,180.0,1.0,0.0,6.0,13.0,0.0,1.0,0.0,8.0,1.0,1.0,2.8,1.0,1.0,0.0,0.0,4.0,3.0,0.9710012664562897,0.028998733543710388
160,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,1.0,9.0,40.0,74.0,0.0,3.0,1.0,34.0,6.0,1.0,1.6,1.0,1.0,0.0,1.0,4.0,4.0,0.9679703550751766,0.03202964492482343
160,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,1.0,9.0,40.0,74.0,0.0,3.0,1.0,34.0,6.0,1.0,1.6,1.0,1.0,0.0,1.0,4.0,4.0,0.9679703550751766,0.03202964492482343
160,2,2.0,0.0,1.0,1.0,0.0,2.0,1.0,145.0,1.0,1.0,22.0,49.0,0.0,3.0,0.0,18.0,1.0,0.0,1.9,1.0,1.0,0.0,1.0,1.0,1.0,0.9348800955258276,0.06511990447417242
160,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,1.0,1.0,12.0,48.0,0.0,4.0,0.0,13.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,0.5189099317504746,0.48109006824952544
204,0,4.0,0.0,1.0,0.0,2.0,2.0,2.0,75.0,6.0,8.0,4.0,12.0,0.0,2.0,0.0,15.0,2.0,0.0,4.2,1.0,1.0,0.0,0.5,4.0,1.0,0.9450186243170315,0.054981375682968625
204,1,2.0,0.0,1.0,2.0,0.0,2.0,3.0,75.0,1.0,4.0,5.0,14.0,0.0,3.0,0.0,12.0,1.0,1.0,3.5,1.0,1.0,0.0,0.2,3.0,1.0,0.8984625730219566,0.1015374269780434
624,0,0.0,123.0,1.0,0.0,0.0,6.0,1.0,871.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,41.0,2.0,0.0,0.6,0.0,1.0,0.0,1.0,3.0,10.0,0.9536957833472935,0.04630421665270647
624,1,3.0,0.0,1.0,0.0,45.0,8.0,2.0,397.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0,21.0,1.0,0.0,4.6,1.0,1.0,0.0,0.7,3.0,5.0,0.9686011011567031,0.03139889884329684
3399,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,1.0,9.0,40.0,74.0,0.0,3.0,1.0,34.0,6.0,1.0,1.6,1.0,1.0,0.0,1.0,4.0,4.0,0.9679703550751766,0.03202964492482343
3399,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,1.0,9.0,40.0,74.0,0.0,3.0,1.0,34.0,6.0,1.0,1.6,1.0,1.0,0.0,1.0,4.0,4.0,0.9679703550751766,0.03202964492482343
3399,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,1.0,1.0,12.0,48.0,0.0,4.0,0.0,13.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,0.5189099317504746,0.48109006824952544
3399,3,4.0,0.0,1.0,1.0,4.0,0.0,2.0,40.0,1.0,0.0,22.0,54.0,0.0,1.0,0.0,6.0,2.0,1.0,2.2,1.0,1.0,0.0,0.5,6.0,2.0,0.9707526930722115,0.02924730692778862
4195,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,38.0,1.0,4.0,17.0,35.0,0.0,1.0,0.0,12.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9706300621559473,0.029369937844052837
4195,1,1.0,0.0,1.0,1.0,2.0,0.0,1.0,36.0,3.0,2.0,16.0,48.0,0.0,3.0,0.0,16.0,2.0,0.0,2.1,1.0,1.0,0.0,0.0,4.0,5.0,0.7779654825488382,0.22203451745116165
4237,0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,36.0,3.0,2.0,16.0,48.0,0.0,3.0,0.0,16.0,2.0,0.0,2.1,1.0,1.0,0.0,0.0,4.0,5.0,0.7779654825488382,0.22203451745116165
4237,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,38.0,1.0,4.0,17.0,35.0,0.0,1.0,0.0,12.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9706300621559473,0.029369937844052837
4637,0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,67.0,18.0,9.0,5.0,105.0,0.0,2.0,0.0,15.0,2.0,0.0,2.9,1.0,1.0,0.0,1.0,2.0,4.0,0.9254513769463101,0.0745486230536898
4637,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,1.0,9.0,40.0,74.0,0.0,3.0,1.0,34.0,6.0,1.0,1.6,1.0,1.0,0.0,1.0,4.0,4.0,0.9679703550751766,0.03202964492482343
5525,0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,32.0,3.0,1.0,14.0,28.0,0.0,4.0,0.0,6.0,2.0,0.0,2.4,1.0,1.0,0.0,0.5,1.0,1.0,0.9202234138025776,0.07977658619742255
6739,0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,92.0,2.0,2.0,16.0,33.0,0.0,2.0,0.0,6.0,2.0,0.0,2.2,0.0,1.0,0.0,1.0,1.0,0.0,0.9888098699900388,0.011190130009961111
