test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
10,0,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,2.0,0.5962725799366448,0.40372742006335505,1
10,1,20.0,0.0,2.0,0.0,1.0,0.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,2.0,0.6253146711185402,0.37468532888145983,2
10,2,20.0,0.0,2.0,0.0,1.0,0.0,542.0,1.0,0.0,13.0,3.0,0.05,0.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,2.0,0.6532294209407802,0.34677057905921993,4
10,3,20.0,0.0,2.0,0.0,1.0,72.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,2.0,0.5602871414211268,0.4397128585788733,1
10,4,20.0,0.0,2.0,0.0,1.0,72.0,149.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,2.0,0.575590155290999,0.4244098447090011,2
10,5,20.0,0.0,2.0,0.0,1.0,72.0,149.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,1.0,0.58345395792936,0.4165460420706399,3
10,6,20.0,0.0,2.0,0.0,1.0,0.0,15.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,0.0,0.6680123027547625,0.3319876972452374,3
10,7,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,0.0,0.6788221814164398,0.32117781858356015,2
10,8,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,1.0,0.0,0.0,0.7149600965354421,0.28503990346455776,3
10,9,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,0.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,1.0,0.0,0.0,0.7361581560067151,0.2638418439932848,4
10,10,20.0,0.0,2.0,0.0,1.0,7.0,15.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,2.0,0.6985032669587778,0.3014967330412221,2
10,11,20.0,0.0,2.0,0.0,1.0,7.0,15.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,5.0,0.0,88.0,0.914331465172138,0.0,0.0,0.7635031569298003,0.23649684307019989,3
10,12,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,29.08,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,2.0,0.5531228232704943,0.4468771767295057,1
10,13,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,29.08,0.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,2.0,0.5707699354532199,0.4292300645467802,2
10,14,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,29.08,0.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,0.914331465172138,0.0,1.0,0.5756252050573942,0.42437479494260566,3
10,15,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,29.08,0.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,88.0,1.0,0.0,1.0,0.5776623396109786,0.42233766038902143,4
16,0,5.0,1.0,1.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5850817536015035,0.41491824639849645,1
16,1,5.0,1.0,1.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,0.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5858845486389935,0.4141154513610064,2
16,2,5.0,1.0,1.0,321.0,0.0,3.0,186.0,1.0,3.0,4.0,19.0,0.37,0.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5864932701284508,0.4135067298715493,3
16,3,5.0,1.0,1.0,321.0,0.0,3.0,186.0,1.0,3.0,4.0,19.0,0.85,0.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5869216720397169,0.41307832796028304,4
16,4,5.0,1.0,2.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5989339478401324,0.4010660521598675,2
16,5,5.0,1.0,2.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,0.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.6056957710611968,0.39430422893880324,3
16,6,1.0,1.0,2.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,0.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.6083657229200652,0.3916342770799348,4
16,7,1.0,1.0,2.0,321.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,0.0,2.0,6.46428571428571,0.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.6084802634571699,0.3915197365428303,5
16,8,5.0,1.0,1.0,0.0,0.0,72.0,186.0,1.0,3.0,4.0,19.0,3.1,1.0,76.0,1.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.523378409359067,0.476621590640933,3
16,9,5.0,1.0,1.0,0.0,0.0,72.0,186.0,1.0,3.0,0.0,19.0,3.1,1.0,76.0,1.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5237897047083884,0.47621029529161163,4
16,10,5.0,1.0,1.0,321.0,3.0,5.0,186.0,1.0,3.0,4.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5858622882404105,0.4141377117595894,2
16,11,5.0,1.0,1.0,321.0,3.0,5.0,186.0,1.0,3.0,0.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5861404726945866,0.41385952730541337,3
16,12,5.0,1.0,1.0,321.0,3.0,5.0,149.0,1.0,3.0,0.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5863155720477168,0.41368442795228316,4
16,13,5.0,1.0,1.0,321.0,1.0,5.0,149.0,1.0,3.0,0.0,19.0,0.37,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5863302956901933,0.41366970430980676,4
