,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
60,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,0,0,1,0,2,8,80,1,0,0,7,0.58,0,0,0,12,1,1.57142857142857,1,2,1.11111111111111,0,236,1.0,1.0,0,0
247,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0,9,2,0,0,1,283,1,0,8,13,0.74,89,4,0,31,2,2.86363636363636,0,0,1.70833333333333,0,0,0.76056338028169,0.0,0,3
1311,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,0,22,1,0,1,3,196,1,0,9,1,1.07,82,1,0,17,1,4.47826086956522,1,1,0.76,0,0,0.89438202247191,0.0,0,0
750,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,0,0,1,0,5,7,107,1,0,0,10,0.24,0,1,0,8,1,0.9,0,1,0.416666666666667,0,0,0.57593984962406,0.0,0,0
80,2,4,1,4,3,2,198,3,2,11,28,0.72,0,0,4,11,2,29.3055555555556,1,1,0.45,0,0,0.630111524163569,0.0,0,3
139,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1,0,2,0,0,14,154,1,0,8,8,0.48,56,1,0,34,1,8.22222222222222,2,1,1.90909090909091,0,12,0.635701275045537,1.0,0,4
224,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,0,12,1,0,0,8,198,1,0,0,8,4.71,0,0,1,8,1,1.95,1,0,0.0,0,0,0.794871794871795,0.0,0,2
1260,,,,,,,,,,,,,,,,,,,,,,,,,,,
