test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
56,0,230.0,1.0,2.0,20.0,1.0,4.0,349.0,25.0,23.0,12.0,30.5,1.0,191.0,4.0,3.0,13.0,3.0,4.53030303030303,0.0,4.83333333333333,0.0,0.0,0.666666666666667,0.0,2.0,4.0,0.53,0.47
163,0,3.0,0.0,2.0,1.0,4.0,2.0,134.0,4.0,1.0,7.0,0.56,0.0,22.0,1.0,0.0,7.0,2.0,3.39130434782609,1.0,4.4,1.0,0.0,0.2,0.0,3.0,4.0,0.55,0.45
192,0,4.0,0.0,1.0,14.0,1.0,2.0,56.0,2.0,10.0,4.0,0.22,0.0,29.0,1.0,1.0,8.0,1.0,3.13793103448276,0.0,3.62068965517241,1.0,0.0,1.0,0.0,2.0,1.0,0.51,0.49
195,0,19.0,0.0,1.0,1.0,0.0,2.0,19.0,3.0,0.0,2.0,0.06,0.0,7.0,1.0,13.0,5.0,2.0,2.60869565217391,0.0,3.97826086956522,5.0,0.0,1.0,0.0,1.0,2.0,0.51,0.49
256,0,5.0,0.0,1.0,193.0,1.0,2.0,283.0,2.0,2.0,11.0,0.33,0.0,108.0,3.0,3.0,24.0,2.0,9.75,1.0,3.73148148148148,1.0,0.0,0.333333333333333,0.0,4.0,7.0,0.54,0.46
345,0,60.0,2.0,1.0,58.0,1.0,4.0,482.0,22.0,2.0,2.0,0.14,1.0,205.0,4.0,0.0,2.0,2.0,78.3,20.0,15.6,1.0,0.0,0.454545454545455,0.0,4.0,5.0,0.51,0.49
356,0,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,202.0,1.0,8.0,18.0,2.0,3.09090909090909,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.52,0.48
363,0,2.0,1.0,2.0,0.0,1.0,3.0,75.0,2.0,2.0,11.0,0.21,1.0,29.0,3.0,0.0,28.0,5.0,3.75862068965517,1.0,6.72413793103448,1.0,0.0,1.0,0.0,3.0,2.0,0.52,0.48
364,0,18.0,1.0,2.0,6.0,0.0,3.0,3425.0,16.0,14.0,4.0,30.2,1.0,57.0,1.0,2.0,5.0,3.0,4.03389830508475,4.0,6.74576271186441,0.0,0.0,0.407407407407407,1.0,4.0,6.0,0.51,0.49
397,0,6.0,0.0,4.0,0.0,0.0,4.0,27.0,1.0,7.0,10.0,0.11,0.0,16.0,4.0,0.0,21.0,1.0,3.6875,1.0,7.4375,1.0,0.0,0.0,0.0,1.0,2.0,0.52,0.48
450,0,0.0,0.0,1.0,1.0,0.0,2.0,29.0,4.0,0.0,2.0,0.38,0.0,174.0,5.0,2.0,8.0,1.0,5.44444444444444,4.0,4.33333333333333,2.0,0.0,1.0,0.0,1.0,0.0,0.51,0.49
