,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
192,4,0,1,0,1,2,56,2,10,4,0.22,0,29,1,1,0,1,3.13793103448276,0,3.62068965517241,1,0,1.0,0,2,1
214,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
163,3,0,2,1,4,2,134,4,1,7,0.56,0,22,1,0,1,2,3.39130434782609,1,4.65217391304348,1,0,1.0,0,3,4
356,1,0,1,1,0,2,30,1,3,2,0.32,1,11,1,0,1,2,3.09090909090909,0,5.0,0,0,1.0,0,4,0
397,6,0,4,0,0,4,27,1,7,10,0.11,0,16,4,0,0,1,3.6875,1,7.4375,1,0,0.571428571428571,0,1,2
450,0,0,1,1,0,2,29,4,0,2,0.38,0,8,5,2,0,1,5.44444444444444,4,4.33333333333333,2,0,1.0,0,1,0
364,,,,,,,,,,,,,,,,,,,,,,,,,,
363,12,1,2,0,1,3,75,2,2,11,0.21,1,29,3,0,28,1,3.75862068965517,1,1.35,1,0,1.0,0,3,2
256,5,0,1,3,1,2,283,2,2,30,0.33,0,108,3,3,1,2,9.75,1,3.73148148148148,1,0,0.333333333333333,0,4,7
345,,,,,,,,,,,,,,,,,,,,,,,,,,
451,0,0,1,0,0,2,22,1,0,0,1.69,0,2,3,0,3,1,3.5,3,3.0,2,0,0.05,0,1,0
458,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,
460,0,0,1,0,0,1,40,3,6,1,0.45,0,14,5,2,9,1,5.06666666666667,2,3.73333333333333,2,0,0.05,0,1,0
476,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,0,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
478,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,3.28571428571429,1,1.4500000000000002,1,0,1.0,0,1,0
479,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,1,1,3.28571428571429,1,3.0,1,0,1.0,0,1,0
514,6,0,4,12,4,6,211,1,4,0,0.29,0,0,1,0,0,1,5.63157894736842,1,4.36842105263158,1,0,0.428571428571429,0,4,2
522,1,0,1,4,0,2,124,1,0,0,0.27,0,0,1,0,1,1,3.57777777777778,1,2.94444444444444,1,0,0.444444444444444,0,4,6
467,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,,,,,,
