test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
37,0,13.0,1.0,2.0,41.0,1.0,2.0,261.0,16.0,17.0,22.0,4.3,0.0,98.0,4.0,4.0,30.0,2.0,3.43564356435644,15.0,3.92079207920792,0.0,0.0,0.1,0.0,2.0,7.0,0.5111445,0.4888555
37,1,13.0,1.0,2.0,187.0,1.0,2.0,261.0,16.0,17.0,22.0,0.32,10.0,98.0,3.0,4.0,64.0,2.0,3.43564356435644,0.0,0.6,15.0,0.0,0.875,0.0,2.0,2.0,0.54522836,0.4547716
37,2,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,5.0,0.32,0.0,98.0,3.0,42.0,1.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.97617143,0.023828557
37,3,134.0,1.0,2.0,11.0,1.0,10.0,261.0,16.0,17.0,22.0,0.32,0.0,98.0,4.0,4.0,3.0,2.0,41.4,0.0,3.92079207920792,0.0,0.0,0.4,0.0,2.0,2.0,0.5868232,0.4131768
37,4,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,22.0,0.32,0.0,476.0,3.0,56.0,2.0,2.0,3.43564356435644,20.0,3.92079207920792,6.0,0.0,0.875,0.0,2.0,2.0,0.54593897,0.454061
37,5,13.0,1.0,2.0,11.0,1.0,5.0,2522.0,16.0,17.0,22.0,0.32,0.0,567.0,3.0,4.0,1.0,2.0,3.43564356435644,0.0,17.7,0.0,0.0,0.875,0.0,2.0,2.0,0.9410429,0.05895708
37,6,13.0,1.0,7.0,11.0,1.0,2.0,261.0,16.0,17.0,22.0,0.32,0.0,98.0,3.0,4.0,9.0,2.0,3.43564356435644,3.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.61366063,0.38633937
37,7,11.0,1.0,2.0,11.0,1.0,9.0,261.0,16.0,17.0,29.0,64.0,0.0,98.0,3.0,4.0,14.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.9498786,0.050121445
37,8,5.0,1.0,5.0,11.0,18.0,2.0,261.0,16.0,89.0,22.0,0.32,0.0,98.0,3.0,4.0,30.0,2.0,3.43564356435644,0.0,0.1,0.0,1.0,0.875,0.0,2.0,2.0,0.7977353,0.20226474
37,9,11.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,29.0,64.0,0.0,98.0,3.0,4.0,14.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.9498786,0.050121445
37,10,13.0,1.0,2.0,11.0,1.0,2.0,261.0,8.0,72.0,22.0,0.32,0.0,98.0,3.0,9.0,30.0,2.0,3.43564356435644,12.0,0.0,0.0,0.0,0.875,0.0,2.0,2.0,0.6073633,0.39263672
37,11,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,22.0,0.32,0.0,361.0,3.0,4.0,11.0,2.0,76.7,0.0,3.92079207920792,12.0,0.0,0.875,0.0,2.0,2.0,0.72511625,0.27488378
37,12,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,22.0,0.32,0.0,98.0,3.0,4.0,11.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.5828451,0.4171549
37,13,7.0,1.0,2.0,11.0,1.0,2.0,2302.0,16.0,17.0,22.0,2.3,8.0,98.0,3.0,4.0,22.0,2.0,3.43564356435644,7.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.565184,0.434816
