test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
42,0,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,5.0,40.7,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.6450665851740487,0.35493341482595137
52,0,0.0,2.0,0.0,6.0,5.0,0.43,0.0,80.0,2.0,0.0,20.0,1.0,8.0,1.0,7.0,1.0,1.0,1.73333333333333,0.0,0.0,1.0,0.0,2.0,2.0,0.5489020822914714,0.45109791770852864
62,0,1.0,1.0,1.0,6.0,0.0,0.7,0.0,91.0,1.0,19.0,96.0,5.0,40.7,0.0,4.52447552447552,1.0,1.0,0.56,0.0,43.0,0.272727272727273,0.0,4.0,15.0,0.6584359671654518,0.3415640328345482
63,0,1.0,1.0,0.0,6.0,0.0,3.03,0.0,0.0,0.0,1.0,14.0,2.0,3.05263157894737,11.0,0.842105263157895,0.0,1.0,0.0,0.0,2.0,0.333333333333333,0.0,6.0,5.0,0.7388264900902293,0.2611735099097708
64,0,16.0,2.0,12.0,2.0,7.0,0.29,0.0,95.0,3.0,12.0,5.0,3.0,4.72222222222222,0.0,5.05555555555556,13.0,1.0,1.0,0.0,199.0,0.3,0.0,3.0,15.0,0.8393438600493498,0.16065613995065017
65,0,1.0,1.0,8.0,4.0,0.0,0.53,0.0,88.0,2.0,1.0,0.0,2.0,17.8736842105263,0.0,3.95789473684211,7.0,1.0,0.5,0.0,48.0,0.3,0.0,5.0,7.0,0.7850293867512168,0.21497061324878322
79,0,4.0,1.0,2.0,4.0,1.0,0.73,0.0,84.0,3.0,4.0,9.0,4.0,11.5714285714286,1.0,3.19047619047619,19.0,1.0,0.739130434782609,0.0,24.0,0.6,0.0,1.0,6.0,0.6195604566029769,0.3804395433970232
177,0,1.0,2.0,23.0,5.0,0.0,0.63,0.0,92.0,1.0,2.0,17.0,2.0,0.5,0.0,4.32786885245902,1.0,1.0,0.650793650793651,0.0,21.0,0.333333333333333,0.0,2.0,10.0,0.7991021942097799,0.20089780579022012
247,0,9.0,1.0,8.0,4.0,21.0,0.4,0.0,92.0,2.0,0.0,5.0,2.0,5.32835820895522,0.0,6.41791044776119,13.0,1.0,0.987179487179487,0.0,330.0,0.25,0.0,3.0,6.0,0.6887556205427143,0.31124437945728567
1125,0,1.0,1.0,64.0,7.0,0.0,0.4,0.0,97.0,2.0,0.0,123.0,1.0,9.41538461538462,0.0,12.5692307692308,16.0,1.0,1.78571428571429,0.0,283.0,1.0,0.0,2.0,10.0,0.5750033968499271,0.42499660315007287
1126,0,0.0,1.0,64.0,6.0,0.0,0.67,0.0,0.0,1.0,45.0,136.0,3.0,4.72307692307692,0.0,7.10769230769231,1.0,1.0,0.434782608695652,0.0,41.0,0.333333333333333,0.0,3.0,4.0,0.5782156103229057,0.4217843896770943
1127,0,0.0,1.0,15.0,5.0,0.0,0.73,0.0,0.0,1.0,0.0,5.0,1.0,3.4375,0.0,5.375,13.0,1.0,0.944444444444444,0.0,15.0,0.5,0.0,3.0,1.0,0.6775395119072867,0.32246048809271327
500,0,10.0,2.0,12.0,5.0,0.0,0.58,0.0,87.0,1.0,0.0,5.0,2.0,5.55357142857143,1.0,4.98214285714286,13.0,1.0,1.03448275862069,0.0,378.0,0.25,0.0,4.0,1.0,0.7785401058664245,0.22145989413357553
701,0,0.0,2.0,66.0,6.0,1.0,0.62,0.0,87.0,2.0,19.0,18.0,1.0,9.52272727272727,0.0,4.5,1.0,1.0,0.927083333333333,0.0,9.0,0.75,0.0,2.0,11.0,0.5563741057875333,0.44362589421246673
175,0,0.0,1.0,65.0,0.0,0.0,1.43,0.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,0.1,8.0,5.0,14.0,0.81423907742754,0.18576092257246
1328,0,131.0,1.0,547.0,0.0,133.0,0.02,0.0,99.0,2.0,2.0,16.0,2.0,2.18934646374217,0.0,3.19964189794091,0.0,0.0,0.417198808003406,0.0,80.0,0.5,0.0,2.0,3.0,0.8349559581905589,0.1650440418094411
1331,0,263.0,1.0,431.0,0.0,105.0,0.02,0.0,99.0,2.0,2.0,7.0,2.0,2.60681728101467,0.0,3.50614347998415,0.0,0.0,0.452390057361377,0.0,6460.0,0.555555555555556,5.0,3.0,3.0,0.8996702586949983,0.10032974130500173
43,0,5.0,5.0,28.0,6.0,0.0,0.74,0.0,64.0,1.0,36.0,19.0,1.0,5.96428571428571,2.0,4.78571428571429,1.0,1.0,0.6,0.0,70.0,0.3,0.0,4.0,2.0,0.6261166357728052,0.3738833642271948
1363,0,1.0,2.0,0.0,4.0,0.0,0.47,0.0,91.0,2.0,1.0,9.0,3.0,3.2,0.0,4.8,17.0,1.0,1.22222222222222,0.0,13.0,0.333333333333333,0.0,2.0,2.0,0.9559010755534606,0.04409892444653941
120,0,0.0,1.0,0.0,4.0,0.0,0.84,0.0,50.0,2.0,0.0,14.0,3.0,1.75,0.0,4.5,0.0,1.0,2.16666666666667,0.0,36.0,0.5,0.0,2.0,1.0,0.6323199537636109,0.36768004623638906
125,0,59.0,1.0,0.0,11.0,0.0,3.48,0.0,0.0,1.0,24.0,22.0,1.0,0.88135593220339,0.0,0.423728813559322,0.0,1.0,0.0,0.0,72.0,0.333333333333333,0.0,5.0,5.0,0.6964358588712003,0.3035641411287997
218,0,37.0,1.0,20.0,1.0,1.0,0.58,0.0,96.0,2.0,15.0,22.0,2.0,4.6,0.0,2.18181818181818,0.0,1.0,0.189473684210526,0.0,39.0,0.25,0.0,3.0,10.0,0.6665253614161925,0.33347463858380755
299,0,3.0,2.0,5.0,4.0,4.0,0.25,2.0,88.0,2.0,34.0,31.0,2.0,5.91666666666667,1.0,9.83333333333333,22.0,1.0,1.4,0.0,17.0,0.4,0.0,3.0,8.0,0.5235596739769717,0.47644032602302827
310,0,2.0,1.0,21.0,10.0,0.0,0.99,0.0,85.0,1.0,0.0,24.0,1.0,7.52380952380952,2.0,5.42857142857143,1.0,1.0,0.826086956521739,0.0,95.0,0.1,0.0,6.0,2.0,0.5084926889555865,0.49150731104441353
321,0,13.0,2.0,0.0,8.0,4.0,0.43,1.0,91.0,3.0,2.0,5.0,2.0,8.18279569892473,0.0,7.67741935483871,13.0,1.0,1.57692307692308,0.0,1033.0,0.434782608695652,3.0,4.0,11.0,0.5798110495648654,0.42018895043513455
1397,0,3.0,6.0,0.0,20.0,0.0,0.65,3.0,89.0,2.0,12.0,8.0,1.0,3.16666666666667,2.0,9.16666666666667,1.0,1.0,1.11111111111111,0.0,4.0,0.5,0.0,1.0,2.0,0.5078213075972147,0.4921786924027853
328,0,0.0,1.0,0.0,5.0,2.0,0.38,11.0,58.0,2.0,2.0,21.0,1.0,7.0,2.0,8.625,27.0,1.0,1.7,0.0,235.0,0.4,0.0,4.0,4.0,0.5670042656819988,0.4329957343180012
331,0,1.0,1.0,0.0,1.0,2.0,0.19,4.0,50.0,2.0,0.0,21.0,4.0,6.08333333333333,1.0,7.58333333333333,1.0,1.0,1.75,0.0,31.0,0.333333333333333,0.0,5.0,2.0,0.5061260334372667,0.4938739665627333
335,0,2.0,3.0,1.0,11.0,0.0,0.5,0.0,65.0,2.0,14.0,19.0,1.0,5.71428571428571,1.0,12.5714285714286,13.0,1.0,2.44444444444444,0.0,452.0,0.214285714285714,0.0,4.0,5.0,0.5154044551502774,0.48459554484972256
342,0,10.0,1.0,100.0,3.0,3.0,0.27,0.0,100.0,2.0,6.0,4.0,6.0,5.85606060606061,0.0,6.59848484848485,1.0,0.0,0.863309352517986,0.0,669.0,0.269230769230769,5.0,5.0,17.0,0.5265051661592783,0.4734948338407217
350,0,1.0,1.0,2.0,4.0,0.0,0.42,0.0,85.0,1.0,0.0,29.0,2.0,7.32258064516129,0.0,6.09677419354839,28.0,1.0,5.2,0.0,134.0,0.25,0.0,4.0,9.0,0.6282150291096171,0.37178497089038287
359,0,11.0,1.0,0.0,5.0,0.0,0.59,0.0,90.0,1.0,0.0,27.0,1.0,5.90243902439024,1.0,4.92682926829268,7.0,1.0,1.0,0.0,52.0,0.3,0.0,4.0,10.0,0.5704501292500068,0.4295498707499931
1419,0,4.0,1.0,0.0,8.0,0.0,0.52,2.0,83.0,1.0,14.0,44.0,2.0,5.40740740740741,1.0,9.51851851851852,13.0,1.0,1.27586206896552,0.0,90.0,0.545454545454545,0.0,1.0,3.0,0.5471248951005486,0.4528751048994514
1420,0,0.0,1.0,0.0,2.0,2.0,0.34,4.0,79.0,2.0,2.0,20.0,4.0,4.28571428571429,1.0,5.64285714285714,0.0,1.0,0.6875,0.0,29.0,0.444444444444444,0.0,2.0,2.0,0.5410920836330962,0.45890791636690376
360,0,6.0,2.0,239.0,2.0,1.0,0.29,0.0,100.0,3.0,1.0,10.0,2.0,6.43548387096774,0.0,5.24193548387097,1.0,0.0,1.10526315789474,0.0,49.0,0.333333333333333,0.0,2.0,8.0,0.6783070062835409,0.3216929937164591
409,0,7.0,2.0,245.0,6.0,67.0,0.42,0.0,66.0,2.0,7.0,13.0,2.0,6.0,0.0,7.05,1.0,1.0,1.20833333333333,0.0,78.0,0.25,0.0,4.0,6.0,0.6403647414391033,0.35963525856089673
