test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
42,0,0.0,1.0,1.0,7.0,0.0,1.41,0.0,68.0,1.0,0.0,4.0,2.0,6.2,1.0,3.1,1.0,1.0,0.4,0.0,255.0,0.7,0.0,1.0,1.0,0.8565751162445345,0.14342488375546555
42,1,7.0,2.0,2.0,2.0,0.0,0.31,0.0,87.0,2.0,2.0,19.0,2.0,4.0,0.0,5.3,1.0,1.0,1.3,0.0,292.0,0.4,0.0,4.0,9.0,0.5159225537518263,0.48407744624817367
65,0,7.0,1.0,4.0,0.0,0.0,0.11,0.0,84.0,3.0,0.0,25.0,2.0,2.5,0.0,4.6,1.0,1.0,0.5,0.0,68.0,1.0,0.0,2.0,1.0,0.6437233579864998,0.3562766420135002
65,1,5.0,2.0,0.0,7.0,0.0,0.95,0.0,86.0,1.0,0.0,15.0,2.0,5.4,0.0,3.9,0.0,1.0,0.9,0.0,41.0,0.6,0.0,2.0,2.0,0.523346638115993,0.4766533618840069
65,2,0.0,1.0,7.0,1.0,1.0,0.22,0.0,91.0,2.0,0.0,11.0,2.0,4.3,0.0,6.0,1.0,1.0,1.4,0.0,47.0,0.3,0.0,2.0,2.0,0.6791750878380789,0.32082491216192077
65,3,0.0,1.0,6.0,5.0,0.0,0.49,0.0,72.0,3.0,0.0,11.0,1.0,4.0,1.0,6.5,2.0,1.0,1.8,0.0,56.0,0.8,0.0,2.0,1.0,0.6566498496172521,0.3433501503827478
65,4,2.0,1.0,1.0,1.0,5.0,0.34,0.0,89.0,2.0,4.0,15.0,2.0,6.9,0.0,3.2,1.0,1.0,0.3,0.0,63.0,0.4,0.0,3.0,5.0,0.7730292290701282,0.22697077092987175
95,0,0.0,2.0,3.0,1.0,0.0,0.16,1.0,79.0,1.0,0.0,19.0,1.0,5.5,1.0,8.3,1.0,1.0,1.1,0.0,0.0,1.0,0.0,1.0,1.0,0.8470082306465452,0.15299176935345463
177,0,0.0,1.0,1.0,8.0,2.0,0.97,0.0,90.0,1.0,0.0,5.0,2.0,17.2,2.0,3.7,1.0,1.0,0.6,0.0,10.0,0.7,0.0,3.0,5.0,0.5364417375851943,0.4635582624148056
177,1,1.0,1.0,24.0,11.0,0.0,1.25,0.0,93.0,1.0,0.0,6.0,2.0,4.7,0.0,4.2,1.0,1.0,0.8,0.0,1.0,1.0,0.0,1.0,1.0,0.770576313184288,0.22942368681571215
247,0,5.0,1.0,1.0,0.0,1.0,0.23,0.0,80.0,2.0,0.0,7.0,2.0,4.5,0.0,5.1,1.0,1.0,1.0,0.0,330.0,0.5,0.0,1.0,0.0,0.8432199738644933,0.15678002613550673
247,1,0.0,1.0,2.0,1.0,0.0,0.12,3.0,55.0,1.0,0.0,12.0,2.0,4.7,1.0,7.6,1.0,1.0,0.5,0.0,325.0,0.5,0.0,2.0,0.0,0.7759114065435208,0.22408859345647916
247,2,5.0,1.0,1.0,0.0,1.0,0.23,0.0,80.0,2.0,0.0,7.0,2.0,4.5,0.0,5.1,1.0,1.0,1.0,0.0,330.0,0.5,0.0,1.0,0.0,0.8432199738644933,0.15678002613550673
247,3,0.0,1.0,6.0,2.0,2.0,0.25,1.0,76.0,1.0,0.0,7.0,2.0,4.5,0.0,6.3,0.0,1.0,0.9,0.0,297.0,0.2,0.0,3.0,3.0,0.5300374595557753,0.46996254044422464
500,0,0.0,1.0,1.0,2.0,0.0,0.19,1.0,67.0,1.0,0.0,8.0,1.0,3.3,1.0,8.5,1.0,1.0,1.6,0.0,389.0,0.7,0.0,1.0,0.0,0.7971208742060759,0.20287912579392403
