,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1628,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0,7,133,5,0.47,0,81,2,0,23,1,5.71428571428571,1,7.0,1,1,1.625,0,0.533333333333333,0,4,0,4
19,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,1,4,4,80,2,0.33,0,81,2,0,22,1,4.76923076923077,1,6.07692307692308,1,1,1.93333333333333,0,0.583333333333333,0,5,0,3
47,,,,,,,,,,,,,,,,,,,,,,,,,
1640,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,
187,0,1,1,5,115,0,0.66,0,93,1,0,35,1,3.1875,0,5.8125,1,1,1.33333333333333,0,0.6,0,3,3,0
1661,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,
1662,3,1,1,2,67,0,0.33,0,80,2,0,14,2,2.76470588235294,0,5.35294117647059,0,1,0.695652173913043,0,0.714285714285714,0,1,3,0
257,0,1,197,0,402,0,1.41,0,100,1,0,3,1,0.0,0,1.0,1,0,0.0,0,0.407407407407407,9,4,3,0
349,,,,,,,,,,,,,,,,,,,,,,,,,
545,262,1,223,0,399,109,0.02,0,99,2,3,55,2,2.61400778210117,0,3.49066147859922,0,0,0.448443944506937,0,0.6,0,3,0,4
552,,,,,,,,,,,,,,,,,,,,,,,,,
563,57,1,46,0,90,24,0.02,0,97,2,2,13,2,2.25150905432596,0,3.39034205231388,0,1,0.442084942084942,0,0.833333333333333,0,1,1,1
592,,,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,
585,0,1,0,0,18,0,0.06,0,0,1,4,9,2,0.0153846153846154,0,0.0153846153846154,0,1,0.0,0,0.25,0,4,1,3
586,0,1,0,0,19,0,0.06,0,0,1,22,24,2,0.737704918032787,0,0.491803278688525,0,1,0.0,0,0.333333333333333,0,5,1,5
589,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,,,,,,,,,,,
733,,,,,,,,,,,,,,,,,,,,,,,,,
717,3,2,4,4,143,4,0.24,2,88,2,4,34,2,5.875,1,10.5,1,1,1.4,0,0.666666666666667,0,3,0,10
455,,,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,,,,,,,,,,,,,,,,,,,
744,,,,,,,,,,,,,,,,,,,,,,,,,
777,,,,,,,,,,,,,,,,,,,,,,,,,
784,,,,,,,,,,,,,,,,,,,,,,,,,
749,3,6,2,20,161,0,0.66,3,50,2,2,8,1,3.16666666666667,2,8.66666666666667,1,1,1.11111111111111,0,0.5,0,1,0,4
782,,,,,,,,,,,,,,,,,,,,,,,,,
780,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,
787,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,
793,20,1,0,5,161,0,3.04,0,0,2,2,14,1,3.51851851851852,0,0.518518518518518,0,1,0.0,0,0.583333333333333,0,3,6,0
792,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,,
771,,,,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,,,,,,,,,
799,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,,,,,,,,,,,,
875,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,
880,,,,,,,,,,,,,,,,,,,,,,,,,
