,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1,1.0,1.0,1.0,0.0,28.0,4.0,2.0,3.09,0.0,90.0,2.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.11,3.0,1.0
102,0.25,1.0,1.0,2.0,41.0,1.0,7.0,13.0,1.0,75.0,2.0,0.0,2.0,1.0,4.375,0.0,1.0,1.0,1.5,0.0,1.0,0.0,3.0,1.0
94,0.0,1.0,0.0,0.0,0.11,1.0,5.0,2.0,0.0,99.0,1.0,2.0,1.0,2.0,0.382978723404255,0.0,0.0,1.0,83.0,0.0,1.0,0.0,1.0,0.15
101,1.0,1.0,0.0,1.0,651.0,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.623762376237624,0.0,0.0,1.0,0.15,0.0,1.0,0.0,4.0,1.0
108,6.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,86.0,0.1,2.0
4,2.0,2.0,5.0,3.0,40.0,6.0,4.0,0.2,2.0,88.0,1.0,0.0,17.0,2.0,4.54166666666667,1.0,1.0,1.0,1.84375,0.0,1.0,0.0,6.0,8.0
174,0.0,1.0,1.0,3.0,100.0,2.0,11.0,0.42,0.0,90.0,1.0,0.0,17.0,2.0,5.61386138613861,1.0,1.0,1.0,0.557692307692308,0.0,0.333333333333333,0.0,5.0,2.0
272,0.0,2.0,0.25,0.0,33.0,1.0,8.0,1.0,1.0,88.0,4.0,1.0,12.0,2.0,4.0,0.0,1.0,1.0,1.91666666666667,0.0,0.5,0.0,3.0,2.0
269,5.0,1.0,2.0,2.0,2.0,1.0,22.0,0.44,0.0,93.0,1.0,0.0,6.0,1.0,5.17021276595745,1.0,1.0,1.0,0.63265306122449,0.0,0.333333333333333,2.0,1.0,6.0
283,0.0,1.0,0.14,2.0,50.0,1.0,5.0,0.37,0.0,85.0,2.0,0.0,9.0,2.0,3.35294117647059,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0
285,121.0,3.0,2.0,8.0,546.0,2.0,2.0,29.0,4.0,86.0,2.0,0.0,1.0,2.0,7.43076923076923,0.0,0.0,1.0,2.16176470588235,0.0,0.454545454545455,0.2,4.0,3.0
220,1.0,1.0,6.0,3.0,165.0,2.0,0.0,0.11,8.0,77.0,2.0,2.0,2.0,2.0,6.16279069767442,1.0,1.0,1.0,1.10869565217391,0.0,0.333333333333333,0.0,1.0,0.0
183,2.0,2.0,22.0,4.0,71.0,2.0,0.0,0.3,0.0,96.0,1.0,0.0,17.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.1,0.0,4.0,8.0
311,0.0,2.0,1.0,1.0,70.0,3.0,2.0,0.15,0.0,100.0,3.0,0.0,15.0,2.0,4.28571428571429,0.0,1.0,1.0,1.23076923076923,0.0,0.5,0.0,3.0,0.0
320,1.0,1.0,3.0,2.0,93.0,3.0,1.0,0.2,1.0,80.0,2.0,0.0,17.0,2.0,4.03571428571429,0.0,1.0,1.0,1.125,0.0,0.428571428571429,0.0,3.0,0.0
323,2.0,1.0,2.0,2.0,85.0,2.0,17.0,24.0,2.0,85.0,3.0,0.0,2.0,2.0,0.25,0.0,1.0,4.4,1.26315789473684,0.0,1.0,0.0,2.0,1.0
327,1.0,2.0,0.0,3.0,67.0,2.0,3.0,0.37,0.0,100.0,3.0,0.0,13.0,2.0,4.63636363636364,0.0,1.0,2.0,2.14285714285714,0.0,0.5,0.0,3.0,1.0
328,17.0,2.0,2.0,2.0,52.0,1.0,0.0,1.0,1.0,86.0,1.0,0.0,0.15,1.0,4.4,2.0,1.0,1.0,1.76470588235294,0.0,0.666666666666667,0.0,2.0,1.0
335,1.0,2.0,1.0,1.0,40.0,1.0,6.0,0.2,2.0,86.0,3.0,0.0,17.0,2.0,3.6,0.0,1.0,1.0,1.92857142857143,0.0,0.5,0.0,3.0,2.0
298,5.0,1.0,7.0,4.0,83.0,1.0,2.0,0.2,3.0,86.0,2.0,1.0,17.0,3.0,4.85714285714286,0.0,1.0,1.0,1.6,0.0,0.428571428571429,0.0,1.0,0.0
337,1.0,2.0,1.0,2.0,59.0,1.0,4.0,0.2,2.0,86.0,2.0,0.0,17.0,2.0,3.75,0.0,0.0,1.0,1.33333333333333,0.0,0.15,0.0,2.0,2.0
270,0.0,2.0,1.0,4.0,35.0,2.0,15.0,0.2,3.0,84.0,1.0,0.0,59.0,2.0,7.46153846153846,1.0,1.0,1.0,1.76744186046512,0.0,0.571428571428571,0.0,5.0,2.0
344,2.0,1.0,6.0,2.0,115.0,4.0,1036.0,0.36,0.0,100.0,1.0,18.0,13.0,3.0,7.81632653061224,0.0,0.0,0.0,0.682692307692308,0.0,0.4,0.0,4.0,7.0
357,1.0,2.0,0.0,1.0,82.0,1.0,24.0,0.2,1.0,80.0,2.0,0.0,13.0,1.0,7.72222222222222,2.0,1.0,1.0,1.80952380952381,0.0,1.0,0.0,3.0,2.0
360,18.0,1.0,2.0,5.0,65.0,1.0,2.0,0.25,2.0,76.0,3.0,0.0,1.0,2.0,9.66666666666667,0.0,1.0,1.0,2.5,0.0,0.5,0.0,4.0,17.0
362,0.0,1.0,2.0,1.0,106.0,8.0,0.2,17.0,1.0,100.0,2.0,2.0,1.0,2.0,4.73333333333333,0.0,0.0,2.0,1.05128205128205,0.0,0.5,0.0,5.0,24.0
338,0.0,2.0,2.0,6.0,103.0,1.0,5.0,0.28,4.0,86.0,3.0,0.0,7.0,2.0,5.76923076923077,0.0,1.0,1.0,1.4,0.0,0.4,0.0,5.0,2.0
281,1.0,2.0,2.0,1.0,19.0,2.0,24.0,0.2,1.0,90.0,3.0,2.0,0.0,2.0,7.22857142857143,0.0,1.0,1.0,1.425,0.0,0.666666666666667,0.0,3.0,2.0
429,1.0,2.0,0.0,2.0,86.0,4.0,0.0,0.28,1.0,60.0,2.0,0.0,13.0,2.0,2.5,0.0,1.0,1.0,0.974358974358974,0.0,0.5,0.0,6.0,1.0
313,10.0,1.0,1.0,2.0,13.0,4.0,18.0,0.2,1.0,100.0,3.0,8.0,17.0,2.0,6.71428571428571,0.0,0.0,0.0,1.5,0.0,0.428571428571429,0.0,5.0,2.0
365,0.0,2.0,1.0,1.0,77.0,2.0,1.0,0.15,1.0,85.0,4.0,0.0,4.0,2.0,4.41666666666667,0.0,1.0,1.0,1.43589743589744,0.0,0.714285714285714,0.0,2.0,2.0
