,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
344,5,1,6,2,326,4,10.0,0.36,0,100,1,18,16,4,7.81632653061224,0,0,0,0.682692307692308,0,0.0,0,4,7
580,2,2,7,1,75,7,0,0.34,1,0,1,0,11,2,2.33333333333333,0,1,1,0.956521739130435,0,0.5,0,4,5.5
1059,1,1,8,6,80,1,0,0.39,0,0,1,0,50,1,9.88888888888889,0,1,1,0.235294117647059,0,0.0,0,3,3
723,6,2,11,6,62.5,9,0,0.05,0,91,2,7,4.5,2,3.74074074074074,0,1,1,2.0,0,1.0,1,1,4
283,0,1,0,1,50,1,5,0.20500000000000002,0,85,2,0,9,2,3.35294117647059,0,1,1,1.0,0,0.0,0,2,0
588,2,2,9,2,56,1,0,0.21,0,86,1,0,9,1,5.8,0,1,1,2.16666666666667,0,0.0,0,1,0
1,1,1,1,0,28,4,15,0.245,0,90,2,1,3,2,1.82352941176471,1,1,1,0.487179487179487,0,1.0,0,3,4
269,6,1,2,2,159,1,22,0.44,0,93,1,0,6,1,3.11111111111111,1,1,1,0.63265306122449,0,0.0,0,6,6
1074,2,2,9,7,48.5,1,0,0.38,1,90,1,0,17.0,1,8.4,0,1,1,2.0,0,1.0,1,4,2
601,2,1,1,5,49,1,2,0.22,6,70,2,0,21,1,3.11111111111111,2,2,1,2.71428571428571,0,0.333333333333333,0,5,4
280,1,1,0,0,42,1,7,0.10500000000000001,0,83,1,0,4,2,2.39230769230769,0,1,1,0.111111111111111,0,0.45,0,1,1
585,3,1,13,2,62.5,6,33,0.23,0,100,1,7,26,1,9.33333333333333,0,0,0,1.11475409836066,0,0.45,0,1,10
1355,5,1,9,1,65,1,177,0.15,0,99,1,0,3,1,4.2,0,1,0,0.5,0,0.473684210526316,0,2,1
335,1,2,1,1,40,1,6,0.18,2,86,4,0,22,2,3.11111111111111,0,1,1,1.92857142857143,0,0.8,0,1,0
1322,0,0,0,2,24.5,96.5,0,0.26,1,0,0,0,0,0,0.0,0,0,1,0.806451612903226,3,0.375,1,3,0
1404,1,2,3,0,31.0,6,45,1.315,0,96,2,0,5,3,4.26829268292683,0,0,0,0.444444444444444,0,0.666666666666667,0,4,1
1314,3,1,6,2,48,1,0,0.55,0,85,1,0,3,1,4.2,0,1,1,0.909090909090909,0,1.0,0,5,1
184,79,1,2,1,31.0,6,20,1.315,1,100,1,0,7.0,3,6.05291005291005,0,1,0,1.5969387755102,0,0.5,1,5,9
220,16,1,6,3,108.5,2,0,0.08,8,77,2,2,33,2,6.16279069767442,1,1,1,1.10869565217391,0,0.0,0,1,6
970,12,1,7,2,62.5,3,24,0.17,2,91,1,2,34,2,4.43396226415094,1,1,1,1.24561403508772,0,0.333333333333333,1,6,6
313,10,1,1,2,62.5,4,62,0.055,1,100,3,8,39,2,6.71428571428571,0,0,16.0,1.5,0,0.0,0,2,5
993,2,1,3,0,29,6,6,1.315,0,90,2,0,3,1,2.23684210526316,0,0,13.0,0.124102564102564,0,1.0,0,3,0
1405,2,1,3,0,44,6,8,1.315,0,26.0,2,0,4,1,2.5,0,0,0,0.714285714285714,0,0.3875,0,1,0
357,7,2,0,1,79.0,1,30,0.22,1,80,2,0,0.5,1,3.11111111111111,2,1,1,1.80952380952381,0,1.0,0,2,2
1286,1,1,34.5,0,22,2,4,0.34,0,49.0,2,0,2,2,5.1875,1,0,1,1.22222222222222,1,1.0,0,1,1
643,0,1,0,0,72,1,4.0,0.2,0,94,2,0,31.5,2,3.32727272727273,0,1,1,0.210526315789474,0,1.0,0,3,2
616,132,2,16,7,20.0,6,36,0.16,4,96,2,1,186,2,8.60693641618497,1,1,1,1.95580110497238,0,0.0,1,3,12
453,12,1,1,2,42.0,8,83,0.36,0,100,1,1,11,2,5.74698795180723,0,1,1,0.869565217391304,0,0.45,1,5,2
833,1,2,0,0,34,2,8,0.21,1,67,2,0,10,1,1.591666666666665,0,0,1,1.0,2,0.333333333333333,0,3,1
174,12,1,1,3,62.5,2,11,0.42,0,90,1,0,38,2,1.145833333333335,1,1,1,0.161904761904762,0,0.333333333333333,0,3,8
64,3,1,1,0,22,31.0,0,0.035,1,0,2,0,3,2,1.35714285714286,0,1,1,0.2426470588235295,0,1.0,0,1,0
1356,12,1,0,0,30,1,1,1.315,0,94,2,0,4.5,2,4.44444444444444,0,1,1,1.15,0,1.0,1,2,8.0
1371,16,1,0,0,38,2,15,1.315,0,88,3,0,4.5,1,3.96774193548387,1,1,1,1.23529411764706,0,1.0,1,2,8.0
327,2,2,0,3,67,2,3,0.37,1,100,0,0,7.0,2,4.63636363636364,0,1,16.0,2.14285714285714,0,0.285714285714286,0,3,2
360,0,1,2,5,65,1,21,0.225,2,76,3,0,18,2,2.088541666666665,0,1,1,2.5,0,0.5,0,1,5
