test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,29.87,0.0,90.0,0.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.75,0.25
4,0,5.0,2.0,5.0,3.0,112.0,6.0,4.0,0.18,2.0,88.0,1.0,0.0,27.0,2.0,0.4,1.0,28.0,1.0,1.84375,0.0,1.0,0.0,7.0,8.0,0.51,0.49
102,0,2.0,2.0,1.0,2.0,41.0,1.0,7.0,0.29,1.0,75.0,2.0,77.0,14.0,1.0,4.375,0.0,1.0,1.0,1.5,0.0,1.0,0.0,3.0,8.0,0.54,0.46
108,0,3.0,1.0,1.0,2.0,96.0,2.0,6.0,22.67,4.0,88.0,2.0,65.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0,0.55,0.45
173,0,41.0,1.0,11.0,1.0,274.0,10.0,14.0,0.71,1.0,8.0,3.0,41.0,89.0,2.0,5.8622754491018,0.0,1.0,1.0,0.1,0.0,0.0,0.0,6.0,9.0,0.53,0.47
174,0,12.0,1.0,1.0,3.0,354.0,2.0,11.0,29.92,0.0,3.0,1.0,74.0,35.0,2.0,5.61386138613861,1.0,1.0,1.0,2.9,1.0,0.333333333333333,0.0,6.0,8.0,0.51,0.49
183,0,2.0,2.0,42.0,4.0,228.0,2.0,0.0,15.01,0.0,68.0,1.0,0.0,23.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,2.0,9.0,0.53,0.47
184,0,79.0,1.0,11.0,1.0,296.0,6.0,20.0,0.71,1.0,8.0,3.0,41.0,74.0,3.0,6.05291005291005,0.0,1.0,0.0,0.1,0.0,0.0,0.0,5.0,9.0,0.53,0.47
220,0,16.0,1.0,6.0,3.0,165.0,2.0,645.0,1.13,8.0,77.0,1.0,2.0,33.0,2.0,1.0,31.0,1.0,1.0,0.1,0.0,0.333333333333333,0.0,7.0,6.0,0.53,0.47
269,0,6.0,1.0,2.0,2.0,159.0,1.0,22.0,0.44,0.0,24.0,1.0,0.0,6.0,1.0,5.17021276595745,1.0,1.0,1.0,0.63265306122449,0.0,0.333333333333333,0.0,1.0,6.0,0.58,0.42
270,0,8.0,2.0,1.0,4.0,211.0,2.0,645.0,1.13,3.0,84.0,1.0,0.0,82.0,2.0,1.0,31.0,1.0,1.0,0.1,0.0,0.571428571428571,0.0,5.0,9.0,0.51,0.49
