test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
1,0,0.0,1.0,0.0,0.0,22.0,4.0,15.0,13.02,0.0,89.0,2.0,1.0,3.0,2.0,1.81818181818182,1.0,1.0,1.0,0.473684210526316,0.0,0.0,0.0,3.0,3.0,0.67,0.33
4,0,8.0,1.0,3.0,2.0,110.0,4.0,11.0,21.03,1.0,41.0,2.0,0.0,21.0,2.0,3.66666666666667,0.0,1.0,1.0,1.0,0.0,0.333333333333333,0.0,2.0,4.0,0.52,0.48
4,1,7.0,2.0,10.0,4.0,106.0,3.0,7.0,21.68,1.0,19.0,1.0,107.0,21.0,1.0,8.05882352941176,0.0,1.0,1.0,1.66666666666667,0.0,0.0,0.0,2.0,1.0,0.51,0.49
4,2,3.0,2.0,2.0,6.0,103.0,1.0,5.0,10.29,4.0,86.0,3.0,0.0,16.0,2.0,0.8,0.0,1.0,1.0,1.4,0.0,0.666666666666667,0.0,0.0,5.0,0.55,0.45
24,0,9.0,4.0,0.0,6.0,215.0,2.0,49.0,4.3,2.0,89.0,2.0,40.0,33.0,2.0,7.25,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,0.53,0.47
94,0,0.0,1.0,0.0,0.0,26.0,1.0,5.0,4.99,0.0,99.0,1.0,2.0,1.0,2.0,0.356382978723404,0.0,0.0,1.0,0.130208333333333,0.0,0.0,0.0,1.0,1.0,0.81,0.19
101,0,2.0,1.0,0.0,1.0,652.0,1.0,8.0,1.63,0.0,58.0,1.0,0.0,4.0,2.0,0.594059405940594,0.0,0.0,1.0,0.144230769230769,0.0,0.5,0.0,0.0,1.0,0.58,0.42
101,1,8.0,1.0,97.0,3.0,503.0,14.0,10.0,14.01,0.0,33.0,2.0,6.0,187.0,2.0,4.71774193548387,0.0,1.0,0.0,1.08391608391608,0.0,0.1,0.0,6.0,2.0,0.51,0.49
102,0,0.0,1.0,0.0,0.0,43.0,1.0,8.0,25.06,0.0,78.0,3.0,0.0,12.0,3.0,4.59259259259259,0.0,1.0,1.0,0.482758620689655,0.0,1.0,0.0,4.0,3.0,0.51,0.49
102,1,0.0,1.0,0.0,1.0,44.0,1.0,6.0,8.26,1.0,71.0,2.0,0.0,17.0,1.0,3.6,2.0,2.0,1.0,1.47058823529412,0.0,0.0,0.0,5.0,2.0,0.73,0.27
108,0,3.0,1.0,1.0,2.0,99.0,2.0,6.0,24.13,4.0,12.0,2.0,0.0,4.0,2.0,3.71428571428571,1.0,1.0,1.0,1.09677419354839,0.0,0.5,0.0,6.0,3.0,0.56,0.44
173,0,61.0,1.0,3.0,2.0,218.0,2.0,3.0,23.75,2.0,60.0,2.0,73.0,86.0,1.0,18.2,0.0,1.0,1.0,4.9,0.0,0.625,0.0,0.0,10.0,0.54,0.46
173,1,62.0,1.0,2.0,4.0,226.0,2.0,12.0,0.07,0.0,31.0,1.0,0.0,55.0,3.0,6.66666666666667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,7.0,0.51,0.49
173,2,8.0,2.0,1.0,4.0,209.0,2.0,15.0,33.36,2.0,41.0,1.0,0.0,4.0,2.0,6.92307692307692,1.0,1.0,1.0,1.74418604651163,0.0,0.75,0.0,5.0,8.0,0.51,0.49
174,0,12.0,1.0,1.0,3.0,338.0,446.0,11.0,9.76,0.0,56.0,1.0,0.0,1.0,2.0,5.35483870967742,14.0,1.0,1.0,0.520833333333333,0.0,0.714285714285714,0.0,6.0,7.0,0.54,0.46
174,1,0.0,0.0,0.0,0.0,305.0,31.0,0.0,34.0,0.0,0.0,3.0,0.0,0.0,1.0,38.6,0.0,0.0,1.0,0.99163179916318,0.0,0.5,0.0,4.0,5.0,0.54,0.46
183,0,2.0,1.0,31.0,5.0,204.0,3.0,2.0,0.44,0.0,100.0,1.0,92.0,33.0,2.0,6.31428571428571,0.0,1.0,0.0,0.0,0.0,0.333333333333333,0.0,1.0,5.0,0.59,0.41
183,1,6.0,2.0,11.0,6.0,216.0,50.0,0.0,0.37,0.0,91.0,2.0,70.0,33.0,2.0,3.77777777777778,0.0,1.0,1.0,0.1,0.0,0.5,0.0,0.0,4.0,0.52,0.48
183,2,4.0,2.0,11.0,5.0,213.0,6.0,5.0,26.09,2.0,68.0,1.0,43.0,48.0,2.0,3.03125,0.0,1.0,1.0,1.23076923076923,0.0,0.1,0.0,2.0,3.0,0.55,0.45
184,0,62.0,1.0,2.0,1.0,226.0,2.0,12.0,28.86,0.0,34.0,0.0,0.0,1.0,3.0,6.66666666666667,0.0,1.0,0.0,1.73758865248227,3.0,0.5,1.0,6.0,7.0,0.54,0.46
184,1,61.0,1.0,3.0,2.0,218.0,2.0,3.0,28.58,2.0,54.0,2.0,0.0,8.0,1.0,8.74626865671642,0.0,1.0,498.0,1.78571428571429,0.0,0.625,0.0,5.0,10.0,0.53,0.47
184,2,67.0,1.0,1.0,3.0,338.0,2.0,11.0,28.67,0.0,7.0,1.0,0.0,17.0,2.0,5.35483870967742,1.0,1.0,1.0,0.520833333333333,4.0,0.714285714285714,0.0,2.0,7.0,0.51,0.49
184,3,189.0,12.0,9.0,24.0,370.0,9.0,12.0,26.98,1.0,1.0,2.0,70.0,81.0,2.0,31.0,0.0,1.0,1.0,3.9,0.0,0.416666666666667,1.0,1.0,8.0,0.52,0.48
220,0,5.0,1.0,7.0,4.0,139.0,1.0,2.0,36.9,3.0,85.0,2.0,1.0,2.0,3.0,4.85714285714286,0.0,1.0,1.0,1.6,0.0,0.75,0.0,0.0,7.0,0.59,0.41
220,1,3.0,1.0,1.0,0.0,141.0,1.0,6.0,9.87,0.0,89.0,1.0,0.0,26.0,2.0,8.01234567901234,0.0,1.0,1.0,0.1,0.0,0.5,0.0,1.0,7.0,0.54,0.46
269,0,6.0,1.0,2.0,2.0,154.0,1.0,21.0,0.43,0.0,93.0,1.0,0.0,4.0,1.0,5.13333333333333,1.0,1.0,1.0,0.659574468085106,0.0,1.1,0.0,2.0,5.0,0.51,0.49
269,1,2.0,1.0,0.0,1.0,165.0,3.0,33.0,0.28,0.0,15.0,2.0,0.0,2.0,2.0,4.18032786885246,0.0,0.0,1.0,0.661538461538462,0.0,0.0,0.0,2.0,3.0,0.52,0.48
269,2,3.0,2.0,1.0,4.0,156.0,4.0,8.0,3.17,2.0,55.0,3.0,0.0,16.0,2.0,3.95238095238095,1.0,1.0,1.0,1.42307692307692,0.0,0.333333333333333,0.0,1.0,6.0,0.54,0.46
269,3,1.0,1.0,2.0,3.0,144.0,8.0,33.0,0.45,1.0,100.0,2.0,3.0,11.0,1.0,4.95652173913043,0.0,3.0,0.0,0.0,0.0,0.5,0.0,2.0,3.0,0.53,0.47
270,0,8.0,2.0,1.0,4.0,209.0,2.0,15.0,21.75,30.0,72.0,1.0,0.0,3.0,2.0,6.92307692307692,1.0,1.0,1.0,1.74418604651163,0.0,0.75,0.0,0.0,8.0,0.58,0.42
270,1,31.0,20.0,9.0,1.0,209.0,9.0,12.0,0.08,28.0,96.0,2.0,16.0,81.0,2.0,5.56338028169014,0.0,1.0,1.0,0.3,0.0,0.416666666666667,1.0,0.0,2.0,0.55,0.45
270,2,8.0,8.0,449.0,5.0,213.0,627.0,5.0,10.15,13.0,88.0,1.0,0.0,11.0,4.0,3.03125,2.0,1.0,751.0,0.2,0.0,0.333333333333333,0.0,2.0,3.0,0.51,0.49
270,3,10.0,2.0,0.0,13.0,179.0,1.0,0.0,0.41,6.0,83.0,1.0,0.0,9.0,2.0,5.83333333333333,1.0,1.0,1.0,2.0,0.0,0.666666666666667,0.0,0.0,2.0,0.52,0.48
272,0,0.0,2.0,0.0,0.0,33.0,1.0,8.0,22.4,0.0,88.0,3.0,2.0,12.0,2.0,4.0,0.0,1.0,1.0,1.91666666666667,0.0,1.0,0.0,3.0,1.0,0.55,0.45
281,0,5.0,14.0,3.0,3.0,124.0,155.0,20.0,0.21,3.0,88.0,1.0,0.0,24.0,2.0,6.13636363636364,0.0,4.0,1.0,0.1,0.0,0.666666666666667,0.0,0.0,2.0,0.52,0.48
281,1,5.0,1.0,4.0,2.0,128.0,3.0,24.0,11.14,2.0,63.0,1.0,2.0,9.0,2.0,4.43478260869565,1.0,35.0,1.0,1.28,0.0,0.0,0.0,5.0,6.0,0.57,0.43
283,0,0.0,1.0,0.0,1.0,50.0,1.0,5.0,0.3,0.0,85.0,2.0,0.0,9.0,2.0,42.2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.4
283,1,2.0,2.0,3.0,0.0,48.0,2.0,9.0,24.65,0.0,86.0,1.0,0.0,3.0,4.0,2.6875,0.0,20.0,0.0,0.705882352941177,0.0,0.0,0.0,3.0,0.0,0.56,0.44
283,2,2.0,2.0,3.0,0.0,50.0,2.0,11.0,16.2,0.0,86.0,1.0,0.0,4.0,4.0,3.19148936170213,0.0,0.0,1215.0,0.6,0.0,0.0,0.0,2.0,0.0,0.54,0.46
285,0,52.0,3.0,87.0,7.0,500.0,2.0,2.0,17.16,4.0,86.0,4.0,0.0,116.0,1.0,7.48387096774194,0.0,0.0,1.0,0.2,0.0,0.8,0.0,0.0,12.0,0.51,0.49
285,1,8.0,1.0,97.0,3.0,503.0,14.0,10.0,40.01,0.0,60.0,2.0,68.0,63.0,2.0,4.71774193548387,0.0,1.0,0.0,0.0,0.0,0.375,0.0,6.0,6.0,0.53,0.47
298,0,9.0,1.0,6.0,3.0,137.0,2.0,0.0,12.39,8.0,76.0,2.0,2.0,26.0,2.0,27.6,1.0,1.0,1.0,1.08823529411765,0.0,0.0,0.0,7.0,6.0,0.53,0.47
298,1,1.0,1.0,0.0,2.0,142.0,1.0,6.0,5.28,0.0,84.0,1.0,1.0,19.0,2.0,6.13953488372093,0.0,1.0,1.0,0.844444444444444,0.0,0.333333333333333,0.0,0.0,6.0,0.61,0.39
311,0,0.0,1.0,0.0,0.0,4103.0,3.0,23.0,5.59,1.0,100.0,2.0,0.0,14.0,2.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.55,0.45
311,1,12.0,1.0,0.0,1.0,84.0,1.0,14.0,7.95,0.0,92.0,1.0,0.0,18.0,2.0,3.09615384615385,0.0,1.0,1.0,0.962962962962963,0.0,0.1,0.0,2.0,2.0,0.59,0.41
311,2,12.0,2.0,0.0,1.0,63.0,1.0,13.0,11.42,1.0,31.0,4.0,0.0,17.0,2.0,4.69565217391304,0.0,1.0,1.0,1.56,0.0,0.5,0.0,2.0,2.0,0.53,0.47
313,0,11.0,13.0,2.0,1.0,136.0,2.0,32.0,0.2,2.0,8.0,2.0,2.0,16.0,2.0,7.29032258064516,0.0,1.0,1.0,0.3,0.0,0.5,0.0,0.0,1.0,0.52,0.48
313,1,5.0,1.0,4.0,2.0,128.0,3.0,24.0,36.54,2.0,80.0,1.0,2.0,34.0,2.0,4.43478260869565,1.0,1.0,1.0,1.28,0.0,0.428571428571429,0.0,2.0,6.0,0.51,0.49
313,2,3.0,1.0,11.0,1.0,114.0,6.0,32.0,22.79,0.0,100.0,1.0,7.0,23.0,1.0,33.7,0.0,0.0,0.0,1.18,0.0,0.5,0.0,1.0,10.0,0.51,0.49
320,0,12.0,1.0,0.0,1.0,84.0,1.0,14.0,1.15,0.0,92.0,1.0,0.0,18.0,2.0,3.09615384615385,8.0,1.0,1.0,0.962962962962963,0.0,1.0,0.0,2.0,2.0,0.51,0.49
323,0,2.0,14.0,1.0,2.0,85.0,2.0,33.0,0.29,2.0,84.0,3.0,0.0,1.0,2.0,5.93333333333333,0.0,1.0,1.0,1.38888888888889,0.0,1.0,0.0,2.0,1.0,0.52,0.48
323,1,7.0,2.0,0.0,1.0,83.0,1.0,29.0,27.72,1.0,80.0,2.0,0.0,14.0,1.0,7.5,2.0,1.0,1.0,1.76190476190476,0.0,0.0,0.0,3.0,1.0,0.53,0.47
323,2,3.0,2.0,1.0,2.0,101.0,4.0,26.0,8.45,0.0,59.0,2.0,0.0,24.0,2.0,3.95833333333333,0.0,1.0,0.0,1.27586206896552,0.0,0.2,0.0,6.0,1.0,0.51,0.49
323,3,0.0,1.0,0.0,0.0,75.0,3.0,23.0,2.42,1.0,100.0,3.0,0.0,14.0,2.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.55,0.45
328,0,5.0,1.0,1.0,2.0,59.0,1.0,4.0,34.25,2.0,57.0,2.0,0.0,31.0,2.0,3.70588235294118,0.0,0.0,1.0,1.31578947368421,0.0,0.6,0.0,2.0,2.0,0.53,0.47
328,1,2.0,2.0,9.0,2.0,56.0,1.0,0.0,12.37,0.0,33.0,1.0,0.0,9.0,1.0,5.7,0.0,1.0,1.0,2.16666666666667,0.0,0.0,0.0,1.0,1.0,0.73,0.27
335,0,2.0,2.0,0.0,1.0,40.0,1.0,6.0,16.42,2.0,86.0,4.0,0.0,21.0,2.0,4.91666666666667,0.0,1.0,1.0,2.0,0.0,0.1,0.0,3.0,2.0,0.52,0.48
336,0,3.0,2.0,1.0,2.0,101.0,4.0,26.0,15.91,0.0,100.0,2.0,0.0,24.0,2.0,3.95833333333333,0.0,1.0,0.0,1.27586206896552,0.0,1.0,0.0,1.0,1.0,0.51,0.49
336,1,3.0,1.0,11.0,1.0,114.0,6.0,32.0,37.79,0.0,100.0,1.0,7.0,23.0,1.0,9.95348837209302,0.0,0.0,0.0,1.18,0.0,0.5,0.0,2.0,0.0,0.53,0.47
336,2,1.0,1.0,0.0,1.0,95.0,2.0,24.0,40.64,0.0,100.0,2.0,12.0,14.0,2.0,4.83606557377049,0.0,0.0,0.0,0.461538461538462,0.0,0.5,0.0,5.0,2.0,0.51,0.49
336,3,0.0,1.0,3.0,3.0,119.0,2.0,20.0,30.99,1.0,90.0,1.0,1.0,23.0,2.0,9.09090909090909,2.0,1.0,1.0,0.2,0.0,0.0,0.0,3.0,2.0,0.57,0.43
337,0,5.0,1.0,1.0,2.0,59.0,1.0,4.0,29.18,2.0,87.0,2.0,0.0,31.0,2.0,3.70588235294118,0.0,0.0,1.0,2.3,0.0,0.6,0.0,2.0,2.0,0.51,0.49
337,1,6.0,2.0,3.0,2.0,48.0,2.0,1358.0,29.97,0.0,77.0,2.0,0.0,30.0,2.0,6.1,2.0,1.0,1.0,2.76923076923077,0.0,0.5,0.0,1.0,2.0,0.56,0.44
338,0,3.0,2.0,2.0,6.0,103.0,1.0,5.0,18.2,4.0,40.0,3.0,0.0,16.0,2.0,5.84615384615385,0.0,1.0,1.0,1.4,0.0,0.666666666666667,0.0,2.0,5.0,0.51,0.49
338,1,7.0,2.0,10.0,4.0,106.0,3.0,7.0,36.48,1.0,23.0,1.0,0.0,21.0,1.0,8.05882352941176,0.0,1.0,1.0,1.66666666666667,0.0,0.0,0.0,2.0,1.0,0.53,0.47
338,2,3.0,1.0,1.0,2.0,99.0,2.0,6.0,7.3,4.0,88.0,2.0,40.0,4.0,2.0,3.71428571428571,1.0,1.0,1.0,1.09677419354839,0.0,0.5,0.0,6.0,3.0,0.51,0.49
344,0,5.0,5.0,20.0,0.0,53.0,2.0,276.0,0.29,0.0,41.0,2.0,1.0,3.0,1.0,9.82692307692308,0.0,1.0,0.0,0.428571428571429,0.0,0.357142857142857,1.0,4.0,13.0,0.51,0.49
