test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
4,0,7.0,2.0,10.0,4.0,106.0,3.0,7.0,0.22,1.0,88.0,1.0,0.0,21.0,1.0,8.1,0.0,1.0,1.0,1.7,0.0,0.0,0.0,2.0,1.0,0.6146244125733286,0.38537558742667144
4,1,7.0,2.0,10.0,4.0,106.0,3.0,7.0,0.22,1.0,88.0,1.0,0.0,21.0,1.0,8.1,0.0,1.0,1.0,1.7,0.0,0.0,0.0,2.0,1.0,0.6146244125733286,0.38537558742667144
4,2,7.0,2.0,10.0,4.0,106.0,3.0,7.0,0.22,1.0,88.0,1.0,0.0,21.0,1.0,8.1,0.0,1.0,1.0,1.7,0.0,0.0,0.0,2.0,1.0,0.6146244125733286,0.38537558742667144
4,3,7.0,2.0,10.0,4.0,106.0,3.0,7.0,0.22,1.0,88.0,1.0,0.0,21.0,1.0,8.1,0.0,1.0,1.0,1.7,0.0,0.0,0.0,2.0,1.0,0.6146244125733286,0.38537558742667144
24,0,5.0,1.0,9.0,1.0,65.0,1.0,177.0,0.15,0.0,99.0,1.0,0.0,3.0,1.0,9.4,0.0,1.0,0.0,0.5,0.0,0.5,0.0,2.0,1.0,0.6359865234852752,0.3640134765147248
24,1,0.0,1.0,0.0,3.0,210.0,3.0,45.0,0.8,0.0,100.0,2.0,0.0,6.0,2.0,2.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.7469107092356759,0.25308929076432407
24,2,1.0,1.0,0.0,1.0,320.0,1.0,4.0,1.24,0.0,93.0,1.0,0.0,10.0,2.0,0.5,0.0,0.0,1.0,0.2,0.0,0.5,0.0,2.0,6.0,0.8725042981097275,0.12749570189027237
101,0,0.0,1.0,0.0,8.0,589.0,1.0,0.0,3.25,0.0,0.0,0.0,1.0,20.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.5,0.0,7.0,6.0,0.768664252455034,0.2313357475449661
101,1,1.0,1.0,0.0,1.0,320.0,1.0,4.0,1.24,0.0,93.0,1.0,0.0,10.0,2.0,0.5,0.0,0.0,1.0,0.2,0.0,0.5,0.0,2.0,6.0,0.8725042981097275,0.12749570189027237
101,2,0.0,1.0,0.0,8.0,589.0,1.0,0.0,3.25,0.0,0.0,0.0,1.0,20.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.5,0.0,7.0,6.0,0.768664252455034,0.2313357475449661
