,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1855,7,1,1,55,2,28,0.21,0,90,1,0,4,1,3.70833333333333,1,3,1,0.75,0,1.0,0,1,0
1945,10,1,3,18,0,4,0.21,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.4375,0,3,2
1944,0,2,1,67,0,7,0.38,0,86,1,0,3,1,4.05,1,1,1,0.608695652173913,0,0.05,0,2,0
209,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,
305,6,1,2,30,0,26,0.42,0,94,1,0,10,1,5.03846153846154,1,1,1,0.574074074074074,0,0.333333333333333,0,6,9
308,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,
1966,1,1,4,77,0,6,0.916,4,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.8,0,5,10
499,2,1,1,32,0,3,0.11,3,89,2,0,21,0,4.09090909090909,0,0,1,1.42857142857143,0,0.75,0,1,7
208,4,2,4,15,0,0,0.31,0,96,1,0,26,2,5.50943396226415,1,1,1,1.36206896551724,0,0.625,0,4,9
766,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,
831,4,1,0,140,0,30,0.25,0,96,1,3,19,2,9.04938271604938,0,1,0,0.550561797752809,0,0.05,0,7,7
1059,,,,,,,,,,,,,,,,,,,,,,,
1438,2,1,0,78,1,14,0.17,0,97,2,2,5,2,1.47058823529412,0,0,1,0.2625,0,0.05,0,3,1
1431,3,1,0,16,1,16,0.17,0,97,2,1,8,2,1.67469879518072,0,0,1,0.252525252525253,0,0.428571428571429,0,5,9
376,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,,,
677,,,,,,,,,,,,,,,,,,,,,,,
