,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
26,6,1,0,264,0,383,0.05,0,99,2,5,2,1,10.05,0,0,0,0.384615384615385,0,0.15000000000000002,4,6,16
1855,7,1,1,55,2,28,0.05,0,79,1,0,7,1,9.05,1,1,1,0.75,0,1.0,0,1,0
1940,3,1,1,55,1,22,0.05,0,79,2,0,18,1,9.05,0,1,1,0.807692307692308,0,0.55,0,2,1
1944,0,2,1,67,0,7,0.35000000000000003,0,79,1,0,2,1,9.05,1,1,1,0.608695652173913,0,0.55,0,2,0
1945,10,1,3,255,0,4,0.05,2,79,1,0,12,1,9.05,0,1,1,0.694915254237288,0,0.15000000000000002,0,3,2
308,7,2,1,83,0,213,0.05,0,99,1,0,7,1,9.1,0,1,0,0.714285714285714,0,0.15000000000000002,0,3,3
1958,4,1,3,116,1,3,0.05,3,79,2,1,18,3,9.05,0,1,1,1.32142857142857,0,0.15000000000000002,0,8,10
1966,1,1,4,77,0,6,0.05,4,79,3,0,12,2,9.05,0,1,1,1.35714285714286,0,0.55,0,5,10
499,2,1,1,32,0,3,0.05,3,79,2,0,18,3,9.05,0,0,1,1.42857142857143,0,0.55,0,1,7
565,10,2,4,175,0,0,0.05,1,93,2,1,18,2,3.31,0,1,1,1.75555555555556,0,0.15000000000000002,0,3,7
831,4,1,0,140,0,30,0.05,0,93,1,3,18,2,10.03,0,1,0,0.550561797752809,0,0.15000000000000002,0,7,7
834,1,4,3,47,0,11,0.05,2,61,1,0,7,2,9.05,0,2,1,2.0,0,0.9500000000000001,0,4,2
1059,2,1,5,60,2,8,0.05,6,60,2,0,12,1,9.05,2,1,1,1.2,0,0.55,0,3,3
1438,2,1,0,78,1,14,0.05,0,93,2,2,2,2,0.0,0,0,1,0.2625,0,0.9500000000000001,0,3,1
