,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
370,4,3,1,1,2,0,39,8,3,6,0.14,0,86,3,0,18,2,6.83333333333333,1,2,1,0.411764705882353,3,121.0,0.5,3,5,1
379,2,0,1,0,2,0,75,7.0,0,0,0.16,0,0,4,0,7.0,1,2.67241379310345,0,2,1,0.345679012345679,0,106,0.583333333333333,3,4,2
417,3,0,1,4,2,0,84,2,2,2,0.12,1,94,3,0,23,2,3.04166666666667,0,1,1,0.52,0,54,0.292857142857143,0,5,3
375,3,0,1,0,5,0,41,4.5,0,0,0.17,1,0,1,0,9,1,4.11111111111111,2,1,1,0.655172413793103,0,70,0.5,0,3,0
852,4,6,1,0,9,0,143,7.0,0,8,0.23,0,100,2,17,13.5,2,4.25757575757576,0,1,1,0.339805825242718,0,26.5,1.0,1,1,0
285,10.5,38,1,0,2,0,144,7.0,2,35,0.1,0,98,4,4,42,2,3.1497005988024,0,0,0,0.755434782608696,0,2,0.5,1,5,5
384,6.5,0,2,6,8,2,543,3,16,5,0.22,2,97,3,3,50,2,4.69411764705882,0,1,1,1.10919540229885,0,8.0,0.327272727272727,1,3,4
359,10.5,0,2,0,5,0,138,3,0,4,0.11,0,97,4,0,17,2,3.88461538461538,0,1,1,0.712962962962963,0,26.5,1.0,1,3,4
929,4.0,0,1,3,1,2,56.0,3,0,2,0.3,0,80,4,0,21,2,4.13698630136986,1,1,1,0.636363636363636,0,58,0.777777777777778,1,1,2
409,2.5,0,1,2,2,0,47,2,2,2,0.07,1,88,3,0,13.5,2,2.89189189189189,0,1,1,0.766233766233766,3,26.5,0.4,0,4,2
390,8,0,1,0,2,0,103,2,0,2,0.19,0,97,1,0,6.0,1,3.64102564102564,2,1,1,0.714285714285714,0,121.0,1.0,1,2,5
488,10.5,0,1,0,2,0,221,1,1,27,0.22,0,100,1,0,29,1,16.4110429447853,0,0,0,0.317365269461078,0,39,0.292857142857143,0,2,5
157,13,0,2,0,0,0,15.0,7.0,24,5,0.09,1,99,1,1,118,2,3.77003484320558,0,0,1,0.585648148148148,0,26.5,0.727272727272727,3,1,4
356,19,54,1,4,2,0,524,5,0,171.0,0.21,0,99,2,0,131,2,13.8922716627635,0,0,1,0.244239631336406,0,60.5,0.517857142857143,0,3,3
505,19,1,3,4,22,0,59,6,0,3,0.09,1,92,1,2,3,2,5.62857142857143,1,1,1,1.54761904761905,0,36,0.3205128205128205,0,3,0
415,11,1,1,1,8,1,56.0,2,1,20,0.21,1,100,3,0,37,2,3.10126582278481,0,0,0,0.585365853658537,0,14.5,0.526315789473684,2,4,4
360,11,1,2,4,3,1,160,1,0,1,0.26,0,88,5,0,17,1,4.31884057971014,0,1,1,0.816901408450704,0,75.0,0.75,0,5,4
237,3,1,1,0,6,0,51,5,1,3,0.1,1,95,5,0,19,2,4.0,1,1,1,0.918918918918919,0,124,0.333333333333333,1,4,4
369,5,0,1,0,7.0,0,36,7.0,0,16,0.03,0,16,1,0,12.5,2,4.47457627118644,1,2,1,0.644970414201183,0,14.5,0.648648648648649,3,5,1
385,3,0,1,4,1,0,35,7.0,4,2,0.06,0,100,4,2,13.5,2,2.83673469387755,0,1,1,0.784615384615385,0,46.0,0.407407407407407,3,5,3
397,9,1,1,4,2,2,15.0,5,4,0,0.45,0,100,3,5,13.5,2,7.42105263157895,0,1,1,0.435643564356436,0,34,0.4,0,5,0
538,4.0,14,3,2,1,3,199,2,0,0,0.18,2,59.5,1,0,15,1,4.97222222222222,0,1,1,1.25641025641026,0,36,1.0,0,3,2
292,6,0,2,4,4.0,0,88,7.0,0,1,0.08,0,99,1,21,34,2,3.3030303030303,0,1,1,0.610526315789474,0,46.0,0.952380952380952,1,1,3
911,2,0,1,44.0,2,0,10,3,0,2,0.04,1,91,3,3,24,2,4.06451612903226,0,2,1,0.714285714285714,0,121.0,1.0,0,2,0
386,6,0,1,1,7.0,1,47.0,9,0,1,0.16,1,100,4,5,62,2,3.70940170940171,0,1,1,0.645669291338583,0,14.5,0.409090909090909,3,4,1
376,8.5,0,1,5,3,0,15.0,3,0,2,0.21,0,92,5,0,24,2,6.24409448818898,0,1,1,0.603053435114504,0,92,0.4,0,4,1
408,2.5,19,2,0,7.0,0,380,7,3,15,0.07,0,100,3,0,50,2,6.22693726937269,0,1,0,0.84,0,121.0,0.392857142857143,0,2,3
928,7,4,1,4,5,3,582,4,2,2,0.84,0,98,1,1,31,1,15.928,0,0,1,0.453846153846154,0,100,0.35,0,3,4
289,2.5,0,1,1,7,0,63,1,2,3,0.12,0,23.0,5,0,10.5,1,4.890625,0,1,1,0.681818181818182,0,121.0,0.894736842105263,0,4,3
467,0,0,2,6,1,1,15.0,11,26,19,0.23,1,91,2,5,7.0,2,4.43076923076923,0,0,0,1.18181818181818,0,121.0,0.40454545454545454,1,3,3
377,2,0,1,6,6,2,165,2,1,1,0.35,0,93,4,0,8.5,2,6.16981132075472,0,1,1,0.625,0,37.5,0.571428571428571,0,6,4
421,9,3,1,0,1,0,55,7.0,25,20,0.05,0,91,4,7,12.5,2,2.18791946308725,0,0,1,0.448863636363636,0,46.0,0.647058823529412,0,5,3
398,8,1,1,1,7,7,869.0,4,6,0,1.29,0,100,3,5.5,27,2,5.27722772277228,0,1,1,0.433962264150943,0,60.5,0.5,0,4,3
931,3,1,2,0,5,0,29,2,0.0,3,0.11,0,17.0,3,0,6.0,2,3.58620689655172,1,1,1,0.71875,0,26.5,0.666666666666667,0,2,2
358,4.5,0,1,5,3,1,454,9,0,6,0.17,0,85,3,1,33,2,5.91034482758621,0,1,1,0.85,0,27.0,0.523076923076923,0,4,11
304,6.0,0,1,2,4.0,0,49,2,0,1,0.04,0,100,2,0,65,1,5.43457943925234,0,1,1,0.497695852534562,0,37.5,0.6875,3,2,0
363,6,0,1,5,9,1,15.0,8,6,14,0.19,0,96,4,3,7.0,2,6.52252252252252,0,1,1,0.725,0,121.0,0.714285714285714,0,3,2
535,7.0,2,2,6,1,1,119,6.0,0,42,0.17,0,100,2,5,16,2,3.71212121212121,0,0,0,0.962962962962963,0,47,0.5,0,3,3
405,42,17,2,1,1.0,0,155,5,0,7,0.09,0,100,3,0,33,3,6.19047619047619,0,1,0,1.0530303030303,0,14.5,0.411764705882353,3,2,0
373,17,1,2,3,1.0,2,246,5,3,2,0.2,2,96,4,1,34,2,4.0,0,1,1,1.15853658536585,0,37.5,0.333333333333333,1,4,1
380,33,6,1,1,3,0,274,8.0,1,26,0.19,0,97,4,26,37,2,3.47619047619048,0,0,1,0.437275985663082,0,8.0,0.394736842105263,0,4,3
368,2.5,0,1,1,34,1,140,2,4,5,0.33,1,94,3,0,4.0,2,3.28571428571429,0,2,1,0.653846153846154,0,4.5,0.0,0,4,3
531,33,0,2,3,38,2,721,2.5,0,2,0.52,1,96,1,18,11,2,4.25974025974026,1,0,1,0.704081632653061,0,4.5,0.5,1,5,4
367,11,0,1,2,9,0,42,14,0,1,0.13,0,85,3,0,9,2,2.0,0,1,0,0.385964912280702,0,85,0.8,0,3,3
