,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
169,5,0,1,18,7,0,71,1,0,17,0.825,1,96,1,0,20,3,6.58536585365854,1,1,1,0.465116279069767,0,198,1.0,0,1,2
233,1,0,1,3,29,0,50,8,1,6,0.13,0,93,2,0,3,2,3.325,1,1,1,0.857142857142857,0,142,1.0,0,3,4
237,3,1,1,11,26,0,51,5,1,3,0.1,1,95,5,0,3,2,4.0,1,1,1,0.918918918918919,0,124,0.363636363636364,0,4,6
242,3,18,1,6,9,0,39,7,3,9,2.22,0,100,5,2,23,3,2.6271186440678,0,0,1,0.402985074626866,0,156,0.666666666666667,0,3,4
292,6,0,2,59,52,0,88,57,0,1,0.08,0,99,1,21,34,2,3.3030303030303,0,1,1,0.610526315789474,0,9,0.952380952380952,1,1,8
357,6,0,2,0,41,0,45,2,0,6,0.09,1,66,1,0,22,1,4.8695652173913,1,2,1,1.06122448979592,0,811,0.05,0,4,5
359,33,0,2,27,22,0,138,3,0,4,0.11,0,97,4,0,3,2,3.88461538461538,0,1,1,0.712962962962963,0,165,1.0,0,3,4
929,12,9,1,3,36,2,206,3,0,2,0.3,0,80,4,0,21,2,4.13698630136986,1,1,1,0.636363636363636,0,58,0.05,0,1,2
368,12,0,1,1,34,1,140,2,4,5,0.33,1,94,3,0,3,2,3.28571428571429,0,2,1,0.653846153846154,0,465,0.25,0,4,8
369,5,0,1,0,67,0,36,50,0,16,2.37,0,16,1,0,22,2,4.47457627118644,1,2,1,0.644970414201183,0,314,0.648648648648649,0,5,1
370,6,3,1,1,25,0,39,8,3,6,0.14,0,86,3,0,3,2,6.83333333333333,1,2,1,0.411764705882353,0,586,0.5,0,5,1
375,3,0,1,0,27,0,41,1,0,0,1.97,1,0,1,0,9,1,4.11111111111111,2,3,1,0.655172413793103,0,70,0.5,0,3,6
377,2,0,1,13,6,2,165,2,1,1,0.35,0,93,4,0,20,2,6.16981132075472,0,1,1,0.625,0,22,0.571428571428571,0,6,6
384,23,0,2,6,38,2,543,3,16,5,0.22,2,97,3,3,50,2,4.69411764705882,0,1,1,1.10919540229885,0,9,0.327272727272727,2,3,11
385,3,0,1,4,31,0,35,15,4,2,0.06,0,100,4,2,36,2,2.83673469387755,0,1,1,0.784615384615385,0,19,0.407407407407407,0,5,3
390,8,0,1,7,38,0,103,2,0,2,2.41,0,97,1,0,12,1,3.64102564102564,2,1,1,0.714285714285714,0,530,1.0,0,2,5
398,8,1,1,1,7,7,869,4,6,0,1.29,0,100,3,59,1,2,5.27722772277228,0,1,1,0.433962264150943,0,129,0.5,0,4,10
409,14,0,1,2,2,0,47,2,2,7,2.55,1,88,3,0,25,2,2.89189189189189,0,1,1,0.766233766233766,0,142,0.4,0,4,2
417,3,0,1,13,1,0,84,2,2,2,0.12,1,94,3,0,23,2,3.04166666666667,0,1,1,0.52,0,54,0.571428571428571,0,5,9
488,25,0,1,3,12,0,221,3,1,27,0.22,0,100,1,0,3,1,16.4110429447853,0,0,0,0.317365269461078,0,39,0.8,0,2,5
535,14,2,2,6,20,1,119,14,0,42,1.98,0,100,2,5,16,2,3.71212121212121,0,0,0,0.962962962962963,0,47,0.5,0,3,5
