test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
852,0,7.0,0.0,3.0,5.0,5.0,3.0,157.0,1.0,0.0,7.0,0.41,2.0,86.0,1.0,1.0,23.0,1.0,46.6,2.0,1.0,1.0,1.61904761904762,0.0,167.0,0.409090909090909,2.0,4.0,4.0,0.6847513174654656,0.3152486825345345
852,1,5.0,0.0,1.0,1.0,20.0,2.0,137.0,2.0,3.0,5.0,0.39,1.0,92.0,2.0,0.0,22.0,2.0,3.21212121212121,0.0,2.0,136.0,0.805555555555556,0.0,180.0,0.421052631578947,0.0,3.0,5.0,0.6505778437033218,0.34942215629667794
852,2,1.0,0.0,2.0,6.0,7.0,1.0,155.0,2.0,0.0,1.0,0.33,0.0,88.0,8.0,0.0,18.0,2.0,5.52631578947368,0.0,19.0,1.0,0.8,0.0,126.0,0.470588235294118,0.0,4.0,5.0,0.652995776669222,0.34700422333077796
852,3,0.0,0.0,1.0,1.0,5.0,2.0,140.0,2.0,1.0,1.0,0.36,0.0,62.0,3.0,0.0,18.0,5.0,5.72727272727273,14.0,1.0,1.0,0.638297872340426,0.0,164.0,0.285714285714286,0.0,4.0,6.0,0.6723642704373705,0.3276357295626297
233,0,0.0,0.0,1.0,3.0,26.0,0.0,33.0,27.0,0.0,2.0,0.07,0.0,79.0,4.0,0.0,25.0,2.0,3.32258064516129,1.0,1.0,1.0,0.395604395604396,0.0,10596.0,0.636363636363636,0.0,2.0,2.0,0.6509439000597506,0.3490560999402495
237,0,0.0,0.0,1.0,3.0,26.0,0.0,33.0,27.0,0.0,1.0,0.07,0.0,79.0,4.0,0.0,93.0,2.0,3.32258064516129,61.0,1.0,1.0,0.395604395604396,0.0,131.0,0.636363636363636,0.0,2.0,2.0,0.6505780659514542,0.34942193404854593
289,0,23.0,5.0,1.0,20.0,12.0,0.0,253.0,42.0,0.0,24.0,0.22,0.0,97.0,2.0,17.0,33.0,2.0,3.37362637362637,0.0,0.0,1.0,0.479820627802691,0.0,9894.0,0.368421052631579,0.0,3.0,8.0,0.6506825769742374,0.34931742302576274
357,0,2.0,0.0,1.0,2.0,65.0,0.0,37.0,6.0,0.0,1.0,0.07,0.0,97.0,2.0,0.0,29.0,2.0,30.1,0.0,1.0,1.0,0.238095238095238,0.0,643.0,0.6,0.0,2.0,3.0,0.5412876857039642,0.4587123142960357
357,1,13.0,39.0,1.0,21.0,15.0,0.0,123.0,13.0,2.0,28.0,0.09,10.0,97.0,3.0,4.0,35.0,2.0,2.96753246753247,0.0,0.0,1.0,0.68452380952381,0.0,628.0,0.379310344827586,0.0,5.0,5.0,0.6485849086094437,0.35141509139055643
359,0,5.0,0.0,1.0,1.0,20.0,39.0,137.0,2.0,3.0,5.0,0.39,1.0,92.0,2.0,0.0,22.0,2.0,3.21212121212121,0.0,2.0,1.0,0.805555555555556,0.0,180.0,0.7,0.0,3.0,5.0,0.6508454211791176,0.3491545788208823
