test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
50,0,9.0,13.0,1.0,14.0,6.0,0.0,15.0,2.0,12.0,17.0,0.06,0.0,94.0,1.0,0.0,24.0,2.0,4.07589285714286,0.0,1.0,1.0,0.118421052631579,0.0,1181.0,0.833333333333333,0.0,1.0,0.0,0.64328647,0.35671356
157,0,13.0,0.0,2.0,0.0,0.0,0.0,254.0,144.0,2.0,5.0,0.09,1.0,99.0,1.0,1.0,118.0,2.0,27.3,0.0,0.0,1.0,0.585648148148148,0.0,139.0,0.727272727272727,0.0,1.0,4.0,0.5971209,0.4028791
764,0,6.0,0.0,1.0,0.0,0.0,0.0,157.0,13.0,13.0,15.0,5.4,1.0,93.0,1.0,2.0,63.0,2.0,5.61835748792271,0.0,0.0,1.0,1.5,0.0,157.0,0.8125,0.0,1.0,1.0,0.91299945,0.08700054
169,0,5.0,0.0,1.0,18.0,7.0,0.0,71.0,1.0,0.0,17.0,0.16,1.0,96.0,1.0,0.0,20.0,3.0,0.3,1.0,1.0,1.0,0.0,0.0,198.0,1.0,0.0,1.0,2.0,0.64869046,0.3513095
852,0,4.0,6.0,1.0,34.0,9.0,0.0,143.0,5.0,0.0,8.0,0.23,0.0,100.0,2.0,17.0,63.0,2.0,29.4,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.548777,0.45122305
235,0,26.0,1.0,1.0,1.0,3.0,28.0,40.0,2.0,6.0,1.0,0.07,0.0,96.0,4.0,3.0,17.0,2.0,4.52830188679245,0.0,1.0,1.0,0.0,0.0,48.0,0.666666666666667,0.0,3.0,4.0,0.83722925,0.16277076
237,0,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,4.0,14.2,1.0,1.0,1.0,0.918918918918919,0.0,124.0,0.363636363636364,0.0,4.0,6.0,0.6683191,0.33168086
242,0,3.0,18.0,1.0,6.0,9.0,0.0,39.0,7.0,3.0,9.0,0.09,0.0,100.0,5.0,2.0,10.0,3.0,2.6271186440678,0.0,0.0,1.0,0.402985074626866,0.0,6328.0,0.666666666666667,0.0,3.0,4.0,0.71670544,0.2832946
285,0,29.0,38.0,1.0,12.0,19.0,0.0,2.0,16.0,2.0,35.0,10.2,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.5,0.0,5.0,5.0,0.58760726,0.41239277
338,0,0.0,13.0,1.0,0.0,9.0,0.0,40.0,10.0,1.0,4.0,0.11,0.0,54.0,4.0,1.0,11.0,2.0,2.925,0.0,2.0,1.0,2.0,0.0,187.0,0.636363636363636,0.0,5.0,5.0,0.86875165,0.13124838
