,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
32,0,0,1,0,18,0,4,1,0,0,0.08,0,0,1,0,0,1,0.0,0,1.24,0,1,0.0,0,0.664705882352941,0,3,2
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,9,1,1,9,15,0,45,1,7,3,0.11,2,94,5,1,14,2,4.25641025641026,1,3.87179487179487,1,1,0.666666666666667,0,0.933333333333333,0,2,8
633,21,0,2,9,28,0,33,1,0,0,0.09,0,95,1,4,20,2,4.57894736842105,1,3.63157894736842,1,1,0.941176470588235,0,1.0,0,1,0
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,3,0,1,0,2,0,91,1,2,3,0.14,0,80,5,2,48,2,2.98648648648649,0,4.67567567567568,2,1,0.346534653465347,0,0.539617486338798,0,3,12
780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
