test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
820,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,1.0,1.0,0.8125,0.12500000000000006,0.0,2.0,1.0,0.7341518883308338,0.2658481116691662,1,541666666666.66693
830,0,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,10.0,0.56,1.0,82.0,4.0,0.0,6.0,1.0,5.0,0.0,1.0,1.0,1.13333333333333,0.36665863990783704,0.0,2.0,4.0,0.5798745324043937,0.42012546759560637,1,33341360092.162964
831,0,6.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,60.0,0.63,1.0,87.0,3.0,3.0,14.0,2.0,2.78787878787879,0.0,0.0,1.0,0.519480519480519,0.125,0.0,2.0,3.0,0.5490669258579579,0.45093307414204215,1,125000000000.0
80,0,2.0,1.0,1.0,6.0,0.0,3.0,3.0,2.0,24.0,9.0,0.36,1.0,81.0,1.0,7.0,11.0,1.0,8.78571428571429,2.0,1.0,1.0,1.11111111111111,0.3666097323099774,0.0,3.0,0.0,0.5068954156390482,0.49310458436095184,1,300056934356.6896
875,0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,0.0,13.0,8.0,0.22,0.0,81.0,2.0,0.0,4.0,2.0,4.72727272727273,1.0,1.0,1.0,1.57142857142857,0.53564453125,0.0,1.0,0.0,0.5275192252766202,0.4724807747233798,1,464355468750.0
901,0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,5.0,0.27,3.0,100.0,2.0,4.0,26.0,1.0,11.2857142857143,1.0,4.0,1.0,0.888888888888889,0.36660975217819214,0.0,1.0,1.0,0.5363446908752665,0.46365530912473346,1,633390247821.8079
908,0,8.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.41,0.0,82.0,1.0,0.0,7.0,1.0,6.62962962962963,1.0,1.0,1.0,1.26666666666667,0.3666097323099774,0.0,1.0,1.0,0.6283057700039681,0.37169422999603186,1,300056934356.6896
914,0,1.0,0.0,1.0,6.0,0.0,1.0,3.0,25.0,23.0,7.0,0.25,0.0,93.0,4.0,7.0,18.0,1.0,5.36363636363636,1.0,1.0,1.0,0.405405405405405,0.36664023250341415,0.0,1.0,2.0,0.5444872179964493,0.4555127820035507,1,133359767496.58582
915,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.18,1.0,0.0,3.0,0.0,5.0,1.0,3.15384615384615,3.0,9.0,1.0,0.0,0.29150390625,0.0,1.0,0.0,0.6705980075393874,0.32940199246061264,1,708496093750.0
916,0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,22.0,0.18,3.0,0.0,3.0,0.0,7.0,1.0,2.86363636363636,0.0,5.0,1.0,0.0,0.125,0.0,1.0,1.0,0.8811919892643355,0.11880801073566451,1,375000000000.0
919,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.15,0.0,0.0,3.0,0.0,7.0,1.0,2.5,1.0,3.0,1.0,0.214285714285714,0.29150390625,0.0,1.0,0.0,0.70670305883171,0.29329694116829,1,708496093750.0
920,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.2,0.0,0.0,3.0,0.0,17.0,1.0,3.55555555555556,2.0,4.0,1.0,0.0,0.12500000000000006,0.0,2.0,0.0,0.9135135141183622,0.08648648588163774,1,541666666666.66693
194,0,0.0,1.0,1.0,0.0,8.0,5.0,3.0,0.0,4.0,10.0,0.51,0.0,12.0,3.0,0.0,9.0,2.0,4.27272727272727,2.0,2.0,1.0,0.933333333333333,0.2916666666666668,0.0,4.0,3.0,0.5178652567145319,0.4821347432854681,1,375000000000.0002
925,0,7.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,7.0,12.0,0.34,1.0,83.0,2.0,0.0,29.0,1.0,3.26315789473684,1.0,1.0,1.0,1.36363636363636,0.36664460386548703,0.0,1.0,3.0,0.5034448007257459,0.4965551992742541,1,347641110420.2269
196,0,7.0,5.0,1.0,3.0,2.0,1.0,34.0,4.0,36.0,88.0,0.13,3.0,85.0,4.0,27.0,49.0,2.0,3.58653846153846,0.0,0.0,1.0,0.352517985611511,0.12492675781249997,0.0,2.0,6.0,0.5800591074732662,0.4199408925267338,1,575073242187.5
927,0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,12.0,0.26,1.0,86.0,1.0,0.0,19.0,2.0,4.8,2.0,0.0,1.0,0.863636363636364,0.3666422963142395,0.0,2.0,1.0,0.5156024042432318,0.4843975957567682,1,133357703685.7605
929,0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,19.0,24.0,0.36,3.0,100.0,2.0,0.0,22.0,2.0,2.77777777777778,0.0,0.0,1.0,0.59375,0.125,0.0,2.0,4.0,0.8406691724933117,0.15933082750668823,1,375000000000.0
197,0,6.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,9.0,10.0,0.21,1.0,80.0,1.0,0.0,23.0,2.0,4.75,2.0,1.0,1.0,2.0,0.36664023250341415,0.0,3.0,2.0,0.6244038049559062,0.37559619504409375,1,133359767496.58582
