test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
10,0,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.61,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,4.875,1.0,1.0,2.1,0.0,0.3,0.0,4.0,3.0,0.5727545376492447,0.4272454623507554,1
14,0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,13.0,3.0,0.27,0.0,82.0,0.0,2.0,8.0,1.0,6.06666666666667,1.0,5.86666666666667,0.0,1.0,0.722222222222222,0.0,0.428571428571429,0.0,2.0,3.0,0.6020736680701934,0.39792633192980664,2
1360,0,5.0,2.0,2.0,7.0,3.0,4.0,4.0,0.0,18.0,11.0,0.59,0.0,69.0,0.0,0.0,8.0,1.0,4.44444444444444,1.0,0.0,1.0,1.0,1.17391304347826,490.0,1.0,0.0,3.0,6.0,0.6332637495475069,0.36673625045249325,2
65,0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,4.0,6.0,0.81,0.0,66.0,2.0,0.0,10.0,1.0,3.5,2.0,5.0,2.0,1.0,0.545454545454545,0.0,0.384615384615385,0.0,4.0,4.0,0.7591488448269929,0.24085115517300706,1
72,0,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,8.0,0.55,1.0,78.0,4.0,0.0,5.0,1.0,5.81818181818182,2.0,6.36363636363636,1.0,1.0,1.30769230769231,0.0,0.5,0.0,3.0,3.0,0.6547088485297132,0.3452911514702866,1
73,0,7.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,58.0,0.6,1.0,86.0,3.0,3.0,14.0,2.0,2.84615384615385,0.0,3.61538461538462,0.0,1.0,0.539473684210526,0.0,0.384615384615385,0.0,1.0,6.0,0.6519755838610922,0.34802441613890783,1
110,0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,12.0,0.21,0.0,68.0,4.0,0.0,24.0,1.0,3.13333333333333,1.0,4.46666666666667,2.0,1.0,0.263157894736842,0.0,0.333333333333333,0.0,3.0,2.0,0.5919417783182378,0.40805822168176237,1
114,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,13.0,0.3,1.0,75.0,4.0,0.0,30.0,1.0,2.53333333333333,0.0,4.53333333333333,1.0,1.0,0.368421052631579,0.0,0.363636363636364,0.0,3.0,2.0,0.579976114481339,0.42002388551866104,1
115,0,1.0,0.0,1.0,22.0,1.0,0.0,2.0,2.0,6.0,12.0,0.07,0.0,87.0,0.0,0.0,12.0,1.0,4.53333333333333,1.0,3.66666666666667,1.0,1.0,0.277777777777778,0.0,0.428571428571429,0.0,4.0,2.0,0.5458753891491188,0.4541246108508811,2
116,0,11.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,8.0,0.2,4.0,33.0,4.0,0.0,24.0,1.0,4.05263157894737,0.0,6.78947368421053,1.0,1.0,0.227272727272727,0.0,0.3,0.0,3.0,2.0,0.5332159206550746,0.46678407934492544,2
297,0,1.0,0.0,1.0,6.0,0.0,1.0,21.0,0.0,23.0,7.0,0.24,0.0,93.0,4.0,7.0,19.0,1.0,5.39393939393939,1.0,3.24242424242424,1.0,1.0,0.405405405405405,372.0,0.375,0.0,1.0,3.0,0.5118769460998874,0.48812305390011257,2
343,0,4.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,6.0,0.15,8.0,25.0,2.0,0.0,0.0,2.0,4.41666666666667,0.0,9.0,2.0,1.0,0.941176470588235,37.0,0.454545454545455,0.0,3.0,3.0,0.5936410040606896,0.4063589959393106,1
350,0,16.0,0.0,1.0,18.0,12.0,2.0,1.0,5.0,27.0,0.0,0.49,0.0,95.0,2.0,0.0,16.0,2.0,3.19191919191919,0.0,3.23232323232323,0.0,1.0,0.756521739130435,145.0,0.375,0.0,3.0,0.0,0.5676863791933667,0.4323136208066332,3
354,0,10.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,5.0,7.0,0.51,1.0,88.0,4.0,0.0,23.0,2.0,2.89473684210526,0.0,5.52631578947368,0.0,1.0,1.73913043478261,39.0,0.555555555555556,0.0,3.0,0.0,0.618095448206522,0.38190455179347804,1
365,0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,7.0,7.0,0.35,0.0,62.0,2.0,0.0,13.0,1.0,4.3125,1.0,5.0,1.0,1.0,1.35,0.0,0.428571428571429,0.0,1.0,5.0,0.5139827176516445,0.48601728234835534,1
381,0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,6.0,33.0,0.16,0.0,95.0,4.0,0.0,19.0,1.0,2.13888888888889,0.0,3.5,1.0,1.0,0.536585365853659,0.0,0.666666666666667,0.0,2.0,3.0,0.6014867174575547,0.39851328254244534,1
533,0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,9.0,10.0,0.36,1.0,100.0,0.0,0.0,6.0,1.0,2.5,0.0,5.6,1.0,1.0,0.625,339.0,0.4,0.0,1.0,3.0,0.5376569052855412,0.4623430947144588,1
534,0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,9.0,10.0,0.38,1.0,100.0,0.0,0.0,5.0,1.0,2.5,0.0,5.4,1.0,1.0,0.625,333.0,0.4,0.0,1.0,3.0,0.5600254777982511,0.43997452220174904,1
537,0,7.0,0.0,1.0,1.0,1.0,2.0,11.0,3.0,9.0,52.0,0.22,1.0,97.0,4.0,0.0,44.0,1.0,2.74193548387097,0.0,4.5,0.0,1.0,0.457142857142857,0.0,0.384615384615385,0.0,2.0,2.0,0.5217305719272596,0.4782694280727404,2
538,0,12.0,0.0,1.0,1.0,4.0,2.0,5.0,5.0,6.0,48.0,0.23,1.0,97.0,0.0,0.0,38.0,1.0,2.76666666666667,0.0,1.0,0.0,1.0,0.454545454545455,372.615384615385,0.363636363636364,0.0,1.0,3.0,0.5402094397920641,0.4597905602079359,5
673,0,28.0,0.0,1.0,33.0,0.0,3.0,1.0,0.0,9.0,7.0,0.47,0.0,92.0,4.0,0.0,8.0,1.0,6.0,1.0,7.33333333333333,2.0,1.0,0.866666666666667,599.2375000000009,0.4,0.0,4.0,2.0,0.5362828613235469,0.4637171386764532,2
731,0,1.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,9.0,0.2,3.0,50.0,0.0,0.0,16.0,2.0,2.7,0.0,4.6,1.0,1.0,1.35714285714286,31.0,0.333333333333333,0.0,3.0,8.0,0.6365218001388157,0.36347819986118435,1
759,0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,11.0,0.78,0.0,89.0,4.0,0.0,8.0,1.0,5.75,1.0,3.91666666666667,1.0,1.0,0.928571428571429,168.0,0.466666666666667,0.0,4.0,3.0,0.6267145268228728,0.3732854731771274,1
939,0,14.0,0.0,1.0,10.0,5.0,4.0,21.0,0.0,0.0,44.0,0.38,0.0,100.0,2.0,6.0,36.0,2.0,7.13924050632911,0.0,4.0253164556962,0.0,0.0,1.04761904761905,218.0,0.5,0.0,5.0,8.0,0.5583082288537449,0.44169177114625524,3
1145,0,0.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,22.0,0.2,0.0,0.0,3.0,0.0,7.0,1.0,11.4545454545455,0.0,2.04545454545455,1.0,1.0,0.25,240.0,1.0,0.0,1.0,0.0,0.7601468327654072,0.23985316723459293,1
1161,0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,8.0,8.0,0.13,0.0,56.0,4.0,0.0,16.0,2.0,3.36363636363636,1.0,0.0,2.0,1.0,1.0,301.0,0.571428571428571,0.0,2.0,1.0,0.7379927905581298,0.2620072094418701,1
1184,0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,9.0,13.0,0.17,3.0,60.0,3.0,0.0,27.0,2.0,4.14285714285714,0.0,0.0,1.0,1.0,0.5,30.0,0.6,0.0,6.0,2.0,0.6038868983175465,0.3961131016824535,1
1212,0,4.0,10.0,1.0,0.0,0.0,2.0,7.0,0.0,19.0,10.0,0.18,2.0,50.0,4.0,0.0,22.0,8.0,4.0,0.0,6.79166666666667,1.0,1.0,1.125,22.0,0.444444444444444,0.0,1.0,2.0,0.541255483799096,0.4587445162009038,1
1231,0,7.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,6.0,48.0,0.16,1.0,97.0,1.0,0.0,43.0,2.0,2.95,0.0,0.0,1.0,1.0,0.424242424242424,303.0,0.5,0.0,7.0,7.0,0.519873854533018,0.4801261454669819,3
1296,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,3.0,19.0,0.27,3.0,60.0,0.0,0.0,26.0,2.0,3.78947368421053,0.0,8.26315789473684,1.0,1.0,0.0,16.0,0.6,0.0,7.0,4.0,0.6287835706155346,0.3712164293844655,1
1297,0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,14.0,9.0,0.17,3.0,25.0,0.0,0.0,28.0,2.0,3.44444444444444,0.0,0.0,1.0,1.0,0.75,296.0,0.545454545454545,0.0,5.0,3.0,0.6299921893721757,0.3700078106278242,2
