test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1
1170,0,7.0,0.0,1.0,7.0,0.0,2.0,331.0,10.0,0.0,35.0,58.0,0.61,1.0,86.0,3.0,3.0,15.0,2.0,2.8,0.0,3.6,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,6.0,0.8681481593077127,0.13185184069228728
1170,1,22.0,1.0,4.0,5.0,1.0,3.0,696.0,1.0,0.0,12.0,8.0,1.36,1.0,86.0,5.0,0.0,1.0,1.0,5.4,0.0,4.8,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,2.0,0.9956790349518453,0.004320965048154683
1170,2,14.0,0.0,1.0,12.0,5.0,4.0,480.0,4.0,22.0,40.0,46.0,0.39,0.0,100.0,2.0,11.0,37.0,2.0,9.4,0.0,4.0,0.0,0.0,1.0,110.0,0.5,0.0,1.0,2.0,2.0,0.5097713737260883,0.4902286262739117
1170,3,41.0,0.0,9.0,8.0,0.0,15.0,657.0,1.0,0.0,26.0,1.0,0.27,0.0,96.0,2.0,0.0,1.0,1.0,3.7,1.0,4.6,2.0,1.0,2.3,0.0,0.0,0.0,1.0,0.0,0.0,0.9997541307164391,0.00024586928356087716
1170,4,15.0,3.0,1.0,6.0,3.0,4.0,445.0,7.0,1.0,31.0,73.0,0.43,0.0,95.0,1.0,0.0,70.0,2.0,7.4,0.0,4.5,1.0,1.0,0.9,111.0,0.3,0.0,5.0,6.0,8.0,0.5815784901125477,0.4184215098874523
1170,5,11.0,0.0,1.0,0.0,2.0,3.0,242.0,1.0,0.0,0.0,40.0,0.19,3.0,0.0,3.0,0.0,42.0,1.0,3.5,0.0,11.8,1.0,1.0,0.9,0.0,0.0,0.0,1.0,0.0,3.0,0.9893279832223,0.010672016777700001
1170,6,2.0,1.0,1.0,2.0,3.0,4.0,162.0,2.0,0.0,3.0,23.0,1.21,0.0,66.0,2.0,1.0,4.0,2.0,10.7,0.0,2.3,0.0,1.0,0.4,0.0,0.0,0.0,4.0,0.0,1.0,0.7647919809255617,0.23520801907443836
1170,7,5.0,2.0,1.0,11.0,1.0,5.0,500.0,3.0,1.0,15.0,40.0,1.14,0.0,94.0,2.0,0.0,26.0,1.0,3.2,1.0,2.9,1.0,1.0,0.6,14.0,0.5,0.0,2.0,3.0,5.0,0.8989862383250815,0.10101376167491846
1170,8,10.0,8.0,1.0,5.0,2.0,3.0,354.0,13.0,14.0,31.0,53.0,0.43,0.0,93.0,3.0,2.0,32.0,2.0,5.3,0.0,4.5,1.0,1.0,0.7,26.0,0.5,0.0,5.0,4.0,6.0,0.6324427464415059,0.36755725355849406
1170,9,17.0,0.0,17.0,4.0,0.0,27.0,503.0,1.0,0.0,15.0,1.0,0.31,0.0,88.0,2.0,0.0,1.0,1.0,5.3,3.0,8.1,2.0,1.0,3.3,1.0,1.0,0.0,1.0,1.0,1.0,0.9998388464109218,0.00016115358907823574
320,0,1.0,1.0,1.0,0.0,0.0,4.0,104.0,1.0,2.0,0.0,4.0,0.9,1.0,0.0,3.0,0.0,12.0,1.0,2.4,0.0,6.4,1.0,1.0,1.2,7.0,0.5,0.0,2.0,2.0,3.0,0.985415240107158,0.014584759892842018
320,1,1.0,0.0,1.0,0.0,8.0,4.0,101.0,1.0,0.0,0.0,14.0,1.42,0.0,0.0,3.0,0.0,1.0,1.0,6.5,1.0,2.5,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.9996774446004946,0.0003225553995053947
320,2,3.0,0.0,1.0,0.0,1.0,5.0,87.0,1.0,0.0,0.0,10.0,0.42,1.0,0.0,4.0,0.0,8.0,1.0,1.3,0.0,5.5,1.0,1.0,0.9,1.0,1.0,0.0,3.0,1.0,0.0,0.985044926629018,0.014955073370982064
320,3,0.0,0.0,1.0,0.0,0.0,9.0,102.0,1.0,0.0,0.0,9.0,0.6,1.0,0.0,4.0,0.0,1.0,1.0,1.2,0.0,3.9,1.0,1.0,0.3,0.0,1.0,0.0,2.0,1.0,0.0,0.9964779912279456,0.003522008772054422
320,4,0.0,0.0,1.0,0.0,0.0,0.0,111.0,1.0,0.0,0.0,6.0,2.13,0.0,0.0,4.0,1.0,4.0,1.0,0.5,0.0,1.8,1.0,1.0,0.5,0.0,1.0,0.0,3.0,1.0,3.0,0.9983038774794176,0.0016961225205824226
320,5,0.0,0.0,1.0,0.0,0.0,7.0,86.0,1.0,1.0,0.0,6.0,2.46,0.0,0.0,6.0,0.0,2.0,1.0,2.4,1.0,2.1,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.999332478693282,0.0006675213067180417
320,6,0.0,0.0,1.0,0.0,0.0,7.0,85.0,1.0,1.0,0.0,6.0,2.74,0.0,0.0,5.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.9982142569404251,0.0017857430595748978
320,7,0.0,0.0,1.0,0.0,0.0,3.0,111.0,1.0,0.0,0.0,23.0,0.18,3.0,0.0,4.0,0.0,7.0,1.0,2.7,0.0,7.8,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.9166428742577934,0.08335712574220654
320,8,5.0,0.0,2.0,0.0,0.0,2.0,91.0,3.0,0.0,3.0,17.0,0.16,5.0,0.0,3.0,0.0,18.0,2.0,3.5,0.0,10.8,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,2.0,0.995137756178343,0.004862243821656974
320,9,0.0,0.0,1.0,0.0,0.0,7.0,88.0,1.0,1.0,0.0,6.0,2.84,0.0,0.0,6.0,0.0,2.0,1.0,5.9,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.9986130408456542,0.0013869591543458665
322,0,2.0,0.0,1.0,1.0,1.0,4.0,126.0,3.0,0.0,11.0,17.0,0.5,1.0,85.0,2.0,0.0,26.0,2.0,3.2,0.0,4.1,1.0,1.0,1.3,1.0,1.0,0.0,2.0,1.0,5.0,0.9972524001022551,0.0027475998977448818
322,1,0.0,0.0,2.0,1.0,10.0,7.0,114.0,2.0,0.0,3.0,12.0,0.6,2.0,90.0,1.0,0.0,13.0,1.0,4.8,2.0,5.6,1.0,1.0,1.6,12.0,0.3,0.0,2.0,3.0,2.0,0.9639170748349016,0.03608292516509839
322,2,1.0,3.0,2.0,3.0,0.0,6.0,109.0,1.0,1.0,1.0,5.0,0.51,2.0,82.0,3.0,0.0,18.0,1.0,3.6,0.0,8.2,1.0,1.0,1.8,32.0,0.6,0.0,2.0,3.0,4.0,0.9609821581117783,0.039017841888221716
