,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
272,0,0,1,0,9,2,187,1,2,4,1.16,1,87,5,17,10,2,0.857142857142857,1,1,3,2,0.285714285714286,3,1,3
1236,2,1,1,0,3,1,105,8,3,2,0.42,2,100,2,0,7.0,2,1.61538461538462,0,0,1,2,0.4,1,2,2
1201,0,0,1,0,2,1,98,2,3,2,0.33,1,39.0,2,0,10,2,1.37037037037037,0,0,0,4,0.190909090909091,4,3,3
583,1,0,1,0,6,3,71,1,4,1,0.52,1,71,1,4,6,3,1.6431818181818199,4,1,1,2,0.3,1,3,0
185,1,0,1,1,6,2,114,1,5,0,0.73,1,96,3,9,4.0,1,2.69230769230769,1,0,0,4,0.3,3,3,1
588,0,0,1,0,6,4,25.5,1,2,1,0.83,1,0,3,0,5,1,2.65,4,3,0,5,0.2,3,2,1
809,9,0,1,0,7,2,45.0,9,2,1,0.79,0,100,3,1,7.0,2,3.82539682539683,0,0,0,4,0.238095238095238,0,2,1
371,3,0,1,0,6,1,54.0,2,5,7,1.69,0,84,6,1,6,1,1.45454545454545,0,1,0,2,0.4,1,2,2
589,0,0,2,0,4,3,47,1,0,1,0.42,1,50,2,0,4.0,1,1.45454545454545,1,2,0,2,0.25,1,2,3
238,2,14,1,0,7,2,1660,14,10.5,15,1.0,0,100,2,34,7.0,3,1.205263157894735,0,0,0,1022,0.294117647058824,2,4,3
802,0,0,2,1,12,2,43,1,0,0,0.35,9,0,1,0,0,1,1.205263157894735,16,6,0,0,0.5,0,2,2
292,6,0,1,2,6,2,122.0,7,17,6,0.65,0,95,5,12,4.0,2,4.58823529411765,0,0,0,20.5,0.37037037037037,0,4,1
610,10,1,1,2,8,2,610,1,6,12,1.09,0,94,1,1,4.0,1,2.65,0,0,0,33.0,0.375,0,3,1
631,2,4,1,5,6,2,578,9,11,17,0.81,0,100,1,1,7.0,2,1.205263157894735,0,0,0,87.0,0.485714285714286,0,3,1
7,1,0,1,0,7,2,133,2,3,1,0.67,0,100,3,0,4.0,2,2.0,0,0,0,2,0.227272727272727,5,2,2
