test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
6,0,0.0,0.0,1.0,0.0,3.0,1.0,55.0,1.0,0.0,1.0,1.3,0.0,58.0,2.0,0.0,2.0,1.0,1.7,0.0,0.0,0.0,68.0,0.5,0.0,1.0,0.0,0.8921482929702945,0.10785170702970552
6,1,0.0,0.0,1.0,0.0,3.0,1.0,55.0,1.0,0.0,1.0,1.3,0.0,58.0,2.0,0.0,2.0,1.0,1.7,0.0,0.0,0.0,68.0,0.5,0.0,4.0,1.0,0.9072214228366862,0.09277857716331385
6,2,1.0,0.0,1.0,0.0,10.0,4.0,74.0,1.0,0.0,1.0,1.0,1.0,66.0,2.0,0.0,3.0,1.0,3.3,0.0,2.0,0.0,48.0,0.5,0.0,4.0,1.0,0.9171293750856069,0.08287062491439309
6,3,1.0,0.0,1.0,0.0,6.0,1.0,90.0,1.0,0.0,0.0,0.4,5.0,60.0,3.0,0.0,17.0,1.0,1.5,0.0,2.0,0.0,90.0,0.4,0.0,1.0,0.0,0.8573038656749539,0.1426961343250461
6,4,0.0,1.0,1.0,1.0,4.0,1.0,54.0,1.0,1.0,0.0,1.2,0.0,84.0,4.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,49.0,0.5,0.0,3.0,2.0,0.9454166629675247,0.054583337032475344
6,5,1.0,0.0,1.0,0.0,6.0,1.0,90.0,1.0,0.0,0.0,0.3,5.0,60.0,3.0,0.0,16.0,1.0,1.5,0.0,2.0,0.0,90.0,0.4,0.0,3.0,3.0,0.6740506490121446,0.3259493509878554
6,6,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,1.0,2.0,1.4,0.0,75.0,2.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,51.0,0.3,0.0,4.0,0.0,0.9743847555208706,0.025615244479129416
6,7,0.0,0.0,1.0,0.0,5.0,1.0,41.0,1.0,0.0,0.0,1.9,0.0,100.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,72.0,0.3,0.0,3.0,0.0,0.9965505462200279,0.0034494537799721193
6,8,0.0,0.0,1.0,0.0,5.0,1.0,41.0,1.0,0.0,0.0,1.9,0.0,100.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,73.0,0.3,0.0,3.0,0.0,0.9965505462200279,0.0034494537799721193
6,9,1.0,0.0,2.0,3.0,14.0,3.0,71.0,1.0,0.0,0.0,0.7,4.0,66.0,1.0,0.0,9.0,1.0,10.0,4.0,6.0,0.0,64.0,0.2,0.0,2.0,3.0,0.9252353450181268,0.07476465498187328
7,0,1.0,0.0,1.0,0.0,4.0,2.0,81.0,3.0,2.0,2.0,0.9,0.0,100.0,1.0,0.0,5.0,2.0,1.8,0.0,1.0,0.0,182.0,0.3,0.0,3.0,0.0,0.9337151688124946,0.06628483118750536
7,1,0.0,0.0,1.0,0.0,6.0,1.0,92.0,3.0,0.0,3.0,1.5,0.0,100.0,3.0,0.0,2.0,2.0,3.7,1.0,1.0,0.0,174.0,0.5,0.0,2.0,3.0,0.9336273117323254,0.06637268826767458
7,2,0.0,0.0,1.0,4.0,9.0,2.0,105.0,2.0,3.0,2.0,1.6,0.0,100.0,4.0,0.0,6.0,1.0,2.8,1.0,2.0,0.0,187.0,0.3,0.0,3.0,1.0,0.9636249079308835,0.03637509206911647
7,3,1.0,0.0,1.0,4.0,6.0,1.0,164.0,5.0,12.0,5.0,1.2,0.0,62.0,3.0,5.0,4.0,1.0,1.7,0.0,1.0,0.0,192.0,0.4,0.0,2.0,2.0,0.9725403040081166,0.027459695991883304
7,4,3.0,7.0,1.0,0.0,4.0,2.0,187.0,5.0,1.0,11.0,0.6,0.0,81.0,3.0,2.0,9.0,2.0,1.9,0.0,0.0,0.0,218.0,0.5,5.0,2.0,4.0,0.6027197229176751,0.39728027708232494
7,5,0.0,5.0,1.0,0.0,4.0,1.0,94.0,2.0,0.0,3.0,0.9,0.0,75.0,1.0,0.0,4.0,2.0,2.4,0.0,1.0,0.0,224.0,0.4,0.0,1.0,0.0,0.92305126097719,0.07694873902280994
7,6,0.0,0.0,1.0,0.0,6.0,1.0,92.0,3.0,0.0,3.0,1.5,0.0,100.0,3.0,0.0,2.0,2.0,3.7,1.0,1.0,0.0,173.0,0.3,0.0,3.0,1.0,0.9789762181997448,0.02102378180025525
7,7,0.0,0.0,1.0,0.0,5.0,1.0,144.0,3.0,3.0,4.0,1.1,0.0,100.0,3.0,2.0,3.0,2.0,2.4,0.0,1.0,0.0,152.0,0.3,0.0,1.0,3.0,0.9291161255296418,0.07088387447035821
7,8,3.0,6.0,1.0,0.0,4.0,1.0,174.0,4.0,1.0,7.0,0.7,0.0,80.0,3.0,2.0,9.0,2.0,1.7,0.0,0.0,0.0,218.0,0.5,5.0,1.0,0.0,0.8180906874717688,0.18190931252823112
7,9,0.0,0.0,1.0,0.0,5.0,1.0,70.0,2.0,0.0,2.0,1.2,0.0,100.0,2.0,1.0,4.0,2.0,1.4,0.0,1.0,0.0,145.0,0.3,0.0,2.0,2.0,0.9894723882837803,0.010527611716219697
8,0,0.0,0.0,1.0,4.0,9.0,2.0,105.0,2.0,3.0,2.0,1.6,0.0,100.0,4.0,0.0,6.0,1.0,2.8,1.0,2.0,0.0,187.0,0.3,0.0,3.0,1.0,0.9636249079308835,0.03637509206911647
8,1,1.0,0.0,1.0,0.0,5.0,3.0,80.0,1.0,1.0,2.0,1.0,1.0,81.0,4.0,0.0,4.0,1.0,2.2,0.0,1.0,0.0,181.0,0.3,0.0,1.0,1.0,0.9788763112973565,0.021123688702643452
8,2,0.0,0.0,1.0,0.0,9.0,2.0,82.0,1.0,0.0,1.0,0.9,0.0,75.0,4.0,0.0,7.0,1.0,3.8,1.0,2.0,0.0,185.0,0.3,0.0,3.0,1.0,0.9365947298169679,0.06340527018303208
8,3,0.0,0.0,1.0,0.0,6.0,1.0,92.0,3.0,0.0,3.0,1.5,0.0,100.0,3.0,0.0,2.0,2.0,3.7,1.0,1.0,0.0,173.0,0.3,0.0,3.0,1.0,0.9789762181997448,0.02102378180025525
8,4,1.0,0.0,1.0,0.0,5.0,3.0,80.0,1.0,1.0,2.0,1.0,1.0,81.0,4.0,0.0,4.0,1.0,2.2,0.0,1.0,0.0,181.0,0.3,0.0,3.0,0.0,0.9781556191426427,0.021844380857357345
8,5,0.0,0.0,1.0,0.0,6.0,1.0,92.0,3.0,0.0,3.0,1.5,0.0,100.0,3.0,0.0,2.0,2.0,3.7,1.0,1.0,0.0,174.0,0.5,0.0,2.0,3.0,0.9336273117323254,0.06637268826767458
8,6,4.0,0.0,2.0,0.0,9.0,3.0,84.0,1.0,1.0,4.0,0.6,0.0,77.0,4.0,0.0,8.0,1.0,4.6,2.0,1.0,0.0,236.0,0.3,0.0,3.0,1.0,0.9646140035584507,0.035385996441549286
