test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
291,0,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,133.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,5.0,5.0,5.0,0.5567285335954615,0.4432714664045385
291,1,33.0,0.0,1.0,0.0,6.0,2.0,650.0,19.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.5561872599617046,0.44381274003829535
291,2,7.0,0.0,1.0,0.0,6.0,2.0,68.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,4.0,5.0,5.0,0.5449130501967985,0.45508694980320147
291,3,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,0.81,10.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.5196318500806544,0.48036814991934573
291,4,7.0,0.0,1.0,0.0,6.0,24.0,650.0,18.0,37.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.5567309047608512,0.4432690952391488
291,5,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,39.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.5279949435977221,0.47200505640227786
291,6,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,15.8,0.0,0.0,0.0,952.0,0.315789473684211,5.0,5.0,5.0,0.5526312061784215,0.4473687938215784
291,7,7.0,0.0,1.0,0.0,6.0,13.0,650.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,6.0,5.0,0.546095696689063,0.4539043033109368
291,8,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,136.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,0.315789473684211,0.0,5.0,5.0,0.5491140322850869,0.4508859677149131
292,0,6.0,0.0,1.0,2.0,6.0,13.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,0.0,0.0,585.0,0.37037037037037,3.0,6.0,6.0,0.5444839850747991,0.45551601492520105
292,1,6.0,0.0,7.0,32.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,0.0,0.0,585.0,0.37037037037037,3.0,4.0,6.0,0.556723146169739,0.44327685383026105
292,2,6.0,20.0,1.0,2.0,6.0,2.0,492.0,1.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,0.0,0.0,585.0,0.37037037037037,3.0,4.0,6.0,0.5397885986882001,0.4602114013118
292,3,6.0,13.0,1.0,2.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,4.58823529411765,0.0,15.0,0.0,585.0,0.37037037037037,3.0,4.0,6.0,0.5366234264085447,0.46337657359145507
292,4,6.0,0.0,1.0,2.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,128.0,26.0,2.0,4.58823529411765,0.0,0.0,1.0,585.0,0.37037037037037,3.0,4.0,6.0,0.5564733764434413,0.4435266235565588
