,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
7,1,0,1,0,7,2,133,2,8,1,0.22000000000000003,0,100,3,0,11,2,2.0,0,0,0,217,0.6875,0,2,1
185,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,
365,0,0,1,0,7,2,315,8,10,8,1.52,1,100,5,34,4,1,3.09090909090909,0,0,0,167,0.285714285714286,0,4,4
371,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,
474,0,0,1,0,7,2,33,1,0,0,1.0200000000000002,2,100,1,0,7,2,3.0,3,7,1,63,0.2,0,1,0
493,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,
569,3,1,3,0,11,6,192,1,3,4,0.22000000000000003,4,79,1,2,11,2,5.76923076923077,2,1,0,76,0.263157894736842,0,3,2
578,0,0,1,0,5,1,191,1,0,12,0.9700000000000003,0,93,1,0,2,2,4.85185185185185,1,1,0,8,0.333333333333333,0,2,4
584,0,0,2,0,5,3,49,1,0,2,0.22000000000000003,1,30,2,3,9,2,4.6,3,2,0,51,0.375,0,3,2
588,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,0,0,1,0,2,1,30,2,1,1,0.22000000000000003,1,100,5,0,4,2,0.5,0,0,0,0,0.5,0,2,0
1236,,,,,,,,,,,,,,,,,,,,,,,,,,
