,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
2359,0,0,1,0,2,1,92.5,5,3,3,0.26,2,69,3,0,23,2,1.35,0,0,0,90,0.75,0,4,2
62,0,0,1,0,7,3,49,1,2,3,0.48,2,60,3,0,5,1,4.66666666666667,2,4,1,0,0.307692307692308,0,5,3
251,10,28,1,0,7,2,63.0,7,39,8,0.84,0,100,4,21,70,8,13.009756097561,0,0,0,162,0.705882352941177,0,6,11
824,0,0,1,10,6,2,275.0,1,2,2,1.11,0,71,1,1,6,2,4.72549019607843,1,1,0,0,0.0,0,1,3
531,6,5,1,0,5,2,386,6,9,6,0.68,0,82.5,3,39,9,3,3.32727272727273,0,0,0,146,0.571428571428571,0,7,5
1923,1,0,2,0,6,2,129,2,7,3,0.57,1,90,3,3,4,1,6.75,0,1,0,5,0.75,0,5,1
834,11,0,1,0,6,2,63.0,16,8,0.5,0.7,0,100,5,1,89,2,9.9375,0,1,0,100,0.681818181818182,1,5,9
352,5,0,1,0,6,2,182,3,0,9,0.72,0,75,2,0,21,2,4.57894736842105,1,1,0,27,0.75,0,6,3
1956,4,0,2,1,6,3,92.5,4,4,11,0.58,1,100,3,4,7,2,4.63636363636364,1,1,0,52,0.714285714285714,0,4,1
2549,23,0,1,1,6,2,92.5,7,4,18,0.6,1,100,5,0,11,2,3.73529411764706,0,1,0,0,0.454545454545455,0,1,6
302,6,0,1,2,6,2,752,22,30,6,0.68,0,100,4,1.0,45,2,3.34,0,0,0,126,0.454545454545455,0,2,8
30,5,0,1,2,6,1,275.0,7,17,18,0.95,0,100,5,3,27,1,2.01428571428571,0,0,0,6,0.5,0,4,8
2623,11,0,1,8,6,2,275.0,2,0,9,0.7,0,70.5,1,0,8,2,10.6545454545455,0,1,0,13.5,0.571428571428571,0,4,1
507,6,7,1,0,5,3,541,11,6,4,0.4,1,100,2,6,4.0,2,16.855421686747,0,1,0,97,0.466666666666667,0,6,6
