,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2.0,0.0,1.0,0.0,0.0,9.0,195.0,1.0,0.0,10.0,12.0,0.83,79.0,1.0,2.0,21.0,2.0,4.5625,1.0,0.0,1.38888888888889,0.0,0.0,0.318087318087318,0.0,0.0,3.0
124,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,3.0,0.0,1.0,3.0,0.0,4.0,80.0,1.0,0.0,1.0,6.0,0.9,83.0,3.0,1.0,8.0,2.0,3.33333333333333,1.0,1.0,0.909090909090909,0.0,4.0,0.46031746031746,1.0,0.0,1.0
156,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4.0,0.0,1.0,13.0,3.0,9.0,194.0,3.0,4.0,3.0,2.0,0.73,80.0,1.0,0.0,1.0,2.0,5.4,0.0,1.0,2.28571428571429,0.0,1.0,0.84394250513347,1.0,0.0,2.0
221,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,0.0,0.0,1.0,4.0,1.0,9.0,356.0,1.0,0.0,9.0,33.0,1.12,92.0,2.0,2.0,19.0,4.0,5.42857142857143,0.0,1.0,0.648648648648649,0.0,0.0,0.915006640106242,0.0,0.0,3.0
644,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,0.0,2.0,1.0,0.0,0.0,12.0,715.0,1.0,0.0,1.0,35.0,4.64,100.0,1.0,1.0,11.0,1.0,1.91891891891892,0.0,0.0,0.0,0.0,0.0,0.754146341463415,0.0,0.0,5.0
669,6.0,13.0,1.0,8.0,12.0,4.0,343.0,1.0,0.0,2.0,38.0,0.59,94.0,2.0,0.0,23.0,2.0,3.45762711864407,0.0,1.0,0.60655737704918,0.0,0.0,0.85781990521327,0.0,0.0,3.0
486,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,0.0,13.0,1.0,0.0,0.0,3.0,58.0,1.0,0.0,3.0,0.0,1.47,64.0,1.0,6.0,3.0,1.0,19.3846153846154,2.0,1.0,0.2,0.0,0.0,0.962025316455696,0.0,0.0,1.0
689,0.0,0.0,1.0,8.0,0.0,9.0,171.0,1.0,0.0,0.0,13.0,3.64,100.0,6.0,1.0,6.0,1.0,1.23076923076923,0.0,0.0,0.0,0.0,5.0,0.524390243902439,0.75,0.0,2.0
736,1.0,0.0,1.0,0.0,0.0,7.0,99.0,1.0,0.0,7.0,6.0,0.96,53.0,2.0,0.0,5.0,1.0,5.0,2.0,2.0,1.33333333333333,0.0,1.0,0.953703703703704,1.0,0.0,2.0
745,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,5.0,2.0,4.0,0.0,0.0,12.0,107.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,19.0,1.0,5.0,0.0,1.0,2.77777777777778,0.0,29.0,0.848258706467662,1.0,0.0,1.0
908,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0.0,9.0,2.0,0.0,0.0,11.0,56.0,1.0,0.0,8.0,13.0,0.74,89.0,4.0,0.0,31.0,2.0,2.86363636363636,0.0,0.0,1.70833333333333,0.0,0.0,0.76056338028169,0.0,0.0,3.0
1036,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,0.0,6.0,1.0,0.0,0.0,10.0,386.0,1.0,0.0,6.0,27.0,0.76,68.0,4.0,2.0,27.0,1.0,4.22857142857143,0.0,0.0,0.756756756756757,0.0,0.0,0.859026369168357,0.0,0.0,1.0
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,0.0,1.0,1.0,0.0,0.0,9.0,182.0,1.0,0.0,13.0,13.0,0.55,80.0,3.0,0.0,15.0,2.0,5.4,1.0,1.0,1.47058823529412,0.0,0.0,0.866888519134775,0.0,0.0,3.0
1266,0.0,0.0,2.0,0.0,0.0,11.0,257.0,1.0,0.0,21.0,8.0,0.88,82.0,3.0,0.0,20.0,2.0,5.64285714285714,1.0,2.0,1.375,0.0,0.0,0.988817891373802,0.0,0.0,2.0
