,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
101,1.0,95.99999999999999,0.0,1.0,651.0,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.6237623762376239,0.0,0.0,1.0,0.14423076923076894,-1.3877787807814457e-17,1.0,0.0,5.0,1.0
94,1.0,1.0,1.0,0.0,26.0,1.0,5.0,0.040000000000000036,0.0,99.0,1.0,2.0,1.0,2.0,0.3829787234042552,0.0,0.0,1.0,0.13541666666666696,-1.3877787807814457e-17,1.0,0.0,1.0,2.0
102,1.0,1.0,1.0,3.0,41.0,1.0,7.0,0.29000000000000004,1.0,75.0,2.0,0.0,14.0,1.0,4.375,0.0,1.0,1.0,1.5,-1.3877787807814457e-17,1.0,0.0,3.0,1.0
283,2.0,0.0,3.0,1.0,50.0,1.0,5.0,0.37,0.0,85.0,2.0,0.0,9.0,2.0,3.35294117647059,0.0,1.0,1.0,1.0,-1.3877787807814457e-17,-2.7755575615628914e-17,0.0,3.0,1.1102230246251565e-16
328,1.0,2.0,0.4666666666666668,2.0,52.0,1.0,0.0,0.17000000000000004,1.0,86.0,1.0,0.0,26.0,1.0,6.73333333333333,2.0,1.0,1.0,1.76470588235294,-1.3877787807814457e-17,0.666666666666667,0.0,2.0,1.0
357,1.0,1.0,1.0,1.0,83.0,1.0,30.0,0.21999999999999997,1.0,80.0,2.0,0.0,14.0,1.0,7.72222222222222,2.0,1.0,1.0,1.80952380952381,-1.3877787807814457e-17,1.0,0.0,3.0,2.0
272,3.0,0.5,1.0,0.0,33.0,1.0,8.0,0.30000000000000004,1.0,88.0,4.0,2.0,12.0,2.0,4.0,0.0,1.0,1.0,1.91666666666667,-1.3877787807814457e-17,0.5,0.0,3.0,2.0
24,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,
520,2.0,5.0,1.0,4.0,144.0,11.0,0.0,0.24,1.0,100.0,2.0,1.0,28.0,2.0,2.44444444444444,0.0,1.0,1.0,1.74358974358974,-1.3877787807814457e-17,1.0,0.0,2.0,5.0
336,,,,,,,,,,,,,,,,,,,,,,,,
559,2.0,0.0,0.0,1.0,46.0,4.0,0.0,0.31000000000000005,0.0,-7.105427357601002e-15,1.0,0.0,29.0,2.0,1.875,0.0,1.0,1.0,0.846153846153846,-1.3877787807814457e-17,1.0,0.0,2.0,1.1102230246251565e-16
588,0.0,1.0,3.0,86.0,56.0,1.0,0.0,0.20999999999999996,0.0,86.0,1.0,0.0,9.0,1.0,5.8,0.0,1.0,1.0,2.16666666666667,-1.3877787807814457e-17,-2.7755575615628914e-17,0.0,1.0,3.0
327,1.0,0.666666666666667,0.0,3.0,67.0,2.0,3.0,0.37,1.0,100.0,3.0,0.0,13.0,2.0,4.63636363636364,0.0,1.0,0.0,2.14285714285714,-1.3877787807814457e-17,0.666666666666667,0.0,3.0,5.0
344,,,,,,,,,,,,,,,,,,,,,,,,
643,2.0,1.0,3.0,0.0,72.0,1.0,25.0,0.19999999999999996,0.0,94.0,2.0,0.0,14.0,2.0,3.32727272727273,0.0,1.0,1.0,0.210526315789474,-1.3877787807814457e-17,1.0,0.0,3.0,2.0
389,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,
1059,0.0,0.0,1.0,6.0,80.0,1.0,0.0,0.39,0.0,-7.105427357601002e-15,1.0,0.0,50.0,1.0,9.88888888888889,0.0,1.0,1.0,1.18181818181818,-1.3877787807814457e-17,-2.7755575615628914e-17,0.0,3.0,3.0
269,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,
