"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'OWN_COMMIT > 0.994'","b'target = 0'",0.25,560,0.2317,519,0.92679,0.09732,1.72425,1.8255e-116,0.5375,1204
"b'000001'","b'ADEV <= 2.56'","b'target = 0'",0.20179,452,0.17723,397,0.87832,0.06877,1.63408,3.41429e-66,0.5375,1204
"b'000002'","b'0.874 < OWN_COMMIT <= 0.994'","b'target = 0'",0.1442,323,0.12455,279,0.86378,0.04705,1.60703,5.56721e-41,0.5375,1204
"b'000003'","b'AvgCyclomaticModified <= 1.032 & MAJOR_LINE <= 0.035'","b'target = 0'",0.08705,195,0.07143,160,0.82051,0.02464,1.52654,2.54108e-10,0.5375,1204
"b'000004'","b'CountClassCoupled <= 2.5'","b'target = 0'",0.18795,421,0.14821,332,0.7886,0.04719,1.46716,3.06205e-32,0.5375,1204
"b'000005'","b'2.56 < ADEV <= 3.88'","b'target = 0'",0.1817,407,0.14018,314,0.7715,0.04252,1.43535,5.52632e-27,0.5375,1204
"b'000006'","b'2.5 < CountClassCoupled <= 5.95'","b'target = 0'",0.20491,459,0.14554,326,0.71024,0.0354,1.32138,2.28049e-17,0.5375,1204
"b'000007'","b'MINOR_LINE <= 1.65'","b'target = 0'",0.20223,453,0.14018,314,0.69316,0.03148,1.28959,3.68741e-14,0.5375,1204
"b'000008'","b'RatioCommentToCode > 0.472'","b'target = 0'",0.19509,437,0.13348,299,0.68421,0.02862,1.27295,2.9454e-12,0.5375,1204
"b'000009'","b'AvgCyclomaticModified <= 1.032'","b'target = 0'",0.26161,586,0.17411,390,0.66553,0.03349,1.23819,2.1341e-13,0.5375,1204
