CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,0.0,0.0,3.0,23.0,1.0,1.0,4.0,0.33,0.0,54.0,2.0,2.0,3.0,1.0,4.5,1.0,0.0,0.0,2.0,0.82,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,3.0,1.0,3.0,0.65,0.0,50.0,2.0,0.0,1.0,2.0,1.25,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,2.0,101.0,1.0,0.0,1.0,0.84,0.0,0.0,1.0,0.0,1.0,1.0,3.58,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0.0,0.0,2.0,37.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,28.0,1.0,5.13,1.0,1.0,0.0,0.0,0.46,1.0,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,5.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,1.0,0.11,0.0,88.0,2.0,0.0,16.0,1.0,4.26,1.0,1.0,0.0,0.0,0.54,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,64.0,1.0,0.0,1.0,1.19,0.0,66.0,3.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.59,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,3.0,1.0,0.4,0.0,0.0,3.0,0.0,10.0,1.0,3.6,2.0,2.0,0.0,0.0,0.53,2.0,0
4.0,0.0,1.0,2.0,5.0,2.0,2.0,113.0,2.0,2.0,13.0,0.41,0.0,90.0,1.0,0.0,1.0,2.0,3.7,1.0,1.0,0.0,7.0,0.58,1.0,1
0.0,12.0,1.0,0.0,0.0,5.0,1.0,110.0,1.0,0.0,0.0,4.78,0.0,0.0,1.0,1.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.45,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,0.23,0.0,30.0,1.0,0.0,5.0,2.0,1.62,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,10.0,1.0,32.0,1.0,0.0,0.0,4.57,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.57,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,2.0,3.0,0.39,0.0,74.0,4.0,0.0,9.0,1.0,2.56,0.0,0.0,0.0,0.0,0.64,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,2.0,0.92,0.0,33.0,2.0,0.0,4.0,1.0,3.33,2.0,3.0,0.0,0.0,0.83,0.0,0
1.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,4.0,8.0,0.1,0.0,93.0,3.0,1.0,27.0,1.0,2.55,1.0,1.0,0.0,0.0,0.98,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,27.0,1.0,0.0,2.0,1.69,0.0,33.0,1.0,0.0,2.0,2.0,1.67,1.0,1.0,0.0,0.0,0.86,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,1.0,1.26,0.0,60.0,3.0,0.0,1.0,1.0,5.6,1.0,1.0,0.0,0.0,0.48,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,1.05,0.0,75.0,3.0,0.0,1.0,1.0,7.83,0.0,1.0,0.0,0.0,0.52,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,4.0,0.76,0.0,83.0,2.0,0.0,6.0,1.0,8.27,0.0,1.0,0.0,0.0,0.69,0.0,0
0.0,0.0,1.0,3.0,5.0,1.0,2.0,43.0,2.0,0.0,1.0,0.44,0.0,90.0,2.0,1.0,2.0,2.0,1.92,0.0,1.0,0.0,0.0,0.68,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,2.3,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.81,0.0,0
0.0,0.0,3.0,2.0,1.0,0.0,3.0,22.0,1.0,0.0,0.0,0.5,0.0,75.0,1.0,4.0,9.0,2.0,7.5,1.0,1.0,0.0,0.0,0.69,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,1.0,0.74,0.0,42.0,1.0,4.0,3.0,3.0,3.71,1.0,0.0,0.0,0.0,0.72,0.0,0
