Antecedent,Antecedent Coverage %,Confidence,Lift
OWN_LINE > 0.974,0.20115,0.99761,1.05645
-0.18 < CountDeclInstanceVariable <= 0.68,0.27028,0.99645,1.05521
0.6 < CountClassCoupled <= 2.1,0.22516,0.99574,1.05446
PercentLackOfCohesion <= 1,0.25732,0.9944,1.05305
CountClassCoupled <= 0.6,0.19107,0.99246,1.05099
0.6 < CountDeclMethodPublic <= 3,0.21171,0.99093,1.04937
-0.175 < MAJOR_LINE <= 0.075,0.43159,0.98776,1.04602
-0.09 < CountDeclMethodProtected <= 0.48,0.30485,0.9874,1.04563
0.68 < CountDeclInstanceVariable <= 2.05,0.21267,0.98646,1.04463
-0.24 < CountDeclClassVariable <= 0.05,0.45223,0.98514,1.04323
