Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassBase <= 0.848,0.15124,0.99104,1.09158
0 < CountDeclMethodPublic <= 2.85,0.25102,0.99101,1.09154
RatioCommentToCode > 1.765,0.19639,0.9908,1.09131
CountDeclMethodPublic <= 0,0.1526,0.98225,1.08189
0.995 < RatioCommentToCode <= 1.765,0.2009,0.98202,1.08164
-0.94 < CountDeclInstanceVariable <= 0.88,0.35711,0.97977,1.07916
PercentLackOfCohesion <= 1,0.26907,0.97651,1.07557
-0.0715 < OWN_COMMIT <= 0.0065,0.59819,0.97509,1.07401
0.6 < CountClassCoupled <= 2.1,0.23025,0.96275,1.06041
0.88 < CountInput_Mean <= 1.97,0.20135,0.96188,1.05946
