"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'CountClassCoupled <= 0.98'","b'target = 0'",0.16875,378,0.16696,374,0.98942,0.0117,1.07535,1.05634e-10,0.92009,2061
"b'000001'","b'RatioCommentToCode > 1.555'","b'target = 0'",0.19777,443,0.19554,438,0.98871,0.01357,1.07458,2.75875e-12,0.92009,2061
"b'000002'","b'CountDeclMethodPublic <= 0.95'","b'target = 0'",0.18259,409,0.17813,399,0.97555,0.01013,1.06028,2.77071e-07,0.92009,2061
"b'000003'","b'OWN_LINE > 0.97'","b'target = 0'",0.19911,446,0.19375,434,0.97309,0.01055,1.05761,2.82714e-07,0.92009,2061
"b'000004'","b'0.875 < AvgCyclomaticModified <= 1.165'","b'target = 0'",0.34018,762,0.32857,736,0.96588,0.01558,1.04977,8.62805e-10,0.92009,2061
"b'000005'","b'-0.002 < OWN_COMMIT <= 0.019'","b'target = 0'",0.68393,1532,0.66027,1479,0.9654,0.03099,1.04925,9.59748e-29,0.92009,2061
"b'000006'","b'-0.048 < MAJOR_LINE <= 0.042'","b'target = 0'",0.44598,999,0.42857,960,0.96096,0.01823,1.04442,3.13099e-11,0.92009,2061
"b'000007'","b'-0.205 < CountDeclClassVariable <= 0.25'","b'target = 0'",0.41964,940,0.40134,899,0.95638,0.01523,1.03945,2.1312e-08,0.92009,2061
"b'000008'","b'-0.02 < CountDeclMethodPrivate <= 0.245'","b'target = 0'",0.70268,1574,0.67143,1504,0.95553,0.0249,1.03852,1.63056e-19,0.92009,2061
"b'000009'","b'0.995 < CountDeclClass <= 1.25'","b'target = 0'",0.69911,1566,0.65759,1473,0.94061,0.01435,1.02231,1.05764e-07,0.92009,2061
