Antecedent,Antecedent Coverage %,Confidence,Lift
0.05 < MAJOR_COMMIT <= 0.74,0.15722,0.99697,1.16517
MAJOR_COMMIT <= 0.05,0.24393,0.99023,1.1573
0.74 < MAJOR_COMMIT <= 1.26,0.20724,0.98621,1.15259
OWN_COMMIT <= 0.03,0.23821,0.96,1.12196
0.5 < CountClassCoupled <= 1.84,0.18628,0.95141,1.11192
0.64 < CountDeclMethodProtected <= 1.35,0.21439,0.95111,1.11157
CountDeclMethodPublic <= 0.98,0.18342,0.94805,1.108
CountClassCoupled <= 0.5,0.19914,0.94498,1.1044
0.02 < CountDeclInstanceVariable <= 0.77,0.1415,0.94276,1.10181
1.07 < MINOR_LINE <= 1.625,0.16293,0.94152,1.10036
