"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.04 < MAJOR_COMMIT <= 0.71'","b'target = 0'",0.13708,295,0.13429,289,0.97966,0.02225,1.19854,3.23599e-20,0.81738,1759
"b'000001'","b'CountClassCoupled <= 0.34'","b'target = 0'",0.20353,438,0.19656,423,0.96575,0.0302,1.18152,8.78732e-25,0.81738,1759
"b'000002'","b'MAJOR_COMMIT <= 0.04'","b'target = 0'",0.2658,572,0.25558,550,0.96154,0.03832,1.17637,1.78006e-31,0.81738,1759
"b'000003'","b'0.34 < CountClassCoupled <= 1.74'","b'target = 0'",0.20586,443,0.19656,423,0.95485,0.0283,1.16819,4.23417e-21,0.81738,1759
"b'000004'","b'CountDeclMethodPublic <= 0.66'","b'target = 0'",0.17426,375,0.1631,351,0.936,0.02067,1.14512,5.99225e-13,0.81738,1759
"b'000005'","b'OWN_COMMIT <= 0.015'","b'target = 0'",0.26719,575,0.24907,536,0.93217,0.03067,1.14044,2.26858e-19,0.81738,1759
"b'000006'","b'0.71 < MAJOR_COMMIT <= 1.29'","b'target = 0'",0.20028,431,0.18634,401,0.93039,0.02263,1.13827,1.32853e-13,0.81738,1759
"b'000007'","b'17.7 < CountLineComment <= 21.6'","b'target = 0'",0.32714,704,0.3039,654,0.92898,0.03651,1.13653,1.99983e-23,0.81738,1759
"b'000008'","b'0.66 < CountDeclMethodPublic <= 2.36'","b'target = 0'",0.24582,529,0.2263,487,0.9206,0.02537,1.12629,3.04226e-14,0.81738,1759
"b'000009'","b'0.998 < AvgCyclomaticModified <= 1.16 & -0.106 < AvgLineComment <= 0.016'","b'target = 0'",0.34944,752,0.31877,686,0.91223,0.03315,1.11605,2.31461e-12,0.81738,1759
